Trtsize,Nsites,Detprob,Nplots,logitTrt,aInt.m,aInt.se,aInt.sd,aInt.cover,bTrtYr.m,bTrtYr.se,bTrtYr.sd,bTrtYr.cover,bTrtYr.power,n,aInt.m.se,bTrtYr.m.se
0.3,20,0.15,5,-1.694595721,1.501905747,0.688871316,1.175435557,0.997727273,-1.309568017,0.838789666,1.429687343,0.997727273,0.093181818,440,0.032840651,0.039987728
0.3,20,0.15,7,-1.694595721,1.503740181,0.700639138,1.111464595,0.988372093,-1.597027577,0.793675153,1.294235071,0.997674419,0.186046512,430,0.03378782,0.038274415
0.3,20,0.15,9,-1.694595721,1.528579426,0.685931886,1.057578162,0.983529412,-1.705300683,0.772345974,1.198737371,0.992941176,0.275294118,425,0.033272584,0.037464283
0.3,20,0.3,5,-1.694595721,1.398997278,0.688264581,0.915859226,0.963340122,-1.716608438,0.809154685,1.104978245,0.985743381,0.33401222,491,0.031060946,0.03651664
0.3,20,0.3,7,-1.694595721,1.267739144,0.638263072,0.804241139,0.967611336,-1.812379721,0.774541114,0.96519614,0.98582996,0.544534413,494,0.028716813,0.034848252
0.3,20,0.3,9,-1.694595721,1.309865419,0.659642636,0.745685391,0.941767068,-1.737724634,0.685142303,0.880355874,0.981927711,0.562248996,498,0.029559293,0.030701961
0.3,20,0.5,5,-1.694595721,1.034029465,0.538644791,0.604435346,0.968,-1.627576936,0.668898396,0.803499211,0.974,0.558,500,0.024088927,0.029914046
0.3,20,0.5,7,-1.694595721,0.986011166,0.519078042,0.532643924,0.948,-1.673774008,0.626476952,0.687015158,0.964,0.716,500,0.023213876,0.028016901
0.3,20,0.5,9,-1.694595721,0.933609179,0.453123817,0.495974876,0.958,-1.704690633,0.579137204,0.610041633,0.966,0.832,500,0.020264313,0.025899803
0.3,30,0.15,5,-1.694595721,1.55107286,0.701962108,1.084388174,0.973493976,-1.562624455,0.789285609,1.286282027,0.995180723,0.185542169,415,0.034457965,0.038744507
0.3,30,0.15,7,-1.694595721,1.576086455,0.702376172,1.026746681,0.974424552,-1.679833595,0.744752308,1.167995041,0.992327366,0.278772379,391,0.03552069,0.037663743
0.3,30,0.15,9,-1.694595721,1.527806097,0.71642247,0.9490327,0.953846154,-1.803824476,0.753569096,1.06449221,0.98974359,0.407692308,390,0.036277462,0.038158454
0.3,30,0.3,5,-1.694595721,1.307429562,0.665013178,0.771019621,0.93852459,-1.816665919,0.758214527,0.94744589,0.979508197,0.549180328,488,0.030103732,0.034322759
0.3,30,0.3,7,-1.694595721,1.197590835,0.594090174,0.663633317,0.943089431,-1.767221988,0.678660707,0.817189043,0.969512195,0.646341463,492,0.026783654,0.030596388
0.3,30,0.3,9,-1.694595721,1.140918743,0.545396626,0.593434154,0.941295547,-1.754097669,0.660183423,0.723900968,0.953441296,0.763157895,494,0.024538554,0.029703056
0.3,30,0.5,5,-1.694595721,1.007210802,0.443757485,0.49476817,0.962,-1.694180226,0.627570324,0.672297412,0.97,0.76,500,0.019845438,0.028065798
0.3,30,0.5,7,-1.694595721,0.939906368,0.400429971,0.428590811,0.954,-1.692687412,0.522315448,0.563058459,0.964,0.894,500,0.017907773,0.023358657
0.3,30,0.5,9,-1.694595721,0.938352065,0.360232252,0.398984789,0.962,-1.660756008,0.465933687,0.495628356,0.964,0.948,500,0.016110076,0.020837188
0.3,40,0.15,5,-1.694595721,1.548366746,0.747771404,1.01050483,0.959390863,-1.742779741,0.803090072,1.164540342,0.982233503,0.314720812,394,0.037672179,0.040459093
0.3,40,0.15,7,-1.694595721,1.503168027,0.690015626,0.943354945,0.962365591,-1.89037236,0.747270199,1.065459591,0.983870968,0.502688172,372,0.035775644,0.038744155
0.3,40,0.15,9,-1.694595721,1.450876894,0.760306693,0.863536115,0.899728997,-1.830644709,0.761418322,0.964071016,0.970189702,0.563685637,369,0.039579985,0.039637855
0.3,40,0.3,5,-1.694595721,1.242417878,0.610064207,0.675527008,0.931818182,-1.818486993,0.708060764,0.849654926,0.979338843,0.642561983,484,0.027730191,0.03218458
0.3,40,0.3,7,-1.694595721,1.136562743,0.525479668,0.569568125,0.939148073,-1.775936974,0.627543186,0.712730047,0.973630832,0.77484787,493,0.023666414,0.028263124
0.3,40,0.3,9,-1.694595721,1.077772638,0.492737356,0.505906737,0.935613682,-1.769925252,0.569248226,0.623371618,0.971830986,0.875251509,497,0.022102291,0.025534273
0.3,40,0.5,5,-1.694595721,0.974926281,0.39418448,0.421870744,0.956,-1.735301409,0.509848286,0.584885511,0.978,0.906,500,0.017628466,0.022801108
0.3,40,0.5,7,-1.694595721,0.947649078,0.386881887,0.370717208,0.954,-1.698827441,0.476674135,0.489185256,0.946,0.954,500,0.017301884,0.021317515
0.3,40,0.5,9,-1.694595721,0.883511508,0.329774494,0.338270437,0.956,-1.688565924,0.418829129,0.427667673,0.95,0.98,500,0.014747964,0.018730608
0.3,50,0.15,5,-1.694595721,1.525315685,0.720855918,0.968996718,0.957219251,-1.856495872,0.743637673,1.105201095,0.99197861,0.419786096,374,0.037274572,0.038452589
0.3,50,0.15,7,-1.694595721,1.543515218,0.702380309,0.89941092,0.918079096,-1.902621271,0.743515995,1.005867215,0.985875706,0.56779661,354,0.037331092,0.039517429
0.3,50,0.15,9,-1.694595721,1.411435921,0.728259889,0.800650732,0.919889503,-1.854138266,0.686440681,0.88844203,0.980662983,0.674033149,362,0.03827649,0.036078521
0.3,50,0.3,5,-1.694595721,1.190255975,0.561726686,0.608054274,0.93814433,-1.760777321,0.633973413,0.767913629,0.964948454,0.742268041,485,0.025506695,0.02878725
0.3,50,0.3,7,-1.694595721,1.10441506,0.459110755,0.508229342,0.955734406,-1.775545803,0.578786095,0.644810204,0.975855131,0.867203219,497,0.020593932,0.025962105
0.3,50,0.3,9,-1.694595721,1.036535856,0.417297912,0.437673795,0.93987976,-1.78274503,0.526542442,0.555063651,0.955911824,0.93987976,499,0.01868082,0.023571277
0.3,50,0.5,5,-1.694595721,0.95689925,0.367012709,0.371993835,0.95,-1.753704782,0.498273905,0.523074417,0.954,0.946,500,0.016413307,0.022283486
