Trtsize,Nsites,Detprob,Nplots,logitTrt,aInt.m,aInt.se,aInt.sd,aInt.cover,bTrtYr.m,bTrtYr.se,bTrtYr.sd,bTrtYr.cover,bTrtYr.power,n,aInt.m.se,bTrtYr.m.se
0.1,20,0.15,7,-3.044522438,1.538050442,0.760617353,1.178792397,0.993902439,-3.6369033,1.120542519,1.715318346,0.985772358,0.715447154,492,0.034291279,0.050517958
0.1,20,0.3,7,-3.044522438,1.317311683,0.720169092,0.858763773,0.95,-3.564239505,1.015777553,1.281638396,0.962,0.93,500,0.032206941,0.045426953
0.1,20,0.5,7,-3.044522438,1.022315436,0.521901432,0.573324964,0.952,-3.288395472,0.838877564,0.86478836,0.944,0.99,500,0.023340142,0.037515745
0.1,40,0.15,7,-3.044522438,1.575161983,0.766574122,1.025720644,0.943983402,-3.718174495,1.052151218,1.458506318,0.975103734,0.904564315,482,0.034916494,0.047924175
0.1,40,0.3,7,-3.044522438,1.191318647,0.570893138,0.614874157,0.959758551,-3.382203236,0.815668664,0.920732427,0.955734406,0.993963783,497,0.025608057,0.03658774
0.1,40,0.5,7,-3.044522438,0.923320469,0.357297723,0.375509823,0.954,-3.156727621,0.560163371,0.576966315,0.958,1,500,0.01597884,0.025051268
0.1,60,0.15,7,-3.044522438,1.535946343,0.741568737,0.910821597,0.928730512,-3.693942333,0.951570711,1.295449112,0.977728285,0.971046771,449,0.034996792,0.044907398
0.1,60,0.3,7,-3.044522438,1.03624061,0.448220209,0.465997627,0.953907816,-3.306502329,0.658158188,0.710749098,0.951903808,1,499,0.020065092,0.029463207
0.1,60,0.5,7,-3.044522438,0.906982283,0.290349476,0.301795382,0.95,-3.142763856,0.469615013,0.464980529,0.94,1,500,0.012984823,0.021001822
0.3,20,0.15,7,-1.694595721,1.622477375,0.763270083,1.208088969,0.988986784,-2.226912398,1.144508989,1.881371075,0.991189427,0.213656388,454,0.03582204,0.053714468
0.3,20,0.3,7,-1.694595721,1.372210865,0.704411081,0.88611207,0.947791165,-2.247400181,1.011322061,1.275233377,0.953815261,0.516064257,498,0.031565415,0.045318425
0.3,20,0.5,7,-1.694595721,0.95504975,0.516588533,0.562822404,0.976,-1.855628825,0.731102079,0.763383493,0.948,0.766,500,0.023102542,0.032695879
0.3,40,0.15,7,-1.694595721,1.714323648,0.734639477,1.058001434,0.934065934,-2.502416582,1.041319505,1.521303529,0.964835165,0.457142857,455,0.03444043,0.048817811
0.3,40,0.3,7,-1.694595721,1.193772497,0.557717524,0.610135278,0.948,-1.969897247,0.777863766,0.847244639,0.96,0.764,500,0.024941886,0.034787125
0.3,40,0.5,7,-1.694595721,0.930419807,0.357228416,0.377544942,0.96,-1.78910035,0.522093946,0.510162232,0.928,0.952,500,0.01597574,0.023348751
0.3,60,0.15,7,-1.694595721,1.607218622,0.725218738,0.93433231,0.914606742,-2.460882568,0.986141234,1.305604138,0.948314607,0.658426966,445,0.034378665,0.046747578
0.3,60,0.3,7,-1.694595721,1.071444829,0.449280201,0.468932597,0.938,-1.891812609,0.646845432,0.649861394,0.948,0.914,500,0.020092421,0.028927807
0.3,60,0.5,7,-1.694595721,0.872342271,0.30345276,0.295802187,0.934,-1.764865587,0.419354543,0.406913252,0.936,0.996,500,0.01357082,0.018754105
