"Owner","TreeFarm","StandNo","2023","2024"
"WY","CL","10024 _ 1 _ 2023","BS","BS"
"WY","CL","10024 _ 1 _ 2024","BS","BS"
"WY","CL","10078 _ 1 _ 2023","HB","HB"
"WY","CL","10078 _ 1 _ 2024","HB","HB"
"WY","CL","10153 _ 1 _ 2023","BS","BS"
"WY","CL","10153 _ 1 _ 2024","BS","BS"
"WY","CL","10185 _ 1 _ 2023","BS","BS"
"WY","CL","10185 _ 1 _ 2024","BS","BS"
"WY","CL","10258 _ 1 _ 2023","BS","BS"
"BLM","CL","10302 _ 1 _ 2023","UU","UU"
"BLM","CL","10302 _ 1 _ 2024","UU","UU"
"WY","CL","10399 _ 1 _ 2023","HU","HU"
"WY","CL","10399 _ 1 _ 2024","HU","HU"
"WY","CL","10403 _ 1 _ 2023","BS","BS"
"WY","CL","10403 _ 1 _ 2024","BS","BS"
"WY","CL","10422 _ 1 _ 2023","BS","BS"
"WY","CL","10422 _ 1 _ 2024","BS","BS"
"WY","CL","10422 _ 2 _ 2024","BS","BS"
"BLM","CL","10439 _ 1 _ 2023","UU","UU"
"BLM","CL","10439 _ 1 _ 2024","UU","UU"
"WY","CL","10444 _ 1 _ 2023","HU","HU"
"WY","CL","10444 _ 1 _ 2024","HU","HU"
"WY","CL","10463 _ 1 _ 2024","BS","BS"
"WY","CL","10467 _ 1 _ 2023","HB","HB"
"WY","CL","10467 _ 1 _ 2024","HB","HB"
"WY","NC","10471 _ 1 _ 2024","BS","BS"
"WY","NC","10471 _ 2 _ 2024","BS","BS"
"WY","CL","10488 _ 1 _ 2023","HB","HB"
"WY","CL","10498 _ 1 _ 2023","HB","HB"
"WY","CL","10506 _ 1 _ 2023","BS","BS"
"WY","CL","10506 _ 1 _ 2024","BS","BS"
"WY","CL","10550 _ 1 _ 2023","BS","BS"
"WY","CL","10553 _ 1 _ 2023","HB","HB"
"WY","CL","10597 _ 1 _ 2023","HB","HB"
"WY","CL","10597 _ 1 _ 2024","HB","HB"
"WY","CL","10956 _ 1 _ 2023","BS","BS"
"WY","CL","10956 _ 1 _ 2024","BS","BS"
"WY","CL","10963 _ 1 _ 2023","UU","UU"
"WY","CL","10965 _ 1 _ 2023","HB","HB"
"WY","CL","10968 _ 1 _ 2023","HU","HU"
"WY","CL","10968 _ 1 _ 2024","HU","HU"
"WY","CL","11079 _ 1 _ 2023","HB","HB"
"WY","CL","11081 _ 1 _ 2024","BS","BS"
"WY","CL","11084 _ 1 _ 2024","BS","BS"
"ODF","NC","12033 _ 1 _ 2023","BU","BU"
"ODF","NC","12033 _ 1 _ 2024","BU","BU"
"ODF","NC","12098 _ 1 _ 2023","BU","BU"
"ODF","NC","12098 _ 1 _ 2024","BU","BU"
"BLM","CL","12213 _ 1 _ 2023","UU","UU"
"BLM","CL","12213 _ 1 _ 2024","UU","UU"
"BLM","CL","12239 _ 1 _ 2023","UU","UU"
"BLM","CL","12239 _ 1 _ 2024","UU","UU"
"ODF","NC","12349 _ 1 _ 2023","BU","BU"
"ODF","NC","12349 _ 1 _ 2024","BU","BU"
"ODF","NC","12351 _ 1 _ 2023","BU","BU"
"ODF","NC","12362 _ 1 _ 2023","HB","HB"
"ODF","NC","12362 _ 1 _ 2024","HB","HB"
"ODF","NC","12364 _ 1 _ 2023","HB","HB"
"ODF","NC","12364 _ 1 _ 2024","HB","HB"
"ODF","NC","12392 _ 1 _ 2023","BU","BU"
"ODF","NC","12421 _ 1 _ 2023","BU","BU"
"ODF","NC","12421 _ 1 _ 2024","BU","BU"
"ODF","NC","12441 _ 1 _ 2023","BU","BU"
"ODF","NC","12441 _ 1 _ 2024","BU","BU"
"ODF","NC","12560 _ 1 _ 2023","BU","BU"
"ODF","NC","12560 _ 1 _ 2024","BU","BU"
"ODF","NC","12776 _ 1 _ 2024","BU","BU"
"ODF","NC","12804 _ 1 _ 2023","BU","BU"
"ODF","NC","12804 _ 1 _ 2024","BU","BU"
"ODF","NC","12805 _ 1 _ 2023","BU","BU"
"ODF","NC","12805 _ 1 _ 2024","BU","BU"
"ODF","NC","12806 _ 1 _ 2024","BU","BU"
"BLM","CL","13924 _ 1 _ 2023","UU","UU"
"BLM","CL","13924 _ 1 _ 2024","UU","UU"
"BLM","CL","15562 _ 1 _ 2023","BU","BU"
"BLM","CL","15562 _ 1 _ 2024","BU","BU"
"BLM","CL","16804 _ 1 _ 2023","BU","BU"
"WY","SP","20039 _ 1 _ 2023","HU","HU"
"WY","SP","20039 _ 1 _ 2024","HU","HU"
"WY","SP","20053 _ 1 _ 2023","HU","HU"
"WY","SP","20053 _ 1 _ 2024","HU","HU"
"WY","SP","20550 _ 1 _ 2023","HU","HU"
"WY","SP","20550 _ 1 _ 2024","HU","HU"
"WY","SP","20616 _ 1 _ 2023","UU","UU"
"WY","SP","20616 _ 1 _ 2024","UU","UU"
"WY","SP","20626 _ 1 _ 2024","HU","HU"
"WY","SP","21026 _ 1 _ 2023","HU","HU"
"WY","SP","21159 _ 1 _ 2023","HU","HU"
"BLM","SP","25954 _ 1 _ 2023","BU","BU"
"BLM","SP","29121 _ 1 _ 2023","UU","UU"
"BLM","SP","29121 _ 1 _ 2024","UU","UU"
"BLM","SP","29122 _ 1 _ 2023","UU","UU"
"BLM","SP","29122 _ 1 _ 2024","UU","UU"
"BLM","SP","29123 _ 1 _ 2023","UU","UU"
"BLM","SP","29123 _ 1 _ 2024","UU","UU"
"BLM","SP","29429 _ 1 _ 2023","UU","UU"
"BLM","NC","29429 _ 1 _ 2024","UU","UU"
"WY","SP","29431 _ 1 _ 2023","UU","UU"
"BLM","SP","29431 _ 1 _ 2024","UU","UU"
"BLM","SP","29889 _ 1 _ 2023","UU","UU"
"BLM","SP","29889 _ 1 _ 2024","UU","UU"
"PB","CL","33628 _ 1 _ 2023","HB","HB"
"PB","CL","33628 _ 1 _ 2024","HB","HB"
"PB","CL","33651 _ 1 _ 2023","HB","HB"
"PB","CL","33651 _ 1 _ 2024","HB","HB"
"PB","CL","33689 _ 1 _ 2023","HU","HU"
"PB","CL","33689 _ 1 _ 2024","HU","HU"
"PB","CL","33754 _ 1 _ 2023","HU","HU"
"PB","CL","33810 _ 1 _ 2023","HU","HU"
"PB","CL","33810 _ 1 _ 2024","HU","HU"
"PB","CL","34007 _ 1 _ 2023","HB","HB"
"PB","CL","34007 _ 1 _ 2024","HB","HB"
"PB","CL","34017 _ 1 _ 2023","HU","HU"
"PB","CL","34017 _ 1 _ 2024","HU","HU"
"PB","CL","408143 _ 1 _ 2023","HU","HU"
"PB","CL","408143 _ 1 _ 2024","HU","HU"
"PB","CL","408161 _ 1 _ 2023","HU","HU"
"PB","CL","408162 _ 1 _ 2023","HU","HU"
"PB","CL","408162 _ 1 _ 2024","HU","HU"
"PB","CL","408178 _ 1 _ 2023","BS","BS"
"PB","CL","408178 _ 1 _ 2024","BS","BS"
"PB","CL","408178 _ 2 _ 2023","HB","HB"
"PB","CL","408178 _ 2 _ 2024","HB","HB"
"PB","CL","408180 _ 1 _ 2023","HB","HB"
"PB","CL","408180 _ 1 _ 2024","HB","HB"
"PB","CL","9757 _ 1 _ 2023","BU","BU"
"PB","CL","9757 _ 1 _ 2024","BU","BU"
