Owner,TreeFarm,StandNo,SubPlot,V1,V2,V3
BLM,CL,9757,1,0,0,0
WY,CL,10078,1,0,0,0
WY,CL,10153,1,0,0,0
WY,CL,10185,1,0,0,0
BLM,CL,10302,1,0,0,0
WY,CL,10399,1,0,0,0
BLM,CL,10439,1,0,0,1
WY,CL,10444,1,*,*,*
WY,CL,10467,1,0,0,0
WY,CL,10482,1,0,0,0
WY,CL,10488,1,0,0,0
WY,CL,10498,1,0,0,0
WY,CL,10506,1,0,0,0
WY,CL,10553,1,*,*,*
WY,CL,10597,1,0,0,0
WY,CL,10711,1,0,0,0
WY,CL,10963,1,0,0,0
WY,CL,10965,1,0,0,0
WY,CL,10968,1,*,*,*
WY,CL,11079,1,0,0,0
BLM,CL,12213,1,0,0,0
BLM,CL,12239,1,0,0,0
ODF,SP,12362,1,0,0,0
ODF,SP,12364,1,0,0,0
ODF,SP,12605,1,1,0,0
ODF,SP,12638,1,0,0,0
BLM,CL,13924,1,0,0,0
BLM,CL,15562,1,0,0,0
BLM,CL,16804,1,0,0,0
WY,SP,20031,1,0,0,0
WY,SP,20039,1,0,0,1
WY,SP,20053,1,*,*,*
WY,SP,20088,1,0,0,0
WY,SP,20090,1,0,0,0
WY,SP,20194,1,*,*,*
WY,SP,20232,1,0,0,0
WY,SP,20236,1,0,0,1
WY,SP,20237,1,0,0,0
WY,SP,20281,1,0,0,0
WY,SP,20283,1,0,0,0
WY,SP,20288,1,0,0,0
WY,SP,20291,1,*,*,*
WY,SP,20360,1,0,0,0
WY,SP,20361,1,0,0,0
WY,SP,20497,1,0,0,0
WY,SP,20535,1,0,0,0
WY,SP,20536,1,0,0,0
WY,SP,20538,1,0,0,0
WY,SP,20540,1,0,0,0
WY,SP,20543,1,0,0,0
WY,SP,20550,1,0,0,0
WY,SP,20560,1,0,0,0
WY,SP,20565,1,0,0,0
WY,SP,20571,1,0,0,0
WY,SP,20600,1,0,0,0
WY,SP,20616,1,0,0,0
WY,SP,20626,1,0,1,0
WY,SP,20666,1,1,0,0
WY,SP,20698,1,0,0,0
WY,SP,20818,1,0,0,0
WY,SP,21019,1,0,0,0
WY,SP,21026,1,0,0,0
WY,SP,21029,1,1,0,0
WY,SP,21159,1,*,*,*
WY,SP,21213,1,*,*,*
BLM,SP,25954,1,0,0,0
BLM,SP,29121,1,0,0,0
BLM,SP,29122,1,0,0,0
BLM,SP,29123,1,0,0,0
BLM,SP,29429,1,0,0,0
BLM,SP,29431,1,1,*,*
BLM,SP,29889,1,0,0,0
PB,CL,33554,1,0,0,0
PB,CL,33628,1,0,0,0
PB,CL,33651,1,0,0,0
