Owner ,TreeFarm,StandNo,2013,2014,2015,2016,2017,2018,2019
BLM,CL,9757,*,*,*,Timbered,Timbered,Timbered,Timbered
WY,CL,10078,Timbered,Timbered,Timbered,Timbered,*,Timbered,Timbered
WY,CL,10153,*,*,Timbered,Timbered,Timbered,Timbered,Timbered
WY,CL,10185,Timbered,Timbered,Timbered,Timbered,Timbered,Timbered,Timbered
BLM,CL,10302,*,*,*,Timbered,Timbered,Timbered,Timbered
WY,CL,10399,Timbered,*,Cut,Cut,Cut,Cut,Cut
BLM,CL,10439,*,*,*,Timbered,Timbered,Timbered,Timbered
WY,CL,10444,Timbered,Timbered,Timbered,Timbered,Timbered,*,Cut
WY,CL,10467,Timbered,*,Cut,Cut,Cut,Cut,Cut
WY,CL,10482,Timbered,Timbered,Timbered,Timbered,*,Cut,Cut
WY,CL,10488,Timbered,Timbered,*,Cut,Cut,Cut,Cut
WY,CL,10498,Timbered,Timbered,*,Cut,Cut,Cut,Cut
WY,CL,10506,Timbered,Timbered,Timbered,Timbered,Timbered,Timbered,Timbered
WY,CL,10553,Timbered,Timbered,Timbered,Timbered,*,*,Cut
WY,CL,10597,Timbered,Timbered,*,Cut,Cut,Cut,Cut
WY,CL,10711,Timbered,Timbered,*,Cut,Cut,Cut,Cut
WY,CL,10963,Timbered,Timbered,Timbered,Timbered,Timbered,Timbered,Timbered
WY,CL,10965,Timbered,Timbered,Timbered,Timbered,Timbered,Timbered,Timbered
WY,CL,10968,Timbered,Timbered,Timbered,Timbered,Cut,*,*
WY,CL,11079,Timbered,*,Cut,Cut,Cut,Cut,Cut
BLM,CL,12213,*,*,*,Timbered,Timbered,Timbered,Timbered
BLM,CL,12239,*,*,*,Timbered,Timbered,Timbered,Timbered
ODF,SP ,12362,*,Timbered,*,*,Cut,Cut,Cut
ODF,SP,12364,*,Timbered,Timbered,*,Cut,Cut,Cut
ODF,SP,12605,*,Timbered,Timbered,Timbered,Timbered,Timbered,Timbered
ODF,SP,12638,*,Timbered,Timbered,Timbered,Timbered,Timbered,Timbered
BLM,CL,13924,*,*,*,Timbered,Timbered,Timbered,Timbered
BLM,CL,15562,*,*,*,Timbered,Timbered,Timbered,Timbered
BLM,CL,16804,*,*,*,Timbered,Timbered,Timbered,Timbered
WY,SP,20031,Timbered,*,Cut,Cut,Cut,Cut,Cut
WY,SP,20039,*,*,Timbered,Timbered,Timbered,Timbered,Timbered
WY,SP,20053,*,*,Timbered,Timbered,Timbered,*,Cut
WY,SP,20088,Timbered,*,Cut,Cut,Cut,Cut,Cut
