"site_id","1","2","3","4","5","6","7"
"10024 _ 1 _ 2023",7,1,9,10,15,10,12
"10024 _ 1 _ 2024",3,2,4,9,6,6,3
"10078 _ 1 _ 2023",5,14,9,9,9,6,8
"10078 _ 1 _ 2024",12,8,7,4,6,3,8
"10153 _ 1 _ 2023",8,12,6,5,6,5,3
"10153 _ 1 _ 2024",6,10,9,12,7,6,14
"10185 _ 1 _ 2023",5,8,6,13,9,1,5
"10185 _ 1 _ 2024",4,9,11,9,7,7,2
"10258 _ 1 _ 2023",2,10,3,12,4,6,4
"10302 _ 1 _ 2023",3,2,2,5,2,7,8
"10302 _ 1 _ 2024",5,2,7,7,10,5,6
"10399 _ 1 _ 2023",4,4,6,9,6,12,11
"10399 _ 1 _ 2024",10,6,10,11,10,5,4
"10403 _ 1 _ 2023",7,7,6,2,5,3,2
"10403 _ 1 _ 2024",4,5,10,11,7,5,6
"10422 _ 1 _ 2023",14,15,4,9,8,5,7
"10422 _ 1 _ 2024",7,6,3,4,14,3,12
"10422 _ 2 _ 2024",7,3,8,5,6,6,8
"10439 _ 1 _ 2023",7,7,6,4,6,3,3
"10439 _ 1 _ 2024",4,5,7,5,8,10,8
"10444 _ 1 _ 2023",4,8,2,2,6,8,4
"10444 _ 1 _ 2024",7,8,9,12,8,7,12
"10463 _ 1 _ 2024",4,7,6,4,2,7,7
"10467 _ 1 _ 2023",3,7,6,2,6,1,0
"10467 _ 1 _ 2024",5,7,6,4,5,12,4
"10471 _ 1 _ 2024",7,4,12,13,11,8,6
"10471 _ 2 _ 2024",7,3,10,7,8,9,8
"10488 _ 1 _ 2023",1,3,4,4,5,4,9
"10498 _ 1 _ 2023",6,10,7,4,4,14,7
"10506 _ 1 _ 2023",6,7,10,4,8,19,6
"10506 _ 1 _ 2024",7,11,6,7,3,9,8
"10550 _ 1 _ 2023",9,4,6,7,3,7,11
"10553 _ 1 _ 2023",6,8,10,15,7,14,12
"10597 _ 1 _ 2023",10,14,6,3,10,2,15
"10597 _ 1 _ 2024",10,10,9,4,5,7,10
"10956 _ 1 _ 2023",6,9,7,9,12,2,8
"10956 _ 1 _ 2024",6,3,7,5,2,8,5
"10963 _ 1 _ 2023",11,4,6,4,4,3,3
"10965 _ 1 _ 2023",15,10,8,12,4,4,7
"10968 _ 1 _ 2023",2,2,8,4,5,4,5
"10968 _ 1 _ 2024",3,7,7,8,5,6,6
"11079 _ 1 _ 2023",5,9,4,0,6,6,3
"11081 _ 1 _ 2024",2,2,4,3,7,5,5
"11084 _ 1 _ 2024",7,5,12,10,4,2,5
"12033 _ 1 _ 2023",9,11,9,5,10,3,8
"12033 _ 1 _ 2024",5,7,4,4,2,10,10
"12098 _ 1 _ 2023",6,7,5,5,8,7,2
"12098 _ 1 _ 2024",7,4,5,3,2,3,2
"12213 _ 1 _ 2023",5,3,2,7,10,6,6
"12213 _ 1 _ 2024",2,3,2,2,3,2,1
"12239 _ 1 _ 2023",6,2,3,3,6,0,6
"12239 _ 1 _ 2024",4,4,2,3,1,6,4
"12349 _ 1 _ 2023",8,5,6,9,3,1,2
"12349 _ 1 _ 2024",6,3,7,9,4,7,4
"12351 _ 1 _ 2023",5,2,4,4,6,3,3
"12362 _ 1 _ 2023",7,12,12,6,4,4,6
"12362 _ 1 _ 2024",4,3,7,4,5,4,6
"12364 _ 1 _ 2023",2,2,4,2,3,2,10
"12364 _ 1 _ 2024",10,9,6,6,3,6,5
"12392 _ 1 _ 2023",4,1,2,2,1,4,4
"12421 _ 1 _ 2023",7,7,2,1,4,3,1
"12421 _ 1 _ 2024",4,4,4,3,3,5,8
"12441 _ 1 _ 2023",5,0,5,4,9,10,1
"12441 _ 1 _ 2024",4,7,3,2,3,2,4
"12560 _ 1 _ 2023",2,4,0,3,2,4,2
"12560 _ 1 _ 2024",2,4,4,3,3,4,3
"12776 _ 1 _ 2024",1,4,3,4,4,2,0
"12804 _ 1 _ 2023",2,2,4,6,6,2,4
"12804 _ 1 _ 2024",4,2,7,4,3,9,5
"12805 _ 1 _ 2023",7,7,3,4,7,4,10
"12805 _ 1 _ 2024",7,5,7,5,6,6,11
"12806 _ 1 _ 2024",1,4,5,5,6,3,4
"13924 _ 1 _ 2023",5,0,5,7,13,4,5
"13924 _ 1 _ 2024",1,0,5,5,2,4,4
"15562 _ 1 _ 2023",1,1,3,2,3,5,2
"15562 _ 1 _ 2024",3,4,0,6,2,4,3
"16804 _ 1 _ 2023",0,3,0,1,4,5,0
"20039 _ 1 _ 2023",11,12,9,10,1,7,3
"20039 _ 1 _ 2024",12,8,9,9,20,11,11
"20053 _ 1 _ 2023",4,4,7,7,5,4,4
"20053 _ 1 _ 2024",6,9,7,7,5,9,8
"20550 _ 1 _ 2023",13,5,4,4,9,4,6
"20550 _ 1 _ 2024",1,2,6,3,3,7,3
"20616 _ 1 _ 2023",9,5,7,6,5,2,7
"20616 _ 1 _ 2024",2,1,2,0,3,4,4
"20626 _ 1 _ 2024",5,7,6,4,5,5,4
"21026 _ 1 _ 2023",14,4,5,3,7,7,6
"21159 _ 1 _ 2023",6,14,2,6,10,9,15
"25954 _ 1 _ 2023",3,0,2,1,0,2,2
"29121 _ 1 _ 2023",5,4,2,5,8,5,12
"29121 _ 1 _ 2024",5,5,2,4,3,3,0
"29122 _ 1 _ 2023",5,7,1,1,2,6,6
"29122 _ 1 _ 2024",4,2,10,6,0,1,3
"29123 _ 1 _ 2023",1,2,5,3,4,2,4
"29123 _ 1 _ 2024",3,6,1,7,5,0,2
"29429 _ 1 _ 2023",7,4,2,5,6,3,5
"29429 _ 1 _ 2024",4,5,4,6,6,5,8
"29431 _ 1 _ 2023",5,5,6,1,7,4,10
"29431 _ 1 _ 2024",5,7,10,6,3,1,2
"29889 _ 1 _ 2023",7,8,8,6,4,11,3
"29889 _ 1 _ 2024",5,4,6,3,5,4,10
"33628 _ 1 _ 2023",10,5,2,1,5,5,3
"33628 _ 1 _ 2024",5,3,4,5,4,5,5
"33651 _ 1 _ 2023",8,7,2,2,5,6,3
"33651 _ 1 _ 2024",6,7,6,6,4,6,4
"33689 _ 1 _ 2023",7,9,2,2,3,6,8
"33689 _ 1 _ 2024",6,8,8,9,8,7,9
"33754 _ 1 _ 2023",5,3,3,7,4,4,7
"33810 _ 1 _ 2023",13,11,5,4,7,12,15
"33810 _ 1 _ 2024",6,8,4,11,5,6,7
"34007 _ 1 _ 2023",4,8,11,8,8,8,5
"34007 _ 1 _ 2024",11,6,6,7,6,8,6
"34017 _ 1 _ 2023",4,2,2,7,6,7,8
"34017 _ 1 _ 2024",2,4,3,1,4,5,3
"408143 _ 1 _ 2023",13,10,4,1,7,9,2
"408143 _ 1 _ 2024",4,8,5,2,7,11,3
"408161 _ 1 _ 2023",4,7,5,1,1,11,9
"408162 _ 1 _ 2023",4,5,6,4,6,9,9
"408162 _ 1 _ 2024",10,9,12,12,7,8,3
"408178 _ 1 _ 2023",0,8,7,10,9,9,1
"408178 _ 1 _ 2024",2,6,5,5,6,8,5
"408178 _ 2 _ 2023",2,0,8,8,8,7,2
"408178 _ 2 _ 2024",7,6,4,11,6,7,5
"408180 _ 1 _ 2023",11,7,2,6,7,10,4
"408180 _ 1 _ 2024",5,7,8,5,6,10,8
"9757 _ 1 _ 2023",1,3,9,6,6,5,5
"9757 _ 1 _ 2024",3,6,6,3,3,5,4
