"site_id","date_mdy","precip_mm"
"10024 _ 1 _ 2023",2023-02-10,1.44
"10024 _ 1 _ 2024",2023-02-10,1.5
"10078 _ 1 _ 2023",2023-02-10,1.5
"10078 _ 1 _ 2024",2023-02-10,1.5
"10153 _ 1 _ 2023",2023-02-10,2.04
"10153 _ 1 _ 2024",2023-02-10,2.04
"10185 _ 1 _ 2023",2023-02-10,1.4
"10185 _ 1 _ 2024",2023-02-10,1.4
"10258 _ 1 _ 2023",2023-02-10,1.66
"10302 _ 1 _ 2023",2023-02-10,1.69
"10302 _ 1 _ 2024",2023-02-10,1.69
"10399 _ 1 _ 2023",2023-02-10,1.3
"10399 _ 1 _ 2024",2023-02-10,1.3
"10403 _ 1 _ 2023",2023-02-10,1.46
"10403 _ 1 _ 2024",2023-02-10,1.46
"10422 _ 1 _ 2023",2023-02-10,1.5
"10422 _ 1 _ 2024",2023-02-10,1.5
"10422 _ 2 _ 2024",2023-02-10,1.5
"10439 _ 1 _ 2023",2023-02-10,2.04
"10439 _ 1 _ 2024",2023-02-10,2.04
"10444 _ 1 _ 2023",2023-02-10,1.46
"10444 _ 1 _ 2024",2023-02-10,1.46
"10463 _ 1 _ 2024",2023-02-10,1.5
"10467 _ 1 _ 2023",2023-02-10,1.5
"10467 _ 1 _ 2024",2023-02-10,1.5
"10471 _ 1 _ 2024",2023-02-10,1.5
"10471 _ 2 _ 2024",2023-02-10,1.5
"10488 _ 1 _ 2023",2023-02-10,1.46
"10498 _ 1 _ 2023",2023-02-10,1.41
"10506 _ 1 _ 2023",2023-02-10,1.5
"10506 _ 1 _ 2024",2023-02-10,1.5
"10550 _ 1 _ 2023",2023-02-10,1.5
"10553 _ 1 _ 2023",2023-02-10,1.41
"10597 _ 1 _ 2023",2023-02-10,1.4
"10597 _ 1 _ 2024",2023-02-10,1.4
"10956 _ 1 _ 2023",2023-02-10,1.5
"10956 _ 1 _ 2024",2023-02-10,1.5
"10963 _ 1 _ 2023",2023-02-10,1.46
"10965 _ 1 _ 2023",2023-02-10,1.41
"10968 _ 1 _ 2023",2023-02-10,1.3
"10968 _ 1 _ 2024",2023-02-10,1.3
"11079 _ 1 _ 2023",2023-02-10,1.66
"11081 _ 1 _ 2024",2023-02-10,1.66
"11084 _ 1 _ 2024",2023-02-10,1.66
"12033 _ 1 _ 2023",2023-02-10,1.23
"12033 _ 1 _ 2024",2023-02-10,1.23
"12098 _ 1 _ 2023",2023-02-10,2.13
"12098 _ 1 _ 2024",2023-02-10,3.2
"12213 _ 1 _ 2023",2023-02-10,1.09
"12213 _ 1 _ 2024",2023-02-10,1.09
"12239 _ 1 _ 2023",2023-02-10,1.09
"12239 _ 1 _ 2024",2023-02-10,1.09
"12349 _ 1 _ 2023",2023-02-10,2.13
"12349 _ 1 _ 2024",2023-02-10,2.13
"12351 _ 1 _ 2023",2023-02-10,2.58
"12362 _ 1 _ 2023",2023-02-10,1.61
"12362 _ 1 _ 2024",2023-02-10,1.61
"12364 _ 1 _ 2023",2023-02-10,1.61
"12364 _ 1 _ 2024",2023-02-10,1.61
"12392 _ 1 _ 2023",2023-02-10,0.74
"12421 _ 1 _ 2023",2023-02-10,1.18
"12421 _ 1 _ 2024",2023-02-10,1.18
"12441 _ 1 _ 2023",2023-02-10,1.14
