"site_id","landowner","stand","site_rep","trt","year","subplot","date","date_mdy","dwd_type","size_cl","decay_cl","char_cl","length_cl"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"1","3/15/2023",2023-03-15,"L","1","3","1","1"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"1","3/15/2023",2023-03-15,"L","1","3","1","2"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"1","3/15/2023",2023-03-15,"L","2","3","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"1","3/15/2023",2023-03-15,"L","1","3","1","1"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"1","3/15/2023",2023-03-15,"L","1","3","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"1","3/15/2023",2023-03-15,"S","2","3","1","0"
"10258 _ 1 _ 2023","WY","10258",1,"BS",2023,"3","3/20/2023",2023-03-20,"L","1","1","1","3"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"3","3/22/2023",2023-03-22,"S","1","1","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"3","3/22/2023",2023-03-22,"S","1","1","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"4","3/22/2023",2023-03-22,"S","1","1","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"4","3/22/2023",2023-03-22,"S","2","1","1","0"
"10506 _ 1 _ 2023","WY","10506",1,"BS",2023,"1","3/13/2023",2023-03-13,"L","1","1","1","3"
"10506 _ 1 _ 2023","WY","10506",1,"BS",2023,"6","3/13/2023",2023-03-13,"L","1","1","1","2"
"10506 _ 1 _ 2023","WY","10506",1,"BS",2023,"1","3/13/2023",2023-03-13,"L","1","2","1","3"
"10506 _ 1 _ 2023","WY","10506",1,"BS",2023,"6","3/13/2023",2023-03-13,"L","1","2","1","1"
"10506 _ 1 _ 2023","WY","10506",1,"BS",2023,"6","3/13/2023",2023-03-13,"L","1","2","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"5","3/15/2023",2023-03-15,"L","1","1","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"5","3/15/2023",2023-03-15,"L","1","2","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"5","3/15/2023",2023-03-15,"L","1","2","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"2","3/15/2023",2023-03-15,"L","2","3","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"2","3/15/2023",2023-03-15,"L","1","3","1","2"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"3","3/15/2023",2023-03-15,"L","1","3","1","2"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"3","3/15/2023",2023-03-15,"L","2","3","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"4","3/15/2023",2023-03-15,"L","2","3","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"4","3/15/2023",2023-03-15,"L","2","3","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"5","3/15/2023",2023-03-15,"L","1","3","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"5","3/15/2023",2023-03-15,"L","1","3","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"7","3/15/2023",2023-03-15,"L","1","3","1","2"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"7","3/15/2023",2023-03-15,"L","1","3","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"7","3/15/2023",2023-03-15,"L","1","3","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"7","3/15/2023",2023-03-15,"L","1","3","1","3"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"3","3/15/2023",2023-03-15,"S","2","3","1","0"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"4","3/15/2023",2023-03-15,"S","2","3","1","0"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"5","3/15/2023",2023-03-15,"S","2","3","1","0"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"7","3/15/2023",2023-03-15,"S","2","3","1","0"
"12239 _ 1 _ 2023","BLM","12239",1,"UU",2023,"7","3/15/2023",2023-03-15,"S","1","3","1","0"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"1","3/16/2023",2023-03-16,"L","1","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"1","3/16/2023",2023-03-16,"L","1","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"4","3/16/2023",2023-03-16,"L","1","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"4","3/16/2023",2023-03-16,"L","1","2","1","2"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"4","3/16/2023",2023-03-16,"L","1","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"4","3/16/2023",2023-03-16,"L","1","2","1","2"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"4","3/16/2023",2023-03-16,"L","2","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"5","3/16/2023",2023-03-16,"L","1","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"5","3/16/2023",2023-03-16,"L","1","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"5","3/16/2023",2023-03-16,"L","1","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"5","3/16/2023",2023-03-16,"L","2","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"5","3/16/2023",2023-03-16,"L","1","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"5","3/16/2023",2023-03-16,"L","1","2","1","2"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"6","3/16/2023",2023-03-16,"L","1","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"6","3/16/2023",2023-03-16,"L","1","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"6","3/16/2023",2023-03-16,"L","1","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"7","3/16/2023",2023-03-16,"L","2","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"7","3/16/2023",2023-03-16,"L","1","2","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"7","3/16/2023",2023-03-16,"L","1","2","1","2"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"1","3/16/2023",2023-03-16,"L","1","3","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"1","3/16/2023",2023-03-16,"L","1","3","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"3","3/16/2023",2023-03-16,"L","2","3","1","2"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"3","3/16/2023",2023-03-16,"L","2","3","1","2"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"3","3/16/2023",2023-03-16,"L","1","3","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"3","3/16/2023",2023-03-16,"L","1","3","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"4","3/16/2023",2023-03-16,"L","1","3","1","1"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"5","3/16/2023",2023-03-16,"L","1","3","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"5","3/16/2023",2023-03-16,"L","2","3","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"5","3/16/2023",2023-03-16,"L","1","3","1","2"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"5","3/16/2023",2023-03-16,"L","1","3","1","3"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"5","3/16/2023",2023-03-16,"L","1","3","1","2"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"5","3/16/2023",2023-03-16,"L","1","3","1","2"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"7","3/16/2023",2023-03-16,"L","1","3","1","2"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"1","3/16/2023",2023-03-16,"S","1","3","1","0"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"3","3/16/2023",2023-03-16,"S","2","3","1","0"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"4","3/16/2023",2023-03-16,"S","1","3","1","0"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"5","3/16/2023",2023-03-16,"S","2","3","1","0"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"6","3/16/2023",2023-03-16,"S","1","3","1","0"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"7","3/16/2023",2023-03-16,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"1","3/21/2023",2023-03-21,"L","1","1","1","3"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"1","3/21/2023",2023-03-21,"L","1","1","1","3"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"1","3/21/2023",2023-03-21,"S","1","1","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"1","3/21/2023",2023-03-21,"L","1","3","1","3"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"2","3/21/2023",2023-03-21,"L","1","3","1","3"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"2","3/21/2023",2023-03-21,"L","1","3","1","2"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"3","3/21/2023",2023-03-21,"L","1","3","1","3"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"3","3/21/2023",2023-03-21,"L","1","3","1","3"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"5","3/21/2023",2023-03-21,"L","1","3","1","2"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"7","3/21/2023",2023-03-21,"L","1","3","1","2"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"7","3/21/2023",2023-03-21,"L","1","3","1","3"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"1","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"1","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"1","3/21/2023",2023-03-21,"S","2","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"1","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"1","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"1","3/21/2023",2023-03-21,"S","2","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"1","3/21/2023",2023-03-21,"S","2","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"2","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"2","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"3","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"3","3/21/2023",2023-03-21,"S","2","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"3","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"3","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"4","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"4","3/21/2023",2023-03-21,"S","2","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"4","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"4","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"5","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"5","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"5","3/21/2023",2023-03-21,"S","2","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"6","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"6","3/21/2023",2023-03-21,"S","1","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"6","3/21/2023",2023-03-21,"S","2","3","1","0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"7","3/21/2023",2023-03-21,"S","1","3","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"1","3/22/2023",2023-03-22,"S","1","1","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"1","3/22/2023",2023-03-22,"S","1","1","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"1","3/22/2023",2023-03-22,"S","1","1","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"2","3/22/2023",2023-03-22,"S","2","1","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"2","3/22/2023",2023-03-22,"S","2","1","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"2","3/22/2023",2023-03-22,"S","2","1","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"7","3/22/2023",2023-03-22,"S","2","1","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"7","3/22/2023",2023-03-22,"S","2","1","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"7","3/22/2023",2023-03-22,"S","1","1","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"1","3/22/2023",2023-03-22,"L","1","2","1","3"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"2","3/22/2023",2023-03-22,"L","1","2","1","3"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"2","3/22/2023",2023-03-22,"L","1","2","1","2"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"2","3/22/2023",2023-03-22,"L","1","2","1","2"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"2","3/22/2023",2023-03-22,"L","1","2","1","1"
"10403 _ 1 _ 2023","WY","10403",1,"BS",2023,"1","3/22/2023",2023-03-22,"L","1","3","1","1"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"2","3/22/2023",2023-03-22,"S","2","3","1","0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"7","3/22/2023",2023-03-22,"S","2","3","1","0"
"10422 _ 1 _ 2023","WY","10422",1,"BS",2023,"3","3/30/2023",2023-03-30,"L","1","1","1","3"
