"site_id","trt","dwd_count","stumps","logs","size_cl","decay_cl","char_cl","length_cl","dwd_dens","log_dens","stump_dens","avg_volume","avg_count"
"10024 _ 1 _ 2023","BS",64,14,50,1.4,2,2.2,1.6,0.11,0.09,0.02,2.5846086,9.14285714285714
"10024 _ 1 _ 2024","BS",33,8,25,1.2,2,2.5,1.7,0.06,0.04,0.01,1.5154854,4.71428571428571
"10078 _ 1 _ 2023","HB",60,37,23,1.4,2,2.9,0.9,0.11,0.04,0.07,1.4427484,8.57142857142857
"10078 _ 1 _ 2024","HB",48,32,16,1.5,1.4,2.8,0.5,0.08,0.03,0.06,0.9697213,6.85714285714286
"10153 _ 1 _ 2023","BS",45,21,24,1.4,2.3,3,1.3,0.08,0.04,0.04,1.7770861,6.42857142857143
"10153 _ 1 _ 2024","BS",64,43,21,1.4,1.5,2.2,0.6,0.11,0.04,0.08,1.3124214,9.14285714285714
"10185 _ 1 _ 2023","BS",47,26,21,1.5,2.1,2.9,0.8,0.08,0.04,0.05,1.1876167,6.71428571428571
"10185 _ 1 _ 2024","BS",49,28,21,1.4,1.7,2.5,0.9,0.09,0.04,0.05,1.2523069,7
"10258 _ 1 _ 2023","BS",41,24,17,1.4,1.9,2.1,1,0.07,0.03,0.04,1.2799185,5.85714285714286
"10302 _ 1 _ 2023","UU",29,7,22,1.4,2.9,1.1,2.1,0.05,0.04,0.01,1.9971904,4.14285714285714
"10302 _ 1 _ 2024","UU",42,15,27,1.4,2.6,1,1.6,0.07,0.05,0.03,2.3247435,6
"10399 _ 1 _ 2023","HU",52,23,29,1.4,1.9,1,1.4,0.09,0.05,0.04,2.3870669,7.42857142857143
"10399 _ 1 _ 2024","HU",56,31,25,1.6,1.9,1,1,0.1,0.04,0.05,2.3151189,8
"10403 _ 1 _ 2023","BS",32,18,14,1.3,2.8,2.9,0.9,0.06,0.02,0.03,0.726581,4.57142857142857
"10403 _ 1 _ 2024","BS",48,37,11,1.4,1.4,2.3,0.4,0.08,0.02,0.07,0.7396768,6.85714285714286
"10422 _ 1 _ 2023","BS",62,20,42,1.2,1.9,2.2,1.6,0.11,0.07,0.04,2.1742205,8.85714285714286
"10422 _ 1 _ 2024","BS",49,20,29,1.2,1.6,2.3,0.8,0.09,0.05,0.04,0.8013691,7
"10422 _ 2 _ 2024","BS",43,31,12,1.4,1.6,2.1,0.5,0.08,0.02,0.05,0.8023158,6.14285714285714
"10439 _ 1 _ 2023","UU",36,12,24,1.6,2.8,1,1.8,0.06,0.04,0.02,2.4738464,5.14285714285714
"10439 _ 1 _ 2024","UU",47,25,22,1.4,2.5,1,1.1,0.08,0.04,0.04,1.643919,6.71428571428571
"10444 _ 1 _ 2023","HU",34,25,9,1.4,1.7,1.4,0.6,0.06,0.02,0.04,0.7623972,4.85714285714286
"10444 _ 1 _ 2024","HU",63,38,25,1.4,1.8,1,0.7,0.11,0.04,0.07,1.3354574,9
"10463 _ 1 _ 2024","BS",37,15,22,1.4,1.6,2,1.1,0.07,0.04,0.03,1.0079043,5.28571428571429
"10467 _ 1 _ 2023","HB",25,10,15,1.4,2.1,3,1.2,0.04,0.03,0.02,0.8625881,3.57142857142857
"10467 _ 1 _ 2024","HB",43,25,18,1.4,1.9,2.7,0.8,0.08,0.03,0.04,1.173732,6.14285714285714
"10471 _ 1 _ 2024","BS",61,36,25,1.3,2.1,2.5,0.8,0.11,0.04,0.06,1.5281078,8.71428571428571
"10471 _ 2 _ 2024","BS",52,33,19,1.5,1.3,1.9,0.7,0.09,0.03,0.06,1.2059193,7.42857142857143
"10488 _ 1 _ 2023","HB",30,27,3,1.5,2.1,3,0.2,0.05,0.01,0.05,0.4449421,4.28571428571429
"10498 _ 1 _ 2023","HB",52,37,15,1.4,2.2,3,0.6,0.09,0.03,0.07,1.1281333,7.42857142857143
"10506 _ 1 _ 2023","BS",60,23,37,1.4,1.9,2.2,1.4,0.11,0.07,0.04,2.1055859,8.57142857142857
"10506 _ 1 _ 2024","BS",51,20,31,1.5,1.7,2.5,0.9,0.09,0.05,0.04,1.3584934,7.28571428571429
"10550 _ 1 _ 2023","BS",47,24,23,1.3,2,2.5,1.1,0.08,0.04,0.04,1.4771446,6.71428571428571
