"plot_id","site_id","landowner","tree_farm","stand","subplot","trt","year","date","date_mdy","lat","long","weather","elev","temp","hum","canopy_cov","veg_cov","dwd_cov","fwd_cov","soil_moist_avg","obs","PLDU","ENES","OSS","TAGR","AMGR","ANFE"
"10024 _ 1 _ 2023 _ 1","10024 _ 1 _ 2023","WY","CL",10024,1,"BS",2023,"5/22/2023",2023-05-22,45.086566,122.438395,"C",858,55.1,68.4,0,4,2,1,10.16666667,NA,0,0,0,0,0,0
"10024 _ 1 _ 2023 _ 2","10024 _ 1 _ 2023","WY","CL",10024,2,"BS",2023,"5/22/2023",2023-05-22,45.086666,122.438834,"C",875,53.9,69.4,0,4,1,2,6.2,NA,0,0,0,0,0,0
"10024 _ 1 _ 2023 _ 3","10024 _ 1 _ 2023","WY","CL",10024,3,"BS",2023,"5/22/2023",2023-05-22,45.08683,122.43839,"C",862,57.8,61.1,0,2,2,3,0,NA,0,0,0,0,0,0
"10024 _ 1 _ 2023 _ 4","10024 _ 1 _ 2023","WY","CL",10024,4,"BS",2023,"5/22/2023",2023-05-22,45.08679,122.43792,"C",847,56.5,64.1,0,2,1,3,45,NA,0,0,0,0,0,0
"10024 _ 1 _ 2023 _ 5","10024 _ 1 _ 2023","WY","CL",10024,5,"BS",2023,"5/22/2023",2023-05-22,45.08652,122.43789,"C",848,57.8,58.5,0,3,2,4,4.566666667,NA,0,0,0,0,0,0
"10024 _ 1 _ 2023 _ 6","10024 _ 1 _ 2023","WY","CL",10024,6,"BS",2023,"5/22/2023",2023-05-22,45.08632,122.43806,"C",827,58.8,58.8,0,4,2,4,12.06666667,NA,0,0,0,0,0,0
"10024 _ 1 _ 2023 _ 7","10024 _ 1 _ 2023","WY","CL",10024,7,"BS",2023,"5/22/2023",2023-05-22,45.08622,122.43843,"C",830,58.1,63.3,0,3,2,3,18.8,NA,0,0,0,0,0,0
"10024 _ 1 _ 2024 _ 1","10024 _ 1 _ 2024","WY","CL",10024,1,"BS",2024,"3/26/2024",2024-03-26,45.084157,122.436039,"PC",834,53.8,72.3,0,4,1,4,25.37,"SLG",0,0,0,0,0,0
"10024 _ 1 _ 2024 _ 2","10024 _ 1 _ 2024","WY","CL",10024,2,"BS",2024,"3/26/2024",2024-03-26,45.084014,122.435835,"PC",834,53.8,72.3,0,3,1,2,23.23,"SLG",0,0,0,0,0,0
"10024 _ 1 _ 2024 _ 3","10024 _ 1 _ 2024","WY","CL",10024,3,"BS",2024,"3/26/2024",2024-03-26,45.083929,122.436215,"PC",834,53.8,72.3,0,4,2,2,34.5,"SLG",0,0,0,0,0,0
"10024 _ 1 _ 2024 _ 4","10024 _ 1 _ 2024","WY","CL",10024,4,"BS",2024,"3/26/2024",2024-03-26,45.084232,122.436469,"SU",834,53.8,72.3,0,3,3,2,20.8,"JW",1,0,0,0,0,0
"10024 _ 1 _ 2024 _ 5","10024 _ 1 _ 2024","WY","CL",10024,5,"BS",2024,"3/26/2024",2024-03-26,45.084359,122.436522,"SU",834,53.8,72.3,0,3,1,2,35.6,"JW",0,0,0,0,0,0
"10024 _ 1 _ 2024 _ 6","10024 _ 1 _ 2024","WY","CL",10024,6,"BS",2024,"3/26/2024",2024-03-26,45.084316,122.436351,"C",834,53.8,72.3,0,2,2,4,38.07,"JW",0,0,0,0,0,0
"10024 _ 1 _ 2024 _ 7","10024 _ 1 _ 2024","WY","CL",10024,7,"BS",2024,"3/26/2024",2024-03-26,45.084185,122.435837,"R",834,53.8,72.3,0,3,1,1,19.9,"JW",0,0,0,0,0,0
"10078 _ 1 _ 2023 _ 1","10078 _ 1 _ 2023","WY","CL",10078,1,"HB",2023,"3/15/2023",2023-03-15,45.094977,122.396292,"SN",1851.71,37.1,89.7,0,3,1,1,26.4,NA,0,0,0,0,0,0
"10078 _ 1 _ 2023 _ 2","10078 _ 1 _ 2023","WY","CL",10078,2,"HB",2023,"3/15/2023",2023-03-15,45.095162,122.39622,"C",1851.71,36.2,86.3,0,4,1,1,28.33333333,NA,0,0,0,0,0,0
"10078 _ 1 _ 2023 _ 3","10078 _ 1 _ 2023","WY","CL",10078,3,"HB",2023,"3/15/2023",2023-03-15,45.095056,122.396072,"SN",1851.71,36.8,83.2,0,3,1,1,26.06666667,NA,0,0,0,0,0,0
"10078 _ 1 _ 2023 _ 4","10078 _ 1 _ 2023","WY","CL",10078,4,"HB",2023,"3/15/2023",2023-03-15,45.094895,122.396144,"C",1851.71,36.2,92.1,0,3,1,1,32.23333333,NA,0,0,0,0,0,0
"10078 _ 1 _ 2023 _ 5","10078 _ 1 _ 2023","WY","CL",10078,5,"HB",2023,"3/15/2023",2023-03-15,45.09457,122.39622,"PC",1851.71,39.1,87.4,0,3,1,1,33.03333333,NA,0,0,0,0,0,0
"10078 _ 1 _ 2023 _ 6","10078 _ 1 _ 2023","WY","CL",10078,6,"HB",2023,"3/15/2023",2023-03-15,45.09463,122.39655,"PC",1851.71,38.5,91.9,0,4,1,1,31.83333333,NA,0,0,0,0,0,0
"10078 _ 1 _ 2023 _ 7","10078 _ 1 _ 2023","WY","CL",10078,7,"HB",2023,"3/15/2023",2023-03-15,45.095091,122.396354,"PC",1851.71,38,98.3,0,4,1,1,33,NA,0,0,0,0,0,0
"10078 _ 1 _ 2024 _ 1","10078 _ 1 _ 2024","WY","CL",10078,1,"HB",2024,"4/3/2024",2024-04-03,45.096816,122.397379,"C",1923,43.4,83.2,0,4,2,1,28.63,"RMM",0,0,0,0,0,0
"10078 _ 1 _ 2024 _ 2","10078 _ 1 _ 2024","WY","CL",10078,2,"HB",2024,"4/3/2024",2024-04-03,45.097083,122.397541,"C",1923,43.4,83.2,0,4,2,1,24.23,"RMM",0,0,0,0,0,0
"10078 _ 1 _ 2024 _ 3","10078 _ 1 _ 2024","WY","CL",10078,3,"HB",2024,"4/3/2024",2024-04-03,45.09707,122.39718,"PC",1923,43.4,83.2,0,3,1,1,28.23,"JW",0,0,0,0,0,0
"10078 _ 1 _ 2024 _ 4","10078 _ 1 _ 2024","WY","CL",10078,4,"HB",2024,"4/3/2024",2024-04-03,45.096777,122.396966,"PC",1923,43.4,83.2,0,3,1,1,27.2,"JW",0,0,0,0,0,0
"10078 _ 1 _ 2024 _ 5","10078 _ 1 _ 2024","WY","CL",10078,5,"HB",2024,"4/3/2024",2024-04-03,45.096525,122.397226,"C",1923,43.4,83.2,0,3,1,1,23,"JW",0,0,0,0,0,0
"10078 _ 1 _ 2024 _ 6","10078 _ 1 _ 2024","WY","CL",10078,6,"HB",2024,"4/3/2024",2024-04-03,45.096598,122.397515,"C",1923,43.4,83.2,0,3,2,1,25.23,"SLG",0,0,0,0,0,0
"10078 _ 1 _ 2024 _ 7","10078 _ 1 _ 2024","WY","CL",10078,7,"HB",2024,"4/3/2024",2024-04-03,45.096795,122.397797,"C",1923,43.4,83.2,0,4,1,2,25.87,"SLG",0,0,0,0,0,0
"10153 _ 1 _ 2023 _ 1","10153 _ 1 _ 2023","WY","CL",10153,1,"BS",2023,"5/4/2023",2023-05-04,45.11827,122.34462,"R",2725,45.2,91.4,0,2,2,2,18.93333333,NA,0,0,0,0,0,0
"10153 _ 1 _ 2023 _ 2","10153 _ 1 _ 2023","WY","CL",10153,2,"BS",2023,"5/4/2023",2023-05-04,45.11856,122.34462,"R",2742,44.7,94.9,0,3,2,1,21.86666667,NA,0,0,0,0,0,0
