"site_id","stand","trt","year","subplot","V1","V2","V3"
"10024 _ 1 _ 2023",10024,"BS",2023,"1",0,0,0
"10024 _ 1 _ 2023",10024,"BS",2023,"2",0,0,0
"10024 _ 1 _ 2023",10024,"BS",2023,"3",0,0,0
"10024 _ 1 _ 2023",10024,"BS",2023,"4",0,0,0
"10024 _ 1 _ 2023",10024,"BS",2023,"5",0,0,0
"10024 _ 1 _ 2023",10024,"BS",2023,"6",0,0,0
"10024 _ 1 _ 2023",10024,"BS",2023,"7",0,0,0
"10024 _ 1 _ 2024",10024,"BS",2024,"1",0,0,0
"10024 _ 1 _ 2024",10024,"BS",2024,"2",0,0,0
"10024 _ 1 _ 2024",10024,"BS",2024,"3",0,0,0
"10024 _ 1 _ 2024",10024,"BS",2024,"4",0,0,0
"10024 _ 1 _ 2024",10024,"BS",2024,"5",0,0,0
"10024 _ 1 _ 2024",10024,"BS",2024,"6",0,0,0
"10024 _ 1 _ 2024",10024,"BS",2024,"7",0,0,0
"10078 _ 1 _ 2023",10078,"HB",2023,"1",0,0,0
"10078 _ 1 _ 2023",10078,"HB",2023,"2",0,0,0
"10078 _ 1 _ 2023",10078,"HB",2023,"3",0,0,0
"10078 _ 1 _ 2023",10078,"HB",2023,"4",0,0,0
"10078 _ 1 _ 2023",10078,"HB",2023,"5",0,0,0
"10078 _ 1 _ 2023",10078,"HB",2023,"6",0,0,0
"10078 _ 1 _ 2023",10078,"HB",2023,"7",0,0,0
"10078 _ 1 _ 2024",10078,"HB",2024,"1",0,0,0
"10078 _ 1 _ 2024",10078,"HB",2024,"2",0,0,0
"10078 _ 1 _ 2024",10078,"HB",2024,"3",0,0,0
"10078 _ 1 _ 2024",10078,"HB",2024,"4",0,0,0
"10078 _ 1 _ 2024",10078,"HB",2024,"5",0,0,0
"10078 _ 1 _ 2024",10078,"HB",2024,"6",0,0,0
"10078 _ 1 _ 2024",10078,"HB",2024,"7",0,0,0
"10153 _ 1 _ 2023",10153,"BS",2023,"1",0,0,0
"10153 _ 1 _ 2023",10153,"BS",2023,"2",0,0,0
"10153 _ 1 _ 2023",10153,"BS",2023,"3",0,0,0
"10153 _ 1 _ 2023",10153,"BS",2023,"4",1,0,0
"10153 _ 1 _ 2023",10153,"BS",2023,"5",0,0,0
"10153 _ 1 _ 2023",10153,"BS",2023,"6",0,0,0
"10153 _ 1 _ 2023",10153,"BS",2023,"7",0,0,0
"10153 _ 1 _ 2024",10153,"BS",2024,"1",0,0,0
"10153 _ 1 _ 2024",10153,"BS",2024,"2",0,0,0
"10153 _ 1 _ 2024",10153,"BS",2024,"3",0,0,0
"10153 _ 1 _ 2024",10153,"BS",2024,"4",0,0,0
"10153 _ 1 _ 2024",10153,"BS",2024,"5",0,0,0
"10153 _ 1 _ 2024",10153,"BS",2024,"6",0,0,0
"10153 _ 1 _ 2024",10153,"BS",2024,"7",0,0,0
"10185 _ 1 _ 2023",10185,"BS",2023,"1",0,0,0
"10185 _ 1 _ 2023",10185,"BS",2023,"2",0,0,0
"10185 _ 1 _ 2023",10185,"BS",2023,"3",0,0,0
"10185 _ 1 _ 2023",10185,"BS",2023,"4",1,0,0
"10185 _ 1 _ 2023",10185,"BS",2023,"5",0,0,0
"10185 _ 1 _ 2023",10185,"BS",2023,"6",0,0,0
"10185 _ 1 _ 2023",10185,"BS",2023,"7",0,0,0
"10185 _ 1 _ 2024",10185,"BS",2024,"1",0,0,0
"10185 _ 1 _ 2024",10185,"BS",2024,"2",0,0,0
"10185 _ 1 _ 2024",10185,"BS",2024,"3",0,0,0
"10185 _ 1 _ 2024",10185,"BS",2024,"4",0,0,0
