"site_id","stand","trt","year","subplot","V1","V2","V3","jul_date","lat","long","elev","temp","DW","owner","mgmt_type","BS","HB","UU","HU","BU"
"10024 _ 1 _ 2023","10024","BS",2023,1,0,0,0,142,45.086566,-122.438395,849.57,56.9,64,"WY","0",1,0,0,0,0
"10024 _ 1 _ 2023","10024","BS",2023,2,0,0,0,142,45.086566,-122.438395,849.57,56.9,64,"WY","0",1,0,0,0,0
"10024 _ 1 _ 2023","10024","BS",2023,3,0,0,0,142,45.086566,-122.438395,849.57,56.9,64,"WY","0",1,0,0,0,0
"10024 _ 1 _ 2023","10024","BS",2023,4,0,0,0,142,45.086566,-122.438395,849.57,56.9,64,"WY","0",1,0,0,0,0
"10024 _ 1 _ 2023","10024","BS",2023,5,0,0,0,142,45.086566,-122.438395,849.57,56.9,64,"WY","0",1,0,0,0,0
"10024 _ 1 _ 2023","10024","BS",2023,6,0,0,0,142,45.086566,-122.438395,849.57,56.9,64,"WY","0",1,0,0,0,0
"10024 _ 1 _ 2023","10024","BS",2023,7,0,0,0,142,45.086566,-122.438395,849.57,56.9,64,"WY","0",1,0,0,0,0
"10024 _ 1 _ 2024","10024","BS",2024,1,0,0,0,86,45.084157,-122.436039,834,53.8,33,"WY","0",1,0,0,0,0
"10024 _ 1 _ 2024","10024","BS",2024,2,0,0,0,86,45.084157,-122.436039,834,53.8,33,"WY","0",1,0,0,0,0
"10024 _ 1 _ 2024","10024","BS",2024,3,0,0,0,86,45.084157,-122.436039,834,53.8,33,"WY","0",1,0,0,0,0
"10024 _ 1 _ 2024","10024","BS",2024,4,0,0,0,86,45.084157,-122.436039,834,53.8,33,"WY","0",1,0,0,0,0
"10024 _ 1 _ 2024","10024","BS",2024,5,0,0,0,86,45.084157,-122.436039,834,53.8,33,"WY","0",1,0,0,0,0
"10024 _ 1 _ 2024","10024","BS",2024,6,0,0,0,86,45.084157,-122.436039,834,53.8,33,"WY","0",1,0,0,0,0
"10024 _ 1 _ 2024","10024","BS",2024,7,0,0,0,86,45.084157,-122.436039,834,53.8,33,"WY","0",1,0,0,0,0
"10078 _ 1 _ 2023","10078","HB",2023,1,0,0,0,74,45.094977,-122.396292,1851.71,37.4,60,"WY","0",0,1,0,0,0
"10078 _ 1 _ 2023","10078","HB",2023,2,0,0,0,74,45.094977,-122.396292,1851.71,37.4,60,"WY","0",0,1,0,0,0
"10078 _ 1 _ 2023","10078","HB",2023,3,0,0,0,74,45.094977,-122.396292,1851.71,37.4,60,"WY","0",0,1,0,0,0
"10078 _ 1 _ 2023","10078","HB",2023,4,0,0,0,74,45.094977,-122.396292,1851.71,37.4,60,"WY","0",0,1,0,0,0
"10078 _ 1 _ 2023","10078","HB",2023,5,0,0,0,74,45.094977,-122.396292,1851.71,37.4,60,"WY","0",0,1,0,0,0
"10078 _ 1 _ 2023","10078","HB",2023,6,0,0,0,74,45.094977,-122.396292,1851.71,37.4,60,"WY","0",0,1,0,0,0
"10078 _ 1 _ 2023","10078","HB",2023,7,0,0,0,74,45.094977,-122.396292,1851.71,37.4,60,"WY","0",0,1,0,0,0
"10078 _ 1 _ 2024","10078","HB",2024,1,0,0,0,94,45.096816,-122.397379,1923,43.4,48,"WY","0",0,1,0,0,0
"10078 _ 1 _ 2024","10078","HB",2024,2,0,0,0,94,45.096816,-122.397379,1923,43.4,48,"WY","0",0,1,0,0,0
"10078 _ 1 _ 2024","10078","HB",2024,3,0,0,0,94,45.096816,-122.397379,1923,43.4,48,"WY","0",0,1,0,0,0
"10078 _ 1 _ 2024","10078","HB",2024,4,0,0,0,94,45.096816,-122.397379,1923,43.4,48,"WY","0",0,1,0,0,0
"10078 _ 1 _ 2024","10078","HB",2024,5,0,0,0,94,45.096816,-122.397379,1923,43.4,48,"WY","0",0,1,0,0,0
"10078 _ 1 _ 2024","10078","HB",2024,6,0,0,0,94,45.096816,-122.397379,1923,43.4,48,"WY","0",0,1,0,0,0
"10078 _ 1 _ 2024","10078","HB",2024,7,0,0,0,94,45.096816,-122.397379,1923,43.4,48,"WY","0",0,1,0,0,0
"10153 _ 1 _ 2023","10153","BS",2023,1,0,0,0,124,45.11827,-122.34462,2717.43,45.8,45,"WY","0",1,0,0,0,0
"10153 _ 1 _ 2023","10153","BS",2023,2,0,0,0,124,45.11827,-122.34462,2717.43,45.8,45,"WY","0",1,0,0,0,0
"10153 _ 1 _ 2023","10153","BS",2023,3,0,0,0,124,45.11827,-122.34462,2717.43,45.8,45,"WY","0",1,0,0,0,0
"10153 _ 1 _ 2023","10153","BS",2023,4,1,0,0,124,45.11827,-122.34462,2717.43,45.8,45,"WY","0",1,0,0,0,0
"10153 _ 1 _ 2023","10153","BS",2023,5,0,0,0,124,45.11827,-122.34462,2717.43,45.8,45,"WY","0",1,0,0,0,0
"10153 _ 1 _ 2023","10153","BS",2023,6,0,0,0,124,45.11827,-122.34462,2717.43,45.8,45,"WY","0",1,0,0,0,0
"10153 _ 1 _ 2023","10153","BS",2023,7,0,0,0,124,45.11827,-122.34462,2717.43,45.8,45,"WY","0",1,0,0,0,0
"10153 _ 1 _ 2024","10153","BS",2024,1,0,0,0,129,45.116638,-122.342062,2588,46.8,64,"WY","0",1,0,0,0,0
