"site_id","X1","X2","X3","X4","X5","X6","X7","veg_cov","canopy_cov","soil_moist","fwd_cov","dwd_count","avg_volume","trt","soilmoist-1","soilmoist-2","soilmoist-3","soilmoist-4","soilmoist-5","soilmoist-6","soilmoist-7","temp-1","temp-2","temp-3","temp-4","temp-5","temp-6","temp-7","rain-1","rain-2","rain-3","rain-4","rain-5","rain-6","rain-7","dwdcov-1","dwdcov-2","dwdcov-3","dwdcov-4","dwdcov-5","dwdcov-6","dwdcov-7","trt-1","trt-2","trt-3","trt-4","trt-5","trt-6","trt-7"
1,0,0,0,0,0,0,1,3.1,0,13.83,2.9,64,2.5846086,"BU",22.3,27.07,23.83,20.43,16.9,23.33,25.37,56.9,56.9,56.9,56.9,56.9,56.9,56.9,13,13,13,13,13,13,13,1,2,2,1,2,2,1,"BU","BU","BU","BU","BU","BU","BU"
2,0,0,0,0,0,0,0,3.1,0,28.21,2.4,33,1.5154854,"BS",10.17,6.2,0,45,4.57,12.07,18.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,0,0,0,0,0,0,0,2,1,2,1,2,2,2,"BS","BS","BS","BS","BS","BS","BS"
3,0,0,0,0,0,0,0,3.4,0,30.13,1,60,1.4427484,"HB",26.4,28.33,26.07,32.23,33.03,31.83,33,37.4,37.4,37.4,37.4,37.4,37.4,37.4,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
4,0,0,0,0,0,0,0,3.4,0,26.06,1.1,48,0.9697213,"BS",18.93,21.87,30.1,27.03,21.03,29.4,31.6,43.4,43.4,43.4,43.4,43.4,43.4,43.4,0,0,0,0,0,0,0,2,2,1,1,1,2,1,"BS","BS","BS","BS","BS","BS","BS"
5,0,0,0,0,1,0,0,2.4,0,25.71,1.7,45,1.7770861,"BS",36.2,32.4,44.4,27.37,25.07,32.2,35.2,45.8,45.8,45.8,45.8,45.8,45.8,45.8,0,0,0,0,0,0,0,2,1,2,2,1,1,1,"BS","BS","BS","BS","BS","BS","BS"
6,0,0,0,0,0,0,0,3.7,0,25.68,3.3,64,1.3124214,"BS",30.8,27.43,11.37,15.63,18.17,7.53,23.97,46.8,46.8,46.8,46.8,46.8,46.8,46.8,0,0,0,0,0,0,0,1,2,1,2,1,1,1,"BS","BS","BS","BS","BS","BS","BS"
7,0,0,0,1,0,1,1,2.7,0,33.26,2,47,1.1876167,"UU",20.77,15.6,13.9,14,18.1,15,14.53,45.3,45.3,45.3,45.3,45.3,45.3,45.3,0,0,0,0,0,0,0,1,1,1,1,2,1,2,"UU","UU","UU","UU","UU","UU","UU"
8,0,0,0,0,0,0,0,3.4,0,10.97,2,49,1.2523069,"HU",25.73,22.87,25,25.3,21.63,25.93,26.27,56.9,56.9,56.9,56.9,56.9,56.9,56.9,1,1,1,1,1,1,1,2,2,2,2,1,2,1,"HU","HU","HU","HU","HU","HU","HU"
9,0,0,0,0,0,0,1,1.6,0,19.27,2.6,41,1.2799185,"BS",26.8,17.2,15.47,25.57,17.87,24.47,15.7,44,44,44,44,44,44,44,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"BS","BS","BS","BS","BS","BS","BS"
10,0,0,0,0,0,0,0,1.3,3.9,15.99,2.9,29,1.9971904,"BS",27.87,31.43,26.73,21.67,29.4,19.97,27.07,42.7,42.7,42.7,42.7,42.7,42.7,42.7,7,7,7,7,7,7,7,2,2,1,2,2,1,1,"BS","BS","BS","BS","BS","BS","BS"
