landowner,stand,site_rep,trt,year,date,obs,subplot,sample_id,recap,pass,spp,cover_obj,substrate,svl,age_class
WY,10399,1,HU,2024,5/7/2024,JW,7,JW01,0,2,OSS,O,L,44,A
ODF,12421,1,BU,2024,5/14/2024,JW,4,,0,2,OSS,W,W,,A
BLM,29123,1,UU,2024,3/27/2024,JW,3,,0,1,OSS,W,W,,A
PB,34007,1,HB,2024,4/22/2024,JW,2,,0,2,OSS,W,W,,A
ODF,12441,1,BU,2024,5/14/2024,RMM,4,,0,1,OSS,W,W,44,A
WY,10968,1,HU,2024,5/7/2024,JW,7,,0,1,OSS,W,D,30,A
WY,10506,1,BS,2024,3/26/2024,RMM,3,RM01,0,2,OSS,O,D,49,A
BLM,15562,1,BU,2024,4/1/2024,RMM,7,SG01,1,3,OSS,W,L,40,A
PB,408162,1,HU,2024,4/24/2024,SLG,2,RM01,1,3,OSS,W,W,43,A
WY,20616,1,UU,2024,3/21/2024,SLG,2,,0,1,ENES,W,D,,A
BLM,29121,1,UU,2024,3/25/2024,JW,1,,0,3,ENES,L,D,,A
WY,10024,1,BS,2024,3/26/2024,RMM,4,,0,3,PLDU,W,L,,A
WY,10506,1,BS,2024,3/26/2024,JW,3,JW01,0,2,OSS,W,D,39,A
WY,10506,1,BS,2024,3/26/2024,RMM,2,RM02,0,3,OSS,W,L,41,A
BLM,29122,1,UU,2024,3/27/2024,JW,1,,0,1,ENES,W,D,,A
BLM,29122,1,UU,2024,3/27/2024,JW,2,,0,1,ENES,W,D,,A
BLM,29122,1,UU,2024,3/27/2024,JW,3,,0,2,ENES,W,D,,A
BLM,29122,1,UU,2024,3/27/2024,JW,5,JW01,0,2,OSS,W,W,38,A
BLM,29122,1,UU,2024,3/27/2024,SLG,6,SG01,0,1,OSS,W,W,30,A
BLM,29122,1,UU,2024,3/27/2024,SLG,4,SG02,0,3,OSS,W,W,44,A
BLM,29123,1,UU,2024,3/27/2024,SLG,4,,0,3,AMGR,W,L,,A
BLM,29123,1,UU,2024,3/27/2024,SLG,3,,0,3,ENES,W,W,,A
BLM,29123,1,UU,2024,3/27/2024,JW,7,,0,2,ENES,W,L,,A
BLM,29123,1,UU,2024,3/27/2024,RMM,3,,0,2,ENES,W,L,,A
BLM,29123,1,UU,2024,3/27/2024,RMM,6,,0,3,ENES,W,D,,A
BLM,29123,1,UU,2024,3/27/2024,JW,3,JW01,0,1,OSS,W,W,35,A
BLM,29123,1,UU,2024,3/27/2024,JW,3,JW02,0,1,OSS,W,W,40,A
BLM,29123,1,UU,2024,3/27/2024,JW,3,JW03,0,1,OSS,W,W,42,A
BLM,29123,1,UU,2024,3/27/2024,JW,2,JW04,0,3,OSS,L,D,45,A
