date,subplot_code,year,id_num,dwd_type,size_cl,decay_cl,char_cl,length_cl,
5/1/2023,BLM10302_UU_01,2023,1,S,2,3,2,,
5/1/2023,BLM10302_UU_01,2023,2,L,1,3,1,3,
5/1/2023,BLM10302_UU_01,2023,3,L,1,3,1,3,
5/1/2023,BLM10302_UU_02,2023,1,L,1,3,1,3,
5/1/2023,BLM10302_UU_02,2023,2,L,1,3,1,2,
5/1/2023,BLM10302_UU_03,2023,1,S,2,3,2,,
5/1/2023,BLM10302_UU_03,2023,2,L,1,3,1,3,
5/1/2023,BLM10302_UU_04,2023,1,L,2,3,2,3,
5/1/2023,BLM10302_UU_04,2023,2,L,2,3,1,3,
5/1/2023,BLM10302_UU_04,2023,3,L,1,3,1,3,
5/1/2023,BLM10302_UU_04,2023,4,L,1,3,1,2,
5/1/2023,BLM10302_UU_04,2023,5,S,2,3,1,,
5/1/2023,BLM10302_UU_05,2023,1,L,2,3,1,3,
5/1/2023,BLM10302_UU_05,2023,2,L,1,3,1,3,
5/1/2023,BLM10302_UU_06,2023,1,S,2,3,1,,
5/1/2023,BLM10302_UU_06,2023,2,S,2,3,1,,
5/1/2023,BLM10302_UU_06,2023,3,S,1,3,1,,
5/1/2023,BLM10302_UU_06,2023,4,L,2,3,1,3,
5/1/2023,BLM10302_UU_06,2023,5,L,1,2,1,3,
5/1/2023,BLM10302_UU_06,2023,6,L,1,3,1,2,
5/1/2023,BLM10302_UU_06,2023,7,L,1,3,2,2,
5/1/2023,BLM10302_UU_07,2023,1,L,2,3,1,3,
5/1/2023,BLM10302_UU_07,2023,2,L,2,2,1,3,
5/1/2023,BLM10302_UU_07,2023,3,L,2,3,1,3,
5/1/2023,BLM10302_UU_07,2023,4,L,1,3,1,3,
5/1/2023,BLM10302_UU_07,2023,5,L,1,2,1,3,
5/1/2023,BLM10302_UU_07,2023,6,S,1,3,1,,
5/1/2023,BLM10302_UU_07,2023,7,L,1,3,1,2,
5/1/2023,BLM10302_UU_07,2023,8,L,1,3,1,2,
5/4/2023,BLM10439_UU_01,2023,1,L,1,3,1,3,
5/4/2023,BLM10439_UU_01,2023,2,L,2,2,1,3,
5/4/2023,BLM10439_UU_01,2023,3,L,1,3,1,3,
5/4/2023,BLM10439_UU_01,2023,4,L,1,3,1,3,
5/4/2023,BLM10439_UU_01,2023,5,S,2,2,1,,
5/4/2023,BLM10439_UU_01,2023,6,L,2,3,1,3,
5/4/2023,BLM10439_UU_01,2023,7,L,1,3,1,3,
5/4/2023,BLM10439_UU_02,2023,1,L,1,3,1,2,
5/4/2023,BLM10439_UU_02,2023,2,L,2,3,1,3,
5/4/2023,BLM10439_UU_02,2023,3,S,2,3,1,,
5/4/2023,BLM10439_UU_02,2023,4,S,2,2,1,,
5/4/2023,BLM10439_UU_02,2023,5,S,2,3,1,,
5/4/2023,BLM10439_UU_02,2023,6,L,2,3,1,2,
5/4/2023,BLM10439_UU_02,2023,7,L,1,3,1,1,
5/4/2023,BLM10439_UU_03,2023,1,L,2,3,1,3,
5/4/2023,BLM10439_UU_03,2023,2,L,1,3,1,2,
5/4/2023,BLM10439_UU_03,2023,3,L,1,3,1,1,
5/4/2023,BLM10439_UU_03,2023,4,S,2,1,1,,
5/4/2023,BLM10439_UU_03,2023,5,S,1,3,1,,
5/4/2023,BLM10439_UU_03,2023,6,S,1,3,1,,
5/4/2023,BLM10439_UU_04,2023,1,L,2,3,1,3,
5/4/2023,BLM10439_UU_04,2023,2,S,1,2,1,,
5/4/2023,BLM10439_UU_04,2023,3,S,2,3,1,,
5/4/2023,BLM10439_UU_04,2023,4,L,1,3,1,2,
5/4/2023,BLM10439_UU_05,2023,1,L,1,2,1,3,
5/4/2023,BLM10439_UU_05,2023,2,L,2,3,1,3,
5/4/2023,BLM10439_UU_05,2023,3,L,2,3,1,3,
5/4/2023,BLM10439_UU_05,2023,4,L,1,2,1,3,
5/4/2023,BLM10439_UU_05,2023,5,S,2,3,1,,
5/4/2023,BLM10439_UU_05,2023,6,S,2,3,1,,
5/4/2023,BLM10439_UU_06,2023,1,L,2,3,1,3,
5/4/2023,BLM10439_UU_06,2023,2,L,2,3,1,3,
5/4/2023,BLM10439_UU_06,2023,3,L,2,3,1,3,
5/4/2023,BLM10439_UU_07,2023,1,S,2,3,1,,
5/4/2023,BLM10439_UU_07,2023,2,L,1,3,1,2,
5/4/2023,BLM10439_UU_07,2023,3,L,1,3,1,3,
4/24/2023,BLM12213_UU_01,2023,1,L,1,3,1,3,
4/24/2023,BLM12213_UU_01,2023,2,S,1,3,1,,
4/24/2023,BLM12213_UU_01,2023,3,S,1,2,1,,
4/24/2023,BLM12213_UU_01,2023,4,L,1,3,1,3,
4/24/2023,BLM12213_UU_01,2023,5,L,1,3,1,3,
4/24/2023,BLM12213_UU_02,2023,1,L,1,3,1,1,
4/24/2023,BLM12213_UU_02,2023,2,L,1,3,1,3,
4/24/2023,BLM12213_UU_02,2023,3,S,1,3,1,,
4/24/2023,BLM12213_UU_03,2023,1,S,2,3,1,,
4/24/2023,BLM12213_UU_03,2023,2,S,1,3,1,,
4/24/2023,BLM12213_UU_04,2023,1,L,1,2,1,3,
4/24/2023,BLM12213_UU_04,2023,2,L,2,2,1,3,
4/24/2023,BLM12213_UU_04,2023,3,L,2,2,1,3,
4/24/2023,BLM12213_UU_04,2023,4,L,2,2,1,3,
4/24/2023,BLM12213_UU_04,2023,5,S,2,3,1,,
4/24/2023,BLM12213_UU_04,2023,6,S,2,3,1,,
4/24/2023,BLM12213_UU_04,2023,7,S,1,3,1,,
4/24/2023,BLM12213_UU_05,2023,1,L,1,2,1,3,
4/24/2023,BLM12213_UU_05,2023,2,L,1,2,1,3,
4/24/2023,BLM12213_UU_05,2023,3,L,1,2,1,2,
4/24/2023,BLM12213_UU_05,2023,4,L,1,2,1,2,
4/24/2023,BLM12213_UU_05,2023,5,L,1,3,1,3,
4/24/2023,BLM12213_UU_05,2023,6,L,1,3,1,3,
4/24/2023,BLM12213_UU_05,2023,7,L,1,3,1,3,
4/24/2023,BLM12213_UU_05,2023,8,L,1,3,1,2,
4/24/2023,BLM12213_UU_05,2023,9,L,1,3,1,1,
4/24/2023,BLM12213_UU_05,2023,10,S,1,3,1,,
4/24/2023,BLM12213_UU_06,2023,1,L,1,3,1,3,
4/24/2023,BLM12213_UU_06,2023,2,L,1,3,1,2,
4/24/2023,BLM12213_UU_06,2023,3,L,1,3,1,1,
4/24/2023,BLM12213_UU_06,2023,4,L,1,3,1,1,
4/24/2023,BLM12213_UU_06,2023,5,L,1,3,1,1,
4/24/2023,BLM12213_UU_06,2023,6,S,1,3,1,,
4/24/2023,BLM12213_UU_07,2023,1,L,1,2,1,3,
4/24/2023,BLM12213_UU_07,2023,2,L,1,2,1,3,
4/24/2023,BLM12213_UU_07,2023,3,L,1,2,1,3,
4/24/2023,BLM12213_UU_07,2023,4,L,1,3,1,1,
4/24/2023,BLM12213_UU_07,2023,5,L,1,3,1,1,
4/24/2023,BLM12213_UU_07,2023,6,L,1,3,1,2,
3/15/2023,BLM12239_UU_01,2023,1,L,1,3,0,1,
3/15/2023,BLM12239_UU_01,2023,2,L,1,3,0,2,
3/15/2023,BLM12239_UU_01,2023,3,L,2,3,0,3,
3/15/2023,BLM12239_UU_01,2023,4,L,1,3,0,1,
3/15/2023,BLM12239_UU_01,2023,5,L,1,3,0,3,
3/15/2023,BLM12239_UU_01,2023,6,S,2,3,0,,
3/15/2023,BLM12239_UU_02,2023,1,L,2,3,1,3,
3/15/2023,BLM12239_UU_02,2023,2,L,1,3,1,2,
3/15/2023,BLM12239_UU_03,2023,1,L,1,3,1,2,
3/15/2023,BLM12239_UU_03,2023,2,L,2,3,1,3,
3/15/2023,BLM12239_UU_03,2023,3,S,2,3,1,,
3/15/2023,BLM12239_UU_04,2023,1,L,2,3,1,3,
3/15/2023,BLM12239_UU_04,2023,2,S,2,3,1,,
3/15/2023,BLM12239_UU_04,2023,3,L,2,3,1,3,
3/15/2023,BLM12239_UU_05,2023,1,S,2,3,1,,
3/15/2023,BLM12239_UU_05,2023,2,L,1,1,1,3,
3/15/2023,BLM12239_UU_05,2023,3,L,1,2,1,3,
3/15/2023,BLM12239_UU_05,2023,4,L,1,2,1,3,
3/15/2023,BLM12239_UU_05,2023,5,L,1,3,1,3,
3/15/2023,BLM12239_UU_05,2023,6,L,1,3,1,3,
3/15/2023,BLM12239_UU_06,2023,0,0,0,0,0,0,
3/15/2023,BLM12239_UU_07,2023,1,L,1,3,1,2,
3/15/2023,BLM12239_UU_07,2023,2,L,1,3,1,3,
3/15/2023,BLM12239_UU_07,2023,3,L,1,3,1,3,
3/15/2023,BLM12239_UU_07,2023,4,S,2,3,1,,
3/15/2023,BLM12239_UU_07,2023,5,S,1,3,1,,
3/15/2023,BLM12239_UU_07,2023,6,L,1,3,1,3,
3/16/2023,BLM13924_UU_01,2023,1,L,1,2,1,3,
3/16/2023,BLM13924_UU_01,2023,2,L,1,3,1,3,
3/16/2023,BLM13924_UU_01,2023,3,S,1,3,1,,
3/16/2023,BLM13924_UU_01,2023,4,L,1,2,1,3,
3/16/2023,BLM13924_UU_01,2023,5,L,1,3,1,3,
3/16/2023,BLM13924_UU_02,2023,0,0,0,0,0,0,
3/16/2023,BLM13924_UU_03,2023,1,L,2,3,1,2,
3/16/2023,BLM13924_UU_03,2023,2,L,2,3,1,2,
3/16/2023,BLM13924_UU_03,2023,3,S,2,3,1,,
3/16/2023,BLM13924_UU_03,2023,4,L,1,3,1,3,
3/16/2023,BLM13924_UU_03,2023,5,L,1,3,1,3,
3/16/2023,BLM13924_UU_04,2023,1,S,1,3,1,,
3/16/2023,BLM13924_UU_04,2023,2,L,1,3,1,1,
3/16/2023,BLM13924_UU_04,2023,3,L,1,2,1,3,
3/16/2023,BLM13924_UU_04,2023,4,L,1,2,1,2,
3/16/2023,BLM13924_UU_04,2023,5,L,1,2,1,3,
3/16/2023,BLM13924_UU_04,2023,6,L,1,2,1,2,
3/16/2023,BLM13924_UU_04,2023,7,L,2,2,1,3,
3/16/2023,BLM13924_UU_05,2023,1,L,1,2,1,3,
3/16/2023,BLM13924_UU_05,2023,2,L,1,2,1,3,
3/16/2023,BLM13924_UU_05,2023,3,L,1,2,1,3,
3/16/2023,BLM13924_UU_05,2023,4,L,2,2,1,3,
3/16/2023,BLM13924_UU_05,2023,5,L,1,3,1,3,
3/16/2023,BLM13924_UU_05,2023,6,L,2,3,1,3,
3/16/2023,BLM13924_UU_05,2023,7,L,1,2,1,3,
3/16/2023,BLM13924_UU_05,2023,8,L,1,3,1,2,
3/16/2023,BLM13924_UU_05,2023,9,L,1,2,1,2,
3/16/2023,BLM13924_UU_05,2023,10,L,1,3,1,3,
3/16/2023,BLM13924_UU_05,2023,11,L,1,3,1,2,
3/16/2023,BLM13924_UU_05,2023,12,L,1,3,1,2,
3/16/2023,BLM13924_UU_05,2023,13,S,2,3,1,,
3/16/2023,BLM13924_UU_06,2023,1,L,1,2,1,3,
3/16/2023,BLM13924_UU_06,2023,2,L,1,2,1,3,
3/16/2023,BLM13924_UU_06,2023,3,S,1,3,1,,
3/16/2023,BLM13924_UU_06,2023,4,L,1,2,1,3,
3/16/2023,BLM13924_UU_07,2023,1,L,2,2,1,3,
3/16/2023,BLM13924_UU_07,2023,2,L,1,3,1,2,
3/16/2023,BLM13924_UU_07,2023,3,L,1,2,1,3,
3/16/2023,BLM13924_UU_07,2023,4,L,1,2,1,2,
3/16/2023,BLM13924_UU_07,2023,5,S,1,3,1,,
3/27/2023,BLM15562_BU_01,2023,1,S,2,3,3,,
3/27/2023,BLM15562_BU_02,2023,1,S,2,3,3,,
3/27/2023,BLM15562_BU_03,2023,1,L,1,2,3,3,
3/27/2023,BLM15562_BU_03,2023,2,S,1,3,3,,
3/27/2023,BLM15562_BU_03,2023,3,S,1,3,3,,
3/27/2023,BLM15562_BU_04,2023,1,L,1,1,2,3,
3/27/2023,BLM15562_BU_04,2023,2,S,2,3,3,,
3/27/2023,BLM15562_BU_05,2023,1,S,2,3,3,,
3/27/2023,BLM15562_BU_05,2023,2,L,1,3,3,2,
3/27/2023,BLM15562_BU_05,2023,3,L,1,3,3,2,
3/27/2023,BLM15562_BU_06,2023,1,L,1,2,2,3,
3/27/2023,BLM15562_BU_06,2023,2,L,1,3,3,3,
3/27/2023,BLM15562_BU_06,2023,3,L,1,2,2,3,
3/27/2023,BLM15562_BU_06,2023,4,L,2,3,2,3,
