subplot_code,site_rep,date,obs,pass,spp,under,cover_obj,substrate,age_class
PB34007_HB_02,1,4/21/2023,JW,3,ENES,Y,D,D,A
BLM12213_UU_02,1,4/24/2023,JW,1,ENES,Y,L,L,J
BLM12213_UU_03,1,4/24/2023,JW,2,ENES,Y,L,D,A
ODF12033_BU_04,1,4/26/2023,JW,3,ENES,Y,L,L,J
BLM12213_UU_03,1,4/24/2023,BZ,3,ENES,Y,M,L,A
BLM12213_UU_07,1,4/24/2023,JB,3,OSS,Y,M,W,SA
BLM10439_UU_01,1,5/4/2023,JB,3,OSS,Y,O,L,J
PB33628_HB_02,1,4/6/2023,JB,1,OSS,Y,O,O,A
PB33628_HB_02,1,4/6/2023,JB,1,OSS,Y,O,O,J
ODF12349_BU_05,1,5/2/2023,JW,3,ENES,Y,R,D,A
PB33628_HB_02,1,4/6/2023,JW,2,OSS,Y,R,O,A
PB33628_HB_02,1,4/6/2023,JW,2,OSS,Y,R,O,A
PB408178_HB_05,2,4/19/2023,BZ,3,OSS,Y,R,D,J
PB9757_BU_05,1,4/19/2023,JW,2,ENES,Y,R,R,
WY10597_HB_05,1,3/23/2023,JB,3,PLDU,Y,R,D,A
BLM10302_UU_04,1,5/1/2023,JW,2,OSS,Y,W,W,A
BLM10302_UU_06,1,5/1/2023,BZ,1,OSS,Y,W,W,J
BLM10302_UU_06,1,5/1/2023,BZ,1,OSS,Y,W,W,J
BLM10302_UU_06,1,5/1/2023,JW,3,OSS,Y,W,M,J
BLM10302_UU_06,1,5/1/2023,JB,2,OSS,Y,W,W,A
BLM10302_UU_06,1,5/1/2023,JB,2,ENES,Y,W,W,J
BLM10302_UU_07,1,5/1/2023,BZ,1,ENES,Y,W,W,
BLM10302_UU_07,1,5/1/2023,JW,3,ENES,Y,W,W,A
BLM10302_UU_07,1,5/1/2023,JB,2,OSS,Y,W,W,A
BLM10439_UU_03,1,5/4/2023,JW,2,OSS,Y,W,W,A
BLM10439_UU_03,1,5/4/2023,JW,2,ENES,Y,W,W,A
BLM10439_UU_05,1,5/4/2023,JW,2,OSS,Y,W,W,SA
BLM10439_UU_05,1,5/4/2023,BZ,3,OSS,Y,W,W,SA
BLM10439_UU_07,1,5/4/2023,JW,3,OSS,Y,W,W,SA
BLM12213_UU_01,1,4/24/2023,JW,1,OSS,Y,W,W,A
BLM12213_UU_01,1,4/24/2023,JW,1,ENES,Y,W,W,SA
BLM12213_UU_01,1,4/24/2023,JB,2,OSS,Y,W,W,A
BLM12213_UU_02,1,4/24/2023,JB,2,OSS,Y,W,W,A
