landowner,tree_farm,stand,trt,date,subplot,subplot_code,lat,long,elev,time,temp,hum,weather,canopy_cov,dwd_cov,veg_cov,fwd_cov,up_bearing,down_bearing,litter_1,litter_2,litter_3,moist_1,us_1,moist_2,us_2,moist_3,us_3,soil_moist_avg,litter_avg
WY,CL,10506,BS,3/13/2023,1,WY10506_BS_01,45.083879,122.422965,1185.37,,43,89.9,R,0,1,1,1,,,0,0,0,41.5,1.794,39.7,1.758,38.5,1.735,39.9,0
WY,CL,10506,BS,3/13/2023,2,WY10506_BS_02,45.083989,122.422676,1185.37,,33.7,100,SN,0,1,1,2,,,1,2,0,36.9,1.707,23.8,1.564,41.6,1.794,34.1,1
WY,CL,10506,BS,3/13/2023,3,WY10506_BS_03,45.083636,122.422833,1185.37,,39.8,97.5,R,0,1,1,1,,,0,0,0,40.4,1.773,42.1,1.806,35,1.672,39.16666667,0
WY,CL,10506,BS,3/13/2023,4,WY10506_BS_04,45.083653,122.422996,1185.37,,40.3,100,R,0,1,1,1,,,1,0,0,38.5,1.734,38.9,1.742,32.5,1.628,36.63333333,0.333333333
WY,CL,10506,BS,3/13/2023,5,WY10506_BS_05,45.083696,122.423232,1185.37,,45.9,96.8,R,0,1,1,2,,,1,0,0,37.8,1.727,39.8,1.76,36.3,1.692,37.96666667,0.333333333
WY,CL,10506,BS,3/13/2023,6,WY10506_BS_06,45.083997,122.423215,1185.37,,37,100,SN,0,1,1,1,,,6,2,1,32.2,1.623,31.8,1.22,40.1,1.767,34.7,3
WY,CL,10506,BS,3/13/2023,7,WY10506_BS_07,45.084065,122.4228998,1185.37,,36.1,100,R,0,1,1,2,,,0,1,0,39.4,1.752,31.9,1.619,32.1,1.622,34.46666667,0.333333333
WY,CL,10467,HB,3/14/2023,1,WY10467_HB_01,45.079726,122.410628,1550.98,,32.3,94.8,PC,0,1,1,1,,,0,1,0,19.3,1.418,35.3,1.679,38.3,1.732,30.96666667,0.333333333
WY,CL,10467,HB,3/14/2023,2,WY10467_HB_02,45.079585,122.410308,1550.98,,34.5,93.2,PC,0,1,3,1,,,0,1,1,22.4,1.467,26.9,1.538,34.4,1.663,27.9,0.666666667
WY,CL,10467,HB,3/14/2023,3,WY10467_HB_03,45.0749142,122.410755,1550.98,,34,85,PC,0,1,3,1,,,1,0,0,32.8,1.633,25.5,1.516,35.7,1.684,31.33333333,0.333333333
WY,CL,10467,HB,3/14/2023,4,WY10467_HB_04,45.0796,122.41102,1550.98,,31.2,92.4,PC,0,1,4,1,,,1.5,1,0.25,23.5,1.484,28.1,1.557,31.6,1.614,27.73333333,0.916666667
WY,CL,10467,HB,3/14/2023,5,WY10467_HB_05,45.079878,122.411029,1550.98,,31.7,86.8,PC,0,1,2,1,,,0,0.5,0.5,16.9,1.348,24.5,1.499,33.8,1.651,25.06666667,0.333333333
WY,CL,10467,HB,3/14/2023,6,WY10467_HB_06,45.080006,122.410608,1550.98,,33.5,85.9,PC,0,1,4,1,,,0.25,0.25,1,14,1.336,37.9,1.762,35.9,1.688,29.26666667,0.5
WY,CL,10467,HB,3/14/2023,7,WY10467_HB_07,45.079881,122.410216,1550.98,,34.4,86.4,PC,0,1,3,1,,,1,0.25,0.25,29.1,1.572,32.9,1.635,29.4,1.578,30.46666667,0.5
WY,CL,10078,HB,3/15/2023,1,WY10078_HB_01,45.094977,122.396292,1851.71,,37.1,89.7,SN,0,1,3,1,,,0,0,0.25,19.2,1.417,22.5,1.468,37.5,1.716,26.4,0.083333333
WY,CL,10078,HB,3/15/2023,2,WY10078_HB_02,45.095162,122.39622,1851.71,,36.2,86.3,C,0,1,4,1,,,0.25,0.25,0.25,25.7,1.518,29.2,1.574,30.1,1.588,28.33333333,0.25
WY,CL,10078,HB,3/15/2023,3,WY10078_HB_03,45.095056,122.396072,1851.71,,36.8,83.2,SN,0,1,3,1,,,0.25,0.25,0,26.8,1.536,24.1,1.494,27.3,1.544,26.06666667,0.166666667
WY,CL,10078,HB,3/15/2023,4,WY10078_HB_04,45.094895,122.396144,1851.71,,36.2,92.1,C,0,1,3,1,,,0,0.25,0.25,32.6,1.631,31.5,1.612,32.6,1.629,32.23333333,0.166666667
WY,CL,10078,HB,3/15/2023,5,WY10078_HB_05,45.09457,122.39622,1851.71,,39.1,87.4,PC,0,1,3,1,,,0.5,0.25,0,32.9,1.637,37.3,1.712,28.9,1.57,33.03333333,0.25
WY,CL,10078,HB,3/15/2023,6,WY10078_HB_06,45.09463,122.39655,1851.71,,38.5,91.9,PC,0,1,4,1,,,0.25,0,0,35.4,1.679,29.8,1.585,30.3,1.591,31.83333333,0.083333333
WY,CL,10078,HB,3/15/2023,7,WY10078_HB_07,45.095091,122.396354,1851.71,,38,98.3,PC,0,1,4,1,,,0,1,0,20.8,1.442,39.2,1.748,39,1.745,33,0.333333333
BLM,CL,12239,UU,3/15/2023,1,BLM12239_UU_01,45.07887,122.58288,709.11,,51.7,63.7,S,3,2,4,1,,,4,6,4,28.9,1.57,22.9,1.476,17.3,1.356,23.03333333,4.666666667
BLM,CL,12239,UU,3/15/2023,2,BLM12239_UU_02,45.079175,122.582804,709.11,,48.3,58.9,PC,3,1,3,2,,,6,3,3,23.1,1.478,27.3,1.544,26.7,1.534,25.7,4
BLM,CL,12239,UU,3/15/2023,3,BLM12239_UU_03,45.079001,122.582554,709.11,,51.7,66.4,PC,3,2,3,2,,,0.25,2,2,23.8,1.489,33.1,1.638,29.9,1.586,28.93333333,1.416666667
BLM,CL,12239,UU,3/15/2023,4,BLM12239_UU_04,45.078851,122.582649,709.11,,47.3,67.3,PC,2,1,4,2,,,0.5,1,1,33.2,1.639,35.5,1.679,26.8,1.536,31.83333333,0.833333333
BLM,CL,12239,UU,3/15/2023,5,BLM12239_UU_05,45.07853,122.582999,709.11,,50,54.7,PC,3,1,4,4,,,2,4,6,25.1,1.509,12.6,1.314,23.4,1.483,20.36666667,4
BLM,CL,12239,UU,3/15/2023,6,BLM12239_UU_06,45.078799,122.58332,709.11,,48.1,56.6,PC,4,1,3,3,,,2,3,1,36.6,1.678,39.4,1.749,51.9,2.036,42.63333333,2
BLM,CL,12239,UU,3/15/2023,7,BLM12239_UU_07,45.0792,122.583131,709.11,,50.1,62.4,PC,3,2,3,4,,,3,2,10,9.8,1.267,10.2,1.274,6.6,1.211,8.866666667,5
BLM,CL,13924,UU,3/16/2023,1,BLM13924_UU_01,45.03622,122.613896,897.9,,34.2,76.7,S,2,1,1,4,,,2,1,4,35.1,1.673,34.5,1.663,29.7,1.582,33.1,2.333333333
BLM,CL,13924,UU,3/16/2023,2,BLM13924_UU_02,45.036227,122.612906,897.9,,36.5,85.6,PC,3,1,4,3,,,6,3.5,2,20.9,1.446,32.5,1.629,24.4,1.499,25.93333333,3.833333333
BLM,CL,13924,UU,3/16/2023,3,BLM13924_UU_03,45.036286,122.613817,897.9,,33.2,88.4,S,1,1,3,4,,,2,6,3,23.6,1.486,24.1,1.493,28.8,1.568,25.5,3.666666667
BLM,CL,13924,UU,3/16/2023,4,BLM13924_UU_04,45.036259,122.613825,897.9,,38.1,79.1,S,3,2,3,4,,,2,1,3,34.1,1.656,34.9,1.669,22.4,1.467,30.46666667,2
BLM,CL,13924,UU,3/16/2023,5,BLM13924_UU_05,45.036159,122.613865,897.9,,41.3,81.3,S,1,3,3,2,,,5,5,7,19.7,1.425,17.9,1.399,15.3,1.361,17.63333333,5.666666667
BLM,CL,13924,UU,3/16/2023,6,BLM13924_UU_06,45.036378,122.613652,897.9,,42.8,80,S,1,2,4,4,,,0,1,1,20.3,1.591,18.2,1.557,15.9,1.366,18.13333333,0.666666667
BLM,CL,13924,UU,3/16/2023,7,BLM13924_UU_07,45.036276,122.613927,897.9,,35.4,94.4,C,2,1,3,3,,,4,2,3,19.3,1.418,20.6,1.439,32.5,1.629,24.13333333,3
WY,CL,10258,BS,3/20/2023,1,WY10258_BS_01,45.00723,122.50957,1894,,45.5,100,C,0,1,1,3,280,117,0.25,0,0,32.3,1.629,25.2,1.511,34.9,1.669,30.8,0.083333333
WY,CL,10258,BS,3/20/2023,2,WY10258_BS_02,45.00746,122.5099,1898,,43.8,89.2,C,0,2,1,3,280,100,0.25,1,6,31.2,1.607,24.4,1.492,26.7,1.534,27.43333333,2.416666667
WY,CL,10258,BS,3/20/2023,3,WY10258_BS_03,45.007509,122.509542,1901,,45.1,91.7,C,0,1,1,3,289,120,0,0,0,10.2,1.198,11.1,1.289,12.8,1.361,11.36666667,0
