landowner,stand,tree_farm,site_rep,trt,year,date,obs,temp,hum,elev,acc
PB,9757,CL,1,BU,2024,4/10/2024,SLG,63.6,49,1452,44
WY,10024,CL,1,BS,2024,3/26/2024,SLG,53.8,72.3,834,20
WY,10078,CL,1,HB,2024,4/3/2024,RMM,43.4,83.2,1923,4
WY,10153,CL,1,BS,2024,5/8/2024,JW,46.8,96,2588,9
BLM,10302,CL,1,UU,2024,4/24/2024,SLG,51.2,73.3,2502,38
WY,10399,CL,1,HU,2024,5/7/2024,RMM,40.7,94,2828,12
WY,10403,CL,1,BS,2024,5/15/2024,LS,64.5,59,2141,8
WY,10422,CL,1,BS,2024,4/9/2024,RMM,62.1,67.2,1445,16
BLM,10439,CL,1,UU,2024,4/25/2024,RMM,43,88.8,2791,38
WY,10444,CL,1,HU,2024,5/15/2024,JW,70.8,50.7,2151,10
WY,10463,CL,1,BS,2024,4/9/2024,SLG,55.2,64.4,1388,15
WY,10467,CL,1,HB,2024,4/9/2024,JW,53.5,59.7,1523,15
WY,10506,CL,1,BS,2024,3/26/2024,JW,56.4,75.6,1292,6
WY,10956,CL,1,BS,2024,4/3/2024,SLG,50.5,65.7,1813,8
WY,10968,CL,1,HU,2024,5/7/2024,SLG,43.8,80.6,2662,28
WY,11081,CL,1,BS,2024,5/9/2024,JW,69.5,46.9,1965,9
WY,11084,CL,1,BS,2024,5/9/2024,SLG,59.9,61.5,2152,23
ODF,12033,NC,1,BU,2024,5/13/2024,RMM,61.8,60.9,1832,48
BLM,12213,CL,1,UU,2024,4/11/2024,SLG,60.1,57.6,634,83
BLM,12239,CL,1,UU,2024,4/11/2024,RMM,51.2,78.1,671,29
ODF,12349,NC,1,BU,2024,5/2/2024,JW,52.5,78.3,1592,34
ODF,12362,NC,1,HB,2024,4/15/2024,SLG,43.4,92.4,1967,24
ODF,12364,NC,1,HB,2024,4/15/2024,RMM,49,100,1801,22
ODF,12421,NC,1,BU,2024,5/14/2024,JW,57.5,67.5,2025,40
ODF,12441,NC,1,BU,2024,5/14/2024,SLG,65.8,64.7,1883,29
ODF,12560,NC,1,BU,2024,4/18/2024,JW,57.1,33.5,1438,35
ODF,12776,NC,1,BU,2024,4/18/2024,SLG,69.4,23.6,1379,28
ODF,12804,NC,1,BU,2024,4/30/2024,JW,44.2,84,1708,46
ODF,12805,NC,1,BU,2024,4/30/2024,SLG,40.2,86.6,1742,49
ODF,12806,NC,1,BU,2024,5/2/2024,JW,49.6,77.8,1626,46
BLM,13924,CL,1,UU,2024,4/1/2024,SLG,61.2,56.7,989,45
BLM,15562,CL,1,BU,2024,4/1/2024,RMM,54.4,61.5,1399,21
WY,20039,SP,1,HU,2024,5/1/2024,JW,48.2,100,3113,50
WY,20053,SP,1,HU,2024,5/1/2024,RMM,40.9,75.2,2487,26
WY,20550,SP,1,HU,2024,4/2/2024,SLG,64.7,57.6,1825,14
WY,20616,SP,1,UU,2024,3/21/2024,SLG,53.5,76.3,1160,37
BLM,29121,SP,1,UU,2024,3/25/2024,RMM,44.4,90.5,1357,22
BLM,29122,SP,1,UU,2024,3/27/2024,JW,43.1,100,1620,21
BLM,29123,SP,1,UU,2024,3/27/2024,RMM,46.3,92,1435,75
BLM,29429,NC,1,UU,2024,4/16/2024,RMM,46.7,62.5,1520,60
BLM,29431,SP,1,UU,2024,4/2/2024,JW,67.9,49.7,1711,34
BLM,29889,SP,1,UU,2024,4/16/2024,JW,48.6,58.1,1711,29
PB,33628,CL,1,HB,2024,4/23/2024,SLG,73.9,25.7,1741,8
PB,33651,CL,1,HB,2024,4/23/2024,RMM,69.9,28.2,1820,16
PB,33689,CL,1,HU,2024,4/22/2024,SLG,67.8,40.5,1985,10
PB,33810,CL,1,HU,2024,4/25/2024,SLG,47.3,89.1,2324,17
PB,34007,CL,1,HB,2024,4/22/2024,RMM,56.4,43.3,2133,7
PB,34017,CL,1,HU,2024,3/28/2024,SLG,49.7,68.2,660,11
PB,408143,CL,1,HU,2024,5/8/2024,RMM,58.4,65.2,1556,10
PB,408162,CL,1,HU,2024,4/24/2024,RMM,46,69.3,1968,19
PB,408180,CL,1,HB,2024,4/23/2024,JW,56.9,34.5,1989,7
PB,408178,CL,1,BS,2024,4/10/2024,JW,50.3,72.1,1752,11
PB,408178,CL,2,HB,2024,4/10/2024,RMM,59.1,56.1,1517,15
WY,10185,CL,1,BS,2024,5/21/2024,JW,56.9,69.2,2131,18
WY,10597,CL,1,HB,2024,5/21/2024,SLG,50.7,86.8,2299,10
ODF,12098,NC,1,BU,2024,5/23/2024,RMM,49.6,80,1650,34
WY,20626,SP,1,HU,2024,5/23/2024,JW,64.5,64,1091,8
WY,10471,NC,1,BS,2024,5/27/2024,RMM,55.6,78.4,2140,14
WY,10422,CL,2,BS,2024,5/27/2024,SLG,70.4,54.7,1761,17
WY,10471,NC,2,BS,2024,5/27/2024,JW,65.5,75.4,2212,8
