"site_id","subplot","counts"
"10024 _ 1 _ 2023",1,0
"10024 _ 1 _ 2023",2,0
"10024 _ 1 _ 2023",3,0
"10024 _ 1 _ 2023",4,0
"10024 _ 1 _ 2023",5,0
"10024 _ 1 _ 2023",6,0
"10024 _ 1 _ 2023",7,0
"10024 _ 1 _ 2024",1,0
"10024 _ 1 _ 2024",2,0
"10024 _ 1 _ 2024",3,0
"10024 _ 1 _ 2024",4,0
"10024 _ 1 _ 2024",5,0
"10024 _ 1 _ 2024",6,0
"10024 _ 1 _ 2024",7,0
"10078 _ 1 _ 2023",1,0
"10078 _ 1 _ 2023",2,0
"10078 _ 1 _ 2023",3,0
"10078 _ 1 _ 2023",4,0
"10078 _ 1 _ 2023",5,0
"10078 _ 1 _ 2023",6,0
"10078 _ 1 _ 2023",7,0
"10078 _ 1 _ 2024",1,0
"10078 _ 1 _ 2024",2,0
"10078 _ 1 _ 2024",3,0
"10078 _ 1 _ 2024",4,0
"10078 _ 1 _ 2024",5,0
"10078 _ 1 _ 2024",6,0
"10078 _ 1 _ 2024",7,0
"10153 _ 1 _ 2023",1,0
"10153 _ 1 _ 2023",2,0
"10153 _ 1 _ 2023",3,0
"10153 _ 1 _ 2023",4,0
"10153 _ 1 _ 2023",5,0
"10153 _ 1 _ 2023",6,0
"10153 _ 1 _ 2023",7,0
"10153 _ 1 _ 2024",1,2
"10153 _ 1 _ 2024",2,0
"10153 _ 1 _ 2024",3,0
"10153 _ 1 _ 2024",4,2
"10153 _ 1 _ 2024",5,1
"10153 _ 1 _ 2024",6,2
"10153 _ 1 _ 2024",7,1
"10185 _ 1 _ 2023",1,0
"10185 _ 1 _ 2023",2,0
"10185 _ 1 _ 2023",3,0
"10185 _ 1 _ 2023",4,0
"10185 _ 1 _ 2023",5,3
"10185 _ 1 _ 2023",6,0
"10185 _ 1 _ 2023",7,0
"10185 _ 1 _ 2024",1,0
"10185 _ 1 _ 2024",2,0
"10185 _ 1 _ 2024",3,0
"10185 _ 1 _ 2024",4,0
"10185 _ 1 _ 2024",5,0
"10185 _ 1 _ 2024",6,0
"10185 _ 1 _ 2024",7,0
"10258 _ 1 _ 2023",1,0
"10258 _ 1 _ 2023",2,0
"10258 _ 1 _ 2023",3,0
"10258 _ 1 _ 2023",4,0
"10258 _ 1 _ 2023",5,0
"10258 _ 1 _ 2023",6,0
"10258 _ 1 _ 2023",7,0
"10302 _ 1 _ 2023",1,0
"10302 _ 1 _ 2023",2,0
"10302 _ 1 _ 2023",3,0
"10302 _ 1 _ 2023",4,1
"10302 _ 1 _ 2023",5,0
"10302 _ 1 _ 2023",6,4
"10302 _ 1 _ 2023",7,1
"10302 _ 1 _ 2024",1,0
"10302 _ 1 _ 2024",2,1
"10302 _ 1 _ 2024",3,0
"10302 _ 1 _ 2024",4,1
"10302 _ 1 _ 2024",5,0
"10302 _ 1 _ 2024",6,3
"10302 _ 1 _ 2024",7,3
"10399 _ 1 _ 2023",1,0
"10399 _ 1 _ 2023",2,0
"10399 _ 1 _ 2023",3,0
"10399 _ 1 _ 2023",4,0
"10399 _ 1 _ 2023",5,0
"10399 _ 1 _ 2023",6,0
"10399 _ 1 _ 2023",7,0
"10399 _ 1 _ 2024",1,0
"10399 _ 1 _ 2024",2,0
"10399 _ 1 _ 2024",3,0
"10399 _ 1 _ 2024",4,0
"10399 _ 1 _ 2024",5,0
"10399 _ 1 _ 2024",6,1
"10399 _ 1 _ 2024",7,2
"10403 _ 1 _ 2023",1,0
"10403 _ 1 _ 2023",2,0
"10403 _ 1 _ 2023",3,0
"10403 _ 1 _ 2023",4,0
"10403 _ 1 _ 2023",5,0
"10403 _ 1 _ 2023",6,0
"10403 _ 1 _ 2023",7,1
"10403 _ 1 _ 2024",1,0
"10403 _ 1 _ 2024",2,0
"10403 _ 1 _ 2024",3,0
"10403 _ 1 _ 2024",4,0
"10403 _ 1 _ 2024",5,0
"10403 _ 1 _ 2024",6,0
"10403 _ 1 _ 2024",7,0
"10422 _ 1 _ 2023",1,0
"10422 _ 1 _ 2023",2,0
"10422 _ 1 _ 2023",3,0
"10422 _ 1 _ 2023",4,0
"10422 _ 1 _ 2023",5,0
"10422 _ 1 _ 2023",6,0
"10422 _ 1 _ 2023",7,0
"10422 _ 1 _ 2024",1,0
"10422 _ 1 _ 2024",2,0
"10422 _ 1 _ 2024",3,0
"10422 _ 1 _ 2024",4,1
"10422 _ 1 _ 2024",5,2
"10422 _ 1 _ 2024",6,0
"10422 _ 1 _ 2024",7,0
"10422 _ 2 _ 2024",1,0
"10422 _ 2 _ 2024",2,0
"10422 _ 2 _ 2024",3,0
"10422 _ 2 _ 2024",4,0
"10422 _ 2 _ 2024",5,0
"10422 _ 2 _ 2024",6,0
"10422 _ 2 _ 2024",7,0
"10439 _ 1 _ 2023",1,1
"10439 _ 1 _ 2023",2,0
"10439 _ 1 _ 2023",3,1
"10439 _ 1 _ 2023",4,0
"10439 _ 1 _ 2023",5,2
"10439 _ 1 _ 2023",6,0
"10439 _ 1 _ 2023",7,1
"10439 _ 1 _ 2024",1,0
"10439 _ 1 _ 2024",2,0
"10439 _ 1 _ 2024",3,2
"10439 _ 1 _ 2024",4,2
"10439 _ 1 _ 2024",5,0
"10439 _ 1 _ 2024",6,2
"10439 _ 1 _ 2024",7,2
"10444 _ 1 _ 2023",1,0
"10444 _ 1 _ 2023",2,0
"10444 _ 1 _ 2023",3,0
"10444 _ 1 _ 2023",4,0
"10444 _ 1 _ 2023",5,1
"10444 _ 1 _ 2023",6,0
"10444 _ 1 _ 2023",7,0
"10444 _ 1 _ 2024",1,1
"10444 _ 1 _ 2024",2,0
"10444 _ 1 _ 2024",3,0
"10444 _ 1 _ 2024",4,0
"10444 _ 1 _ 2024",5,0
"10444 _ 1 _ 2024",6,0
"10444 _ 1 _ 2024",7,1
"10463 _ 1 _ 2024",1,0
"10463 _ 1 _ 2024",2,0
"10463 _ 1 _ 2024",3,1
"10463 _ 1 _ 2024",4,0
"10463 _ 1 _ 2024",5,0
"10463 _ 1 _ 2024",6,0
"10463 _ 1 _ 2024",7,0
"10467 _ 1 _ 2023",1,0
"10467 _ 1 _ 2023",2,0
"10467 _ 1 _ 2023",3,0
"10467 _ 1 _ 2023",4,0
"10467 _ 1 _ 2023",5,0
"10467 _ 1 _ 2023",6,0
"10467 _ 1 _ 2023",7,0
