"","spp","site_id","state","lat","long"
"1","OSS","10153 _ 1 _ 2024","OR",45.116638,122.342062
"2","OSS","10185 _ 1 _ 2023","OR",45.08947,122.34829
"3","OSS","10302 _ 1 _ 2023","OR",45.14809,122.32824
"4","OSS","10302 _ 1 _ 2024","OR",45.15123,122.324163
"5","OSS","10399 _ 1 _ 2024","OR",45.007008,122.397008
"6","OSS","10403 _ 1 _ 2023","OR",45.047102,122.413356
"7","OSS","10422 _ 1 _ 2024","OR",45.076917,122.421273
"8","OSS","10439 _ 1 _ 2023","OR",45.141325,122.350265
"9","OSS","10439 _ 1 _ 2024","OR",45.138138,122.351971
"10","OSS","10444 _ 1 _ 2023","OR",45.04745,122.42603
"11","OSS","10444 _ 1 _ 2024","OR",45.04662,122.424056
"12","OSS","10463 _ 1 _ 2024","OR",45.078426,122.419327
"13","OSS","10467 _ 1 _ 2024","OR",45.078123,122.414782
"14","OSS","10471 _ 1 _ 2024","OR",45.07848,122.39945
"15","OSS","10471 _ 2 _ 2024","OR",45.07758,122.396625
"16","OSS","10488 _ 1 _ 2023","OR",45.05033,122.40676
"17","OSS","10506 _ 1 _ 2023","OR",45.083989,122.422676
"18","OSS","10506 _ 1 _ 2024","OR",45.082128,122.4198
"19","OSS","10553 _ 1 _ 2023","OR",45.049503,122.366246
"20","OSS","10597 _ 1 _ 2024","OR",45.08611,122.345096
"21","OSS","10963 _ 1 _ 2023","OR",45.06048,122.41551
"22","OSS","10968 _ 1 _ 2024","OR",45.020566,122.416108
"23","OSS","11081 _ 1 _ 2024","OR",45.007482,122.5105
"24","OSS","11084 _ 1 _ 2024","OR",45.001301,122.516805
"25","OSS","12033 _ 1 _ 2023","OR",45.72581,122.41048
"26","OSS","12033 _ 1 _ 2024","OR",44.726685,122.406008
"27","OSS","12098 _ 1 _ 2023","OR",44.818922,122.604287
"28","OSS","12098 _ 1 _ 2024","OR",44.818411,122.604997
"29","OSS","12213 _ 1 _ 2023","OR",45.081147,122.591321
"30","OSS","12213 _ 1 _ 2024","OR",45.079956,122.594924
"31","OSS","12239 _ 1 _ 2024","OR",45.077394,122.580567
"32","OSS","12349 _ 1 _ 2023","OR",44.81345,122.61021
"33","OSS","12349 _ 1 _ 2024","OR",44.817198,122.607298
"34","OSS","12362 _ 1 _ 2024","OR",44.78069,122.458315
"35","OSS","12364 _ 1 _ 2024","OR",44.777021,122.476137
"36","OSS","12421 _ 1 _ 2023","OR",44.766,122.37062
"37","OSS","12421 _ 1 _ 2024","OR",44.766045,122.36902
"38","OSS","12441 _ 1 _ 2023","OR",44.7718,122.37727
"39","OSS","12441 _ 1 _ 2024","OR",44.771115,122.377375
"40","OSS","12560 _ 1 _ 2024","OR",44.736975,122.400287
"41","OSS","12804 _ 1 _ 2023","OR",44.820936,122.61328
"42","OSS","12804 _ 1 _ 2024","OR",44.822106,122.61463
"43","OSS","12805 _ 1 _ 2024","OR",44.821137,122.60948
"44","OSS","12806 _ 1 _ 2024","OR",44.823521,122.602375
"45","OSS","13924 _ 1 _ 2024","OR",45.037419,122.612014
"46","OSS","15562 _ 1 _ 2023","OR",45.000594,122.588822
"47","OSS","15562 _ 1 _ 2024","OR",45.00263,122.564106
"48","OSS","20053 _ 1 _ 2024","OR",44.548884,122.567289
"49","OSS","29121 _ 1 _ 2023","OR",44.66084,122.6958
"50","OSS","29121 _ 1 _ 2024","OR",44.660847,122.699088
"51","OSS","29122 _ 1 _ 2023","OR",44.65305,122.6896
"52","OSS","29122 _ 1 _ 2024","OR",44.654398,122.683997
"53","OSS","29123 _ 1 _ 2024","OR",44.653169,122.69737
"54","OSS","29429 _ 1 _ 2023","OR",44.6389,122.67315
"55","OSS","29429 _ 1 _ 2024","OR",44.640682,122.67365
"56","OSS","29431 _ 1 _ 2023","OR",44.64661,122.67122
"57","OSS","29431 _ 1 _ 2024","OR",44.648918,122.670677
"58","OSS","29889 _ 1 _ 2024","OR",44.637864,122.663564
"59","OSS","33628 _ 1 _ 2023","OR",45.19683,122.28061
"60","OSS","33651 _ 1 _ 2023","OR",45.18903,122.26685
"61","OSS","33651 _ 1 _ 2024","OR",45.191528,122.262217
"62","OSS","33689 _ 1 _ 2024","OR",45.173787,122.335992
"63","OSS","33754 _ 1 _ 2023","OR",45.12374,122.41959
"64","OSS","33810 _ 1 _ 2023","OR",45.145577,122.340068
"65","OSS","33810 _ 1 _ 2024","OR",45.14797,122.341516
"66","OSS","34007 _ 1 _ 2023","OR",45.16934,122.29983
"67","OSS","34007 _ 1 _ 2024","OR",45.170703,122.292908
"68","OSS","408143 _ 1 _ 2023","OR",45.16308,122.36933
"69","OSS","408162 _ 1 _ 2023","OR",45.165995,122.317961
"70","OSS","408162 _ 1 _ 2024","OR",45.162737,122.319453
"71","OSS","408178 _ 1 _ 2023","OR",45.20863,122.26819
"72","OSS","408178 _ 2 _ 2023","OR",45.20808,122.25846
"73","OSS","408178 _ 2 _ 2024","OR",45.209387,122.26803
"74","OSS","408180 _ 1 _ 2023","OR",45.1884,122.25643
"75","OSS","408180 _ 1 _ 2024","OR",45.189664,122.251165
"76","OSS","9757 _ 1 _ 2023","OR",45.2128,122.2738
"77","OSS","9757 _ 1 _ 2024","OR",45.213391,122.274315
