"Owner","TreeFarm","StandNo","SubPlot","V1","V2","V3","Vmax","DW","JulianDate","AirTemp"
"BLM","SP","29121",1,0,0,0,0,1,159,19.5
"BLM","SP","29121",2,0,0,0,0,0,159,20
"BLM","SP","29121",3,0,0,0,0,0,159,21.5
"BLM","SP","29121",4,0,0,0,0,2,159,22.5
"BLM","SP","29121",5,0,0,0,0,1,159,23.5
"BLM","SP","29121",6,0,1,2,2,3,159,25
"BLM","SP","29121",7,0,0,0,0,3,159,26.5
"BLM","SP","35466",1,0,0,0,0,10,161,12.5
"BLM","SP","35466",2,0,0,1,1,5,161,12
"BLM","SP","35466",3,0,0,0,0,5,161,13
"BLM","SP","35466",4,1,0,0,1,8,161,14
"BLM","SP","35466",5,1,0,0,1,3,161,15
"BLM","SP","35466",6,0,0,0,0,4,161,15.5
"BLM","SP","35466",7,0,0,0,0,4,161,16.5
"BLM","SP","25954",1,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","25954",2,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","25954",3,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","25954",4,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","25954",5,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","25954",6,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","25954",7,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29122",1,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29122",2,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29122",3,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29122",4,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29122",5,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29122",6,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29122",7,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29123",1,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29123",2,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29123",3,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29123",4,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29123",5,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29123",6,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29123",7,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29429",1,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29429",2,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29429",3,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29429",4,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29429",5,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29429",6,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29429",7,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29431",1,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29431",2,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29431",3,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29431",4,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29431",5,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29431",6,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29431",7,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29889",1,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29889",2,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29889",3,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29889",4,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29889",5,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29889",6,NA,NA,NA,NA,NA,NA,NA
"BLM","SP","29889",7,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12362",1,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12362",2,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12362",3,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12362",4,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12362",5,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12362",6,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12362",7,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12364",1,0,0,0,0,0,105,9
"ODF","SP","12364",2,0,0,0,0,0,105,8.5
"ODF","SP","12364",3,0,0,0,0,3,105,8
"ODF","SP","12364",4,0,0,0,0,0,105,8.5
"ODF","SP","12364",5,0,0,1,1,2,105,8.5
"ODF","SP","12364",6,0,0,0,0,0,105,9.5
"ODF","SP","12364",7,0,0,0,0,1,105,10
"ODF","SP","12407C",1,0,0,0,0,1,140,9
"ODF","SP","12407C",2,0,0,0,0,7,140,9
"ODF","SP","12407C",3,0,0,0,0,1,140,9.5
"ODF","SP","12407C",4,0,0,0,0,0,140,9.5
"ODF","SP","12407C",5,0,0,0,0,3,140,10
"ODF","SP","12407C",6,0,0,0,0,0,140,10.5
"ODF","SP","12407C",7,0,0,0,0,0,140,11
"ODF","SP","12407T",1,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12407T",2,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12407T",3,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12407T",4,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12407T",5,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12407T",6,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12407T",7,NA,NA,NA,NA,NA,NA,NA
"ODF","SP","12605",1,0,0,0,0,0,159,22
"ODF","SP","12605",2,0,0,0,0,5,159,22
"ODF","SP","12605",3,0,0,0,0,0,159,22.5
"ODF","SP","12605",4,0,0,0,0,4,159,23.5
"ODF","SP","12605",5,0,0,0,0,3,159,25.5
"ODF","SP","12605",6,0,0,0,0,1,159,25
"ODF","SP","12605",7,0,0,0,0,1,159,26
"ODF","SP","12638",1,0,0,0,0,4,120,8.5
"ODF","SP","12638",2,0,0,0,0,3,120,8
"ODF","SP","12638",3,0,0,0,0,5,120,9
"ODF","SP","12638",4,0,0,0,0,1,120,11.5
"ODF","SP","12638",5,0,0,0,0,5,120,11
"ODF","SP","12638",6,0,0,0,0,5,120,12
"ODF","SP","12638",7,0,0,0,0,7,120,12
"PBTF","CL","33554",1,0,0,0,0,1,134,17.5
"PBTF","CL","33554",2,0,0,0,0,5,134,19
"PBTF","CL","33554",3,0,0,0,0,4,134,20.5
"PBTF","CL","33554",4,0,0,0,0,5,134,23
