"TreeFarm","StandNo","SubPlot","Owner","V1","V2","V3","Vmax","DW","JulianDate","AirTemp"
"CL","10078",1,"WY",0,0,0,0,0,125,14
"CL","10078",2,"WY",0,0,0,0,2,125,15
"CL","10078",3,"WY",0,0,0,0,1,125,15
"CL","10078",4,"WY",0,0,0,0,0,125,14
"CL","10078",5,"WY",0,0,0,0,2,125,15
"CL","10078",6,"WY",0,0,0,0,3,125,15
"CL","10078",7,"WY",0,0,0,0,0,125,16
"CL","10153",1,"WY",1,1,0,1,1,112,14
"CL","10153",2,"WY",0,0,0,0,2,112,15
"CL","10153",3,"WY",0,0,0,0,0,112,15.5
"CL","10153",4,"WY",0,0,0,0,5,112,16
"CL","10153",5,"WY",0,0,0,0,3,112,18
"CL","10153",6,"WY",0,0,0,0,1,112,16.5
"CL","10153",7,"WY",0,0,0,0,0,112,17
"CL","10185",1,"WY",0,0,0,0,3,153,20.6
"CL","10185",2,"WY",2,1,0,2,8,153,20.6
"CL","10185",3,"WY",0,0,0,0,6,153,22.2
"CL","10185",4,"WY",0,0,0,0,5,153,21.1
"CL","10185",5,"WY",0,1,0,1,7,153,22.2
"CL","10185",6,"WY",0,0,0,0,1,153,21.7
"CL","10185",7,"WY",0,0,0,0,6,153,21.7
"CL","10302",1,"BLM",0,0,0,0,0,174,15.5
"CL","10302",2,"BLM",0,0,0,0,5,174,15.5
"CL","10302",3,"BLM",0,0,0,0,2,174,15.5
"CL","10302",4,"BLM",0,0,0,0,5,174,16.7
"CL","10302",5,"BLM",0,0,0,0,1,174,16.1
"CL","10302",6,"BLM",0,0,0,0,2,174,16.7
"CL","10302",7,"BLM",0,0,0,0,2,174,16.7
"CL","10399",1,"WY",0,0,0,0,3,138,17
"CL","10399",2,"WY",0,0,0,0,0,138,18
"CL","10399",3,"WY",0,0,0,0,0,138,20
"CL","10399",4,"WY",0,0,0,0,1,138,20
"CL","10399",5,"WY",0,0,0,0,3,138,20
"CL","10399",6,"WY",0,0,0,0,1,138,21
"CL","10399",7,"WY",0,0,0,0,1,138,22
"CL","10439",1,"BLM",0,0,0,0,4,146,12
"CL","10439",2,"BLM",0,0,0,0,5,146,12
"CL","10439",3,"BLM",0,0,0,0,3,146,13
"CL","10439",4,"BLM",0,0,0,0,7,146,13
"CL","10439",5,"BLM",0,0,1,1,1,146,13
"CL","10439",6,"BLM",0,1,1,1,3,146,13
"CL","10439",7,"BLM",0,1,0,1,0,146,13
"CL","10444",1,"WY",0,0,0,0,0,159,20
"CL","10444",2,"WY",0,0,0,0,1,159,21.1
"CL","10444",3,"WY",0,0,0,0,1,159,21.7
"CL","10444",4,"WY",0,0,0,0,1,159,22.2
"CL","10444",5,"WY",0,0,0,0,0,159,22.8
"CL","10444",6,"WY",0,0,0,0,1,159,23.9
"CL","10444",7,"WY",0,0,0,0,3,159,24.4
"CL","10467",1,"WY",0,0,0,0,1,132,25
"CL","10467",2,"WY",0,0,0,0,1,132,26
"CL","10467",3,"WY",0,0,0,0,3,132,27
"CL","10467",4,"WY",0,0,0,0,3,132,28
"CL","10467",5,"WY",0,0,0,0,2,132,28
"CL","10467",6,"WY",0,0,0,0,2,132,28
"CL","10467",7,"WY",0,0,0,0,2,132,29
"CL","10482",1,"WY",0,0,0,0,3,145,14
"CL","10482",2,"WY",0,0,0,0,3,145,14
"CL","10482",3,"WY",0,0,0,0,2,145,15
"CL","10482",4,"WY",0,0,0,0,4,145,14
"CL","10482",5,"WY",0,0,0,0,5,145,14
"CL","10482",6,"WY",0,0,0,0,3,145,14
"CL","10482",7,"WY",0,0,0,0,2,145,14
"CL","10488",1,"WY",0,0,0,0,1,172,24.4
"CL","10488",2,"WY",0,0,0,0,0,172,24.4
"CL","10488",3,"WY",0,0,0,0,1,172,25.6
"CL","10488",4,"WY",0,0,0,0,0,172,25.6
"CL","10488",5,"WY",0,0,0,0,2,172,25.6
"CL","10488",6,"WY",0,0,0,0,1,172,25.6
"CL","10488",7,"WY",0,0,0,0,0,172,26.7
"CL","10498",1,"WY",0,0,0,0,3,111,30
"CL","10498",2,"WY",0,0,0,0,2,111,26
"CL","10498",3,"WY",0,0,0,0,3,111,31
"CL","10498",4,"WY",0,0,0,0,1,111,23
"CL","10498",5,"WY",0,0,0,0,2,111,29
"CL","10498",6,"WY",0,0,0,0,0,111,25
"CL","10498",7,"WY",0,0,0,0,0,111,23
"CL","10506",1,"WY",0,0,0,0,4,166,11.1
"CL","10506",2,"WY",0,0,0,0,1,166,10
"CL","10506",3,"WY",0,0,0,0,1,166,11.1
"CL","10506",4,"WY",1,0,0,1,6,166,10
"CL","10506",5,"WY",0,0,0,0,1,166,11.1
"CL","10506",6,"WY",0,0,0,0,1,166,11.1
"CL","10506",7,"WY",0,0,0,0,2,166,11.1
"CL","10553",1,"WY",0,0,0,0,2,116,4
"CL","10553",2,"WY",0,0,0,0,1,116,5
"CL","10553",3,"WY",0,0,0,0,1,116,5.5
"CL","10553",4,"WY",0,0,0,0,5,116,5
"CL","10553",5,"WY",1,0,0,1,2,116,3
"CL","10553",6,"WY",0,0,0,0,4,116,4
"CL","10553",7,"WY",1,0,0,1,2,116,4
"CL","10597",1,"WY",1,0,0,1,4,161,13.9
"CL","10597",2,"WY",0,0,0,0,2,161,15
"CL","10597",3,"WY",0,0,0,0,1,161,15
"CL","10597",4,"WY",0,0,0,0,1,161,14.4
"CL","10597",5,"WY",0,0,0,0,1,161,15
"CL","10597",6,"WY",0,0,0,0,0,161,15.6
"CL","10597",7,"WY",0,0,0,0,4,161,15
"CL","10711",1,"WY",0,0,0,0,1,119,14
"CL","10711",2,"WY",0,0,0,0,2,119,13.5
"CL","10711",3,"WY",0,0,0,0,2,119,12
"CL","10711",4,"WY",0,0,0,0,1,119,13
"CL","10711",5,"WY",0,0,0,0,3,119,12
"CL","10711",6,"WY",0,0,0,0,0,119,14
"CL","10711",7,"WY",0,0,0,0,4,119,14
"CL","10963",1,"WY",0,0,0,0,1,169,8.9
"CL","10963",2,"WY",0,0,0,0,2,169,8.9
"CL","10963",3,"WY",0,0,0,0,1,169,10
"CL","10963",4,"WY",0,0,0,0,4,169,10
"CL","10963",5,"WY",0,0,0,0,3,169,11.1
"CL","10963",6,"WY",2,0,0,2,1,169,10
"CL","10963",7,"WY",0,0,0,0,2,169,10.6
"CL","10965",1,"WY",0,0,0,0,3,167.5,11.1
"CL","10965",2,"WY",0,0,0,0,0,167.5,10
"CL","10965",3,"WY",0,0,0,0,3,167.5,10
"CL","10965",4,"WY",0,0,0,0,2,167.5,8.9
"CL","10965",5,"WY",0,0,0,0,3,167.5,6.7
"CL","10965",6,"WY",0,0,0,0,4,167.5,6.7
"CL","10965",7,"WY",0,0,0,0,4,167.5,7.8
"CL","10968",1,"WY",0,0,0,0,3,154,13.3
"CL","10968",2,"WY",0,0,0,0,0,154,14.4
"CL","10968",3,"WY",0,0,0,0,1,154,13.3
"CL","10968",4,"WY",0,0,0,0,3,154,13.3
"CL","10968",5,"WY",0,0,0,0,6,154,13.3
"CL","10968",6,"WY",0,0,0,0,2,154,13.3
"CL","10968",7,"WY",0,0,0,0,3,154,13.3
"CL","11079",1,"WY",0,0,0,0,1,118,12
"CL","11079",2,"WY",0,0,1,1,4,118,13
"CL","11079",3,"WY",0,0,0,0,4,118,11.5
"CL","11079",4,"WY",0,0,0,0,3,118,12
"CL","11079",5,"WY",0,0,0,0,0,118,12
"CL","11079",6,"WY",0,0,0,0,5,118,13
"CL","11079",7,"WY",0,0,0,0,1,118,13
"CL","12213",1,"BLM",1,1,0,1,2,172.5,20
"CL","12213",2,"BLM",0,0,0,0,2,172.5,20
"CL","12213",3,"BLM",0,0,0,0,4,172.5,21.1
"CL","12213",4,"BLM",0,0,0,0,2,172.5,16.7
"CL","12213",5,"BLM",0,0,0,0,0,172.5,16.7
"CL","12213",6,"BLM",0,0,0,0,2,172.5,17.8
"CL","12213",7,"BLM",0,0,0,0,0,172.5,17.8
"CL","12239",1,"BLM",0,0,0,0,1,137,14
"CL","12239",2,"BLM",0,0,0,0,2,137,14
"CL","12239",3,"BLM",0,0,0,0,3,137,15
"CL","12239",4,"BLM",0,0,0,0,1,137,15
"CL","12239",5,"BLM",0,0,0,0,1,137,15
"CL","12239",6,"BLM",0,0,0,0,0,137,14
"CL","12239",7,"BLM",0,0,0,0,2,137,14
"CL","13924",1,"BLM",0,0,0,0,2,151,18.3
"CL","13924",2,"BLM",0,0,0,0,0,151,16.7
"CL","13924",3,"BLM",0,0,0,0,0,151,17.2
"CL","13924",4,"BLM",0,0,0,0,2,151,18.9
"CL","13924",5,"BLM",0,0,0,0,1,151,18.9
"CL","13924",6,"BLM",0,0,0,0,2,151,18.9
"CL","13924",7,"BLM",0,0,0,0,1,151,19.4
"CL","15562",1,"BLM",0,0,0,0,0,173,20
"CL","15562",2,"BLM",0,0,0,0,1,173,20
"CL","15562",3,"BLM",0,0,0,0,2,173,20
"CL","15562",4,"BLM",0,0,0,0,3,173,21.1
"CL","15562",5,"BLM",0,0,0,0,4,173,21.1
"CL","15562",6,"BLM",0,0,0,0,0,173,21.1
"CL","15562",7,"BLM",0,0,0,0,0,173,20
"CL","16804",1,"BLM",0,0,0,0,0,123,25
"CL","16804",2,"BLM",0,0,0,0,1,123,25
"CL","16804",3,"BLM",0,0,0,0,2,123,26
"CL","16804",4,"BLM",0,0,0,0,1,123,26
"CL","16804",5,"BLM",0,0,0,0,0,123,26
"CL","16804",6,"BLM",0,0,0,0,0,123,26
"CL","16804",7,"BLM",0,0,0,0,2,123,26
"CL","33554",1,"PBTF",0,1,0,1,1,117,16
"CL","33554",2,"PBTF",0,0,0,0,1,117,18.5
"CL","33554",3,"PBTF",0,0,0,0,2,117,17
"CL","33554",4,"PBTF",0,0,0,0,0,117,19
"CL","33554",5,"PBTF",0,0,0,0,0,117,19
"CL","33554",6,"PBTF",0,0,0,0,5,117,19
"CL","33554",7,"PBTF",0,0,0,0,7,117,20
"CL","33628",1,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33628",2,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33628",3,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33628",4,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33628",5,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33628",6,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33628",7,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33651",1,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33651",2,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33651",3,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33651",4,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33651",5,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33651",6,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33651",7,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","33689",1,"PBTF",0,0,0,0,0,167,10
"CL","33689",2,"PBTF",0,0,0,0,0,167,9.4
"CL","33689",3,"PBTF",2,0,0,2,1,167,9.4
"CL","33689",4,"PBTF",0,0,0,0,2,167,10
"CL","33689",5,"PBTF",0,0,0,0,0,167,10
"CL","33689",6,"PBTF",0,0,0,0,1,167,10
"CL","33689",7,"PBTF",0,0,0,0,0,167,11.7
"CL","33754",1,"PBTF",0,0,0,0,1,158,29.4
"CL","33754",2,"PBTF",0,0,0,0,0,158,33.3
"CL","33754",3,"PBTF",0,0,0,0,1,158,33.3
"CL","33754",4,"PBTF",0,0,0,0,2,158,33.3
"CL","33754",5,"PBTF",0,0,0,0,1,158,33.3
"CL","33754",6,"PBTF",0,0,0,0,3,158,33.3
"CL","33754",7,"PBTF",0,0,0,0,1,158,32.2
"CL","33810",1,"PBTF",0,0,0,0,1,160,22.2
"CL","33810",2,"PBTF",0,0,0,0,5,160,22.8
"CL","33810",3,"PBTF",0,0,0,0,1,160,22.2
"CL","33810",4,"PBTF",0,0,0,0,1,160,23.3
"CL","33810",5,"PBTF",0,0,0,0,2,160,22.2
"CL","33810",6,"PBTF",0,0,0,0,0,160,20.6
"CL","33810",7,"PBTF",0,0,0,0,1,160,21.7
"CL","34007",1,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","34007",2,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","34007",3,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","34007",4,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","34007",5,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","34007",6,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","34007",7,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","34017",1,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","34017",2,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","34017",3,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","34017",4,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","34017",5,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","34017",6,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","34017",7,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","408143",1,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","408143",2,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","408143",3,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","408143",4,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","408143",5,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","408143",6,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","408143",7,"PBTF",NA,NA,NA,NA,NA,NA,NA
"CL","408161",1,"PBTF",0,0,0,0,0,152,22.2
"CL","408161",2,"PBTF",0,0,0,0,2,152,22.2
"CL","408161",3,"PBTF",0,0,0,0,1,152,22.2
"CL","408161",4,"PBTF",1,0,0,1,4,152,22.8
"CL","408161",5,"PBTF",0,0,0,0,4,152,22.2
"CL","408161",6,"PBTF",0,0,0,0,5,152,23.3
"CL","408161",7,"PBTF",0,0,0,0,0,152,22.2
"CL","408162",1,"PBTF",0,0,0,0,0,131,17
"CL","408162",2,"PBTF",0,0,1,1,5,131,18
"CL","408162",3,"PBTF",0,0,0,0,2,131,18
"CL","408162",4,"PBTF",0,0,0,0,0,131,19
"CL","408162",5,"PBTF",0,0,0,0,2,131,19
"CL","408162",6,"PBTF",0,0,0,0,1,131,19
"CL","408162",7,"PBTF",0,0,0,0,2,131,19
"CL","408178",1,"PBTF",0,0,0,0,1,130,16
"CL","408178",2,"PBTF",0,0,0,0,1,130,16
"CL","408178",3,"PBTF",0,0,0,0,3,130,15
"CL","408178",4,"PBTF",0,0,0,0,4,130,18
"CL","408178",5,"PBTF",0,0,0,0,0,130,18
"CL","408178",6,"PBTF",0,0,0,0,2,130,18
"CL","408178",7,"PBTF",0,0,0,0,0,130,19
"CL","408180",1,"PBTF",0,0,0,0,1,124,13
"CL","408180",2,"PBTF",0,1,0,1,2,124,14
"CL","408180",3,"PBTF",0,0,0,0,1,124,18
"CL","408180",4,"PBTF",0,0,0,0,1,124,18
"CL","408180",5,"PBTF",0,0,0,0,3,124,20
"CL","408180",6,"PBTF",1,0,0,1,1,124,20
"CL","408180",7,"PBTF",1,0,0,1,2,124,21
"CL","9757",1,"BLM",0,0,0,0,2,144,14
"CL","9757",2,"BLM",0,0,0,0,1,144,14
"CL","9757",3,"BLM",0,0,0,0,4,144,15
"CL","9757",4,"BLM",1,0,0,1,3,144,15
"CL","9757",5,"BLM",0,0,0,0,1,144,15
"CL","9757",6,"BLM",0,0,0,0,0,144,15
"CL","9757",7,"BLM",0,0,0,0,1,144,16
"SP","12362",1,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12362",2,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12362",3,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12362",4,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12362",5,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12362",6,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12362",7,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12364",1,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12364",2,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12364",3,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12364",4,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12364",5,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12364",6,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12364",7,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12407C",1,"ODF",0,0,0,0,1,124,13
"SP","12407C",2,"ODF",0,0,0,0,0,124,13
"SP","12407C",3,"ODF",0,0,0,0,2,124,13.5
"SP","12407C",4,"ODF",0,0,0,0,4,124,14
"SP","12407C",5,"ODF",0,3,0,3,5,124,14.5
"SP","12407C",6,"ODF",0,1,0,1,1,124,15
"SP","12407C",7,"ODF",1,0,0,1,1,124,15.5
"SP","12407T",1,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12407T",2,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12407T",3,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12407T",4,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12407T",5,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12407T",6,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12407T",7,"ODF",NA,NA,NA,NA,NA,NA,NA
"SP","12605",1,"ODF",0,0,0,0,2,138,12
"SP","12605",2,"ODF",0,0,0,0,1,138,12.5
"SP","12605",3,"ODF",0,0,0,0,2,138,13
"SP","12605",4,"ODF",0,0,0,0,4,138,14
