X,Y,UTMX,UTMY,Owner,Tree_Farm,Stand__,Pass,OSS,ENES
-122.392342619249,45.0943845607313,547814.000000,4993615.000000,WY,CL,10078.000000,1.000000,,
-122.392813675954,45.0943060501475,547777.000000,4993606.000000,WY,CL,10078.000000,2.000000,,
-122.393311958313,45.0940566484544,547738.000000,4993578.000000,WY,CL,10078.000000,3.000000,,
-122.394106706889,45.093412739508,547676.000000,4993506.000000,WY,CL,10078.000000,4.000000,,Y
-122.39452235633,45.0937660133271,547643.000000,4993545.000000,WY,CL,10078.000000,5.000000,,
-122.394929390229,45.0937321634576,547611.000000,4993541.000000,WY,CL,10078.000000,6.000000,,
-122.348228966183,45.0889292881133,551290.000000,4993036.000000,WY,CL,10185.000000,1.000000,,
-122.347744675758,45.0890525482109,551328.000000,4993050.000000,WY,CL,10185.000000,2.000000,,
-122.34728210605,45.0894999947125,551364.000000,4993100.000000,WY,CL,10185.000000,3.000000,Y,
-122.346730186666,45.0888667138664,551408.000000,4993030.000000,WY,CL,10185.000000,4.000000,Y,
-122.349924828826,45.089542073691,551156.000000,4993103.000000,WY,CL,10185.000000,5.000000,,
-122.350329204074,45.0897424140738,551124.000000,4993125.000000,WY,CL,10185.000000,6.000000,Y,
-122.350709290063,45.089843595284,551094.000000,4993136.000000,WY,CL,10185.000000,7.000000,Y,
-122.400272843349,45.0069015223653,547262.000000,4983892.000000,WY,CL,10399.000000,1.000000,Y,
-122.399667451799,45.0065472668736,547310.000000,4983853.000000,WY,CL,10399.000000,2.000000,,
-122.399047496778,45.0063729698455,547359.000000,4983834.000000,WY,CL,10399.000000,3.000000,,
-122.398478393995,45.0061899353874,547404.000000,4983814.000000,WY,CL,10399.000000,4.000000,,
-122.397872078035,45.005925684636,547452.000000,4983785.000000,WY,CL,10399.000000,5.000000,,
-122.397354209212,45.0056979050918,547493.000000,4983760.000000,WY,CL,10399.000000,6.000000,,
-121.762244056792,45.0000670119852,597554.000000,4983703.000000,WY,CL,10399.000000,7.000000,,
-122.424624251352,45.0499387758762,545309.000000,4988659.000000,WY,CL,10444.000000,1.000000,,
-122.424653708998,45.0495338411057,545307.000000,4988614.000000,WY,CL,10444.000000,2.000000,,
-122.424478913222,45.049235899353,545321.000000,4988581.000000,WY,CL,10444.000000,3.000000,,
-122.424584559733,45.0488313484736,545313.000000,4988536.000000,WY,CL,10444.000000,4.000000,,
-122.424663906422,45.0485166834816,545307.000000,4988501.000000,WY,CL,10444.000000,5.000000,Y,
-122.424706331538,45.0480848083712,545304.000000,4988453.000000,WY,CL,10444.000000,6.000000,,
-122.411974720075,45.0785721654218,546282.000000,4991847.000000,WY,CL,10467.000000,1.000000,,Y
-122.411273563826,45.0788025999691,546337.000000,4991873.000000,WY,CL,10467.000000,2.000000,,Y
