X,Y,OBJECTID,CLEARCUT_Y,DISTRICT,ELEVATION_,STAND_ESTA,FRSTBL_ACR,GROSS_AREA,OFCLWCO__1,SETTING_NU,SITE_INDX_,location_i,OUNAME,LEGAL_DESC,UNIT_NUMBE,AVGAGE,LOC_SHP_ID,harvest_ye,ORIG_FID,UTMX,UTMY
-122.344420581782,45.0847162976603,"10026","2014",Clackamas,"2500","59",91.2342,97.7957,"10597",M3211,"107","0",,,,,"0","0","0",551594.00000000000,4992570.00000000000
-122.406971963389,45.0498513362039,"8989","2014",Clackamas,"2300","49",95.5129,103.4197,"10488",M4214,"108","0",,,,,"0","0","1",546699.00000000000,4988660.00000000000
-122.425067126039,45.0472231291779,"1101","2015",Clackamas,"2100","49",106.9904,109.1801,"10444",M5216,"123","0",,,,,"0","0","2",545276.00000000000,4988360.00000000000
-122.294425570674,44.9947922509595,"1478","2014",Clackamas,"2800","54",112.7864,122.6771,"10711",M1206,"99","0",,,,,"0","0","3",555615.00000000000,4982610.00000000000
-122.637900624922,44.6530052455175,"6221","2014",Snow Peak,"2250","50",97.3105,98.8543,"21019",K4217,"120","0",,,,,"0","0","4",528711.00000000000,4944470.00000000000
-122.634232216895,44.6250355283441,"2934","2016",Snow Peak,"2300","60",96.6684,101.5572,"20543",K6212,"116","0",,,,,"0","0","5",529016.00000000000,4941360.00000000000
-122.539895755207,44.5662738919918,"9175","2013",Snow Peak,"1950","64",28.3754,29.1388,"20090",K2222,"122","0",,,,,"0","0","6",536536.00000000000,4934870.00000000000
-122.61691463631,44.607648272291,"20946","0",Snow Peak,"2100","62",66.5191,86.2417,"20291",,"118","0",,,,,"0","0","7",530398.00000000000,4939440.00000000000
-122.573201632885,44.610571362159,"11699","0",Snow Peak,"3350","62",65.1587,65.7875,"20236",,"95","0",,,,,"0","0","8",533865.00000000000,4939780.00000000000
-122.56417386215,44.6040679063077,"3028","2014",Snow Peak,"2200","71",45.1607,48.1915,"20232",K8114,"120","0",,,,,"0","0","9",534586.00000000000,4939060.00000000000
-122.676876632751,44.6025109887653,"3043","0",Snow Peak,"1000","63",86.1328,89.5860,"20571",,"132","0",,,,,"0","0","10",525643.00000000000,4938850.00000000000
-122.599004316044,44.5935623491904,"29853","0",Snow Peak,"1500","69",42.3966,43.4045,"20283",,"123","0",,,,,"0","0","11",531827.00000000000,4937880.00000000000
-122.683271603845,44.5393509823932,"24964","0",Snow Peak,"1150","84",93.2625,93.5533,"20360",,"129","0",,,,,"0","0","12",525162.00000000000,4931830.00000000000
-122.688010389794,44.5361023283543,"14815","2016",Snow Peak,"1000","69",77.7429,80.3745,"20361",K6211,"133","0",,,,,"0","0","13",524787.00000000000,4931470.00000000000
-122.55013886025,44.5621505103372,"9154","2013",Snow Peak,"1950","67",99.2101,100.6461,"20088",K2210,"122","0",,,,,"0","0","14",535725.00000000000,4934410.00000000000
-122.603696699011,44.6731198357661,"16244","2014",Snow Peak,"2350","53",51.9041,53.6644,"20698",K3217,"120","0",,,,,"0","0","15",531412.00000000000,4946720.00000000000
-122.514879588179,45.0144666304847,"27271","2013",Clackamas,"1900","76",106.3005,110.5656,"11079",M4226,"112","0",,,,,"0","0","16",538225.00000000000,4984670.00000000000
-122.629149569739,44.6206613257168,"10379","0",Snow Peak,"2450","60",60.1009,63.8431,"20538",,"114","0",,,,,"0","0","17",529421.00000000000,4940880.00000000000
-122.650704834881,44.6164562108992,"10370","2015",Snow Peak,"2050","58",124.4624,127.0018,"20565",K5212,"124","0",,,,,"0","0","18",527713.00000000000,4940400.00000000000
-122.632487136617,44.6125030787537,"10140","2015",Snow Peak,"2350","62",119.6518,126.5469,"20536",K5209,"119","0",,,,,"0","0","19",529160.00000000000,4939970.00000000000
-122.574871947862,44.6048463896949,"3023","2016",Snow Peak,"2950","58",82.5198,85.9116,"20237",K6208,"108","0",,,,,"0","0","20",533736.00000000000,4939140.00000000000
-122.61491644407,44.6012802385093,"3053","0",Snow Peak,"1550","62",112.8621,127.2823,"20288",,"128","0",,,,,"0","0","21",530560.00000000000,4938730.00000000000
-122.615895308218,44.5890006088675,"25648","2013",Snow Peak,"1350","71",106.1646,110.9068,"20281",K4206,"128","0",,,,,"0","0","22",530489.00000000000,4937370.00000000000
-122.662030314611,44.6757416006817,"26602","2014",Snow Peak,"900","90",90.3097,94.1725,"20818",K4215,"132","0",,,,,"0","0","23",526787.00000000000,4946990.00000000000
-122.619222991314,44.6485874160163,"2850","2016",Snow Peak,"2950","55",25.8999,25.8999,"21159",K5217,"110","0",,,,,"0","0","24",530194.00000000000,4943980.00000000000
-122.653833238264,44.6325409745631,"2912","0",Snow Peak,"1650","52",57.8714,61.2717,"20550",,"119","0",,,,,"0","0","25",527457.00000000000,4942190.00000000000
-122.690101839644,44.6292324351783,"16294","0",Snow Peak,"1050","35",77.4302,82.1823,"20616",,"131","0",,,,,"0","0","26",524582.00000000000,4941810.00000000000
-122.618472759998,44.627213825909,"2927","2017",Snow Peak,"2700","55",39.7518,40.3204,"20540",,"107","0",,,,,"0","0","27",530265.00000000000,4941610.00000000000
-122.710555032879,44.5435435751591,"5486","2014",Snow Peak,"950","61",19.4093,20.0678,"20666",K4214,"132","0",,,,,"0","0","28",522993.00000000000,4932290.00000000000
-122.397429106108,45.0059569558852,"12067","2014",Clackamas,"2900","52",65.5795,70.5484,"10399",M2212,"93","0",,,,,"0","0","29",547487.00000000000,4983790.00000000000
-122.378446759532,45.035026302556,"1202","2019",Clackamas,"2750","61",44.7134,45.3267,"10965",,"103","0",,,,,"0","0","30",548958.00000000000,4987030.00000000000
-122.414348257435,45.0205263910013,"1304","2017",Clackamas,"2600","57",45.3157,47.3449,"10968",,"98","0",,,,,"0","0","31",546142.00000000000,4985400.00000000000
-122.383584204611,45.0624667090963,"1021","2016",Clackamas,"2750","57",133.0500,134.9543,"10482",M6206,"115","0",,,,,"0","0","32",548530.00000000000,4990070.00000000000
-122.413141915389,45.0606616344661,"9081","0",Clackamas,"2200","51",53.2940,53.9625,"10963",,"120","0",,,,,"0","0","33",546205.00000000000,4989860.00000000000
-122.369650531532,45.0498230167305,"1073","2017",Clackamas,"2750","58",73.3003,85.3207,"10553",,"109","0",,,,,"0","0","34",549638.00000000000,4988680.00000000000
-122.350792107561,45.0899915923988,"26294","2018",Clackamas,"2100","57",109.9563,114.3980,"10185",,"118","0",,,,,"0","0","35",551087.00000000000,4993150.00000000000
-122.410573958096,45.0776753079022,"965","2014",Clackamas,"1700","62",70.4049,74.0937,"10467",M3209,"124","0",,,,,"0","0","36",546393.00000000000,4991750.00000000000
-122.667459274872,44.5986532395799,"72093","2017",Snow Peak,"0","67",50.1393,52.6650,"21213",,"131","0",,,,,"0","0","37",526392.00000000000,4938420.00000000000
-122.420971317203,45.0833216744476,"19881","2018",Clackamas,"1250","62",30.7110,31.7750,"10506",,"128","0",,,,,"0","0","38",545570.00000000000,4992370.00000000000
-122.394970127203,45.095072107983,"17537","2015",Clackamas,"1850","61",95.4911,97.2741,"10078",M5206,"124","0",,,,,"0","0","39",547607.00000000000,4993690.00000000000
-122.649626268648,44.6236308295219,"10138","2016",Snow Peak,"2000","59",44.7312,46.4290,"20560",K6214,"122","0",,,,,"0","0","40",527795.00000000000,4941200.00000000000
-122.663492619785,44.6264760932533,"10364","2015",Snow Peak,"1700","58",26.9695,28.2664,"20600",K5213,"122","0",,,,,"0","0","41",526694.00000000000,4941510.00000000000
-122.607675241057,44.6471131712263,"6236","0",Snow Peak,"3100","54",52.7939,54.0002,"21026",,"96","0",,,,,"0","0","42",531110.00000000000,4943830.00000000000
-122.646883932305,44.6123529567434,"6852","0",Snow Peak,"2000","60",55.6599,57.1628,"20535",,"125","0",,,,,"0","0","43",528018.00000000000,4939950.00000000000
-122.609748895402,44.6390741454482,"2876","0",Snow Peak,"3100","59",101.1989,107.3378,"21029",,"97","0",,,,,"0","0","44",530950.00000000000,4942930.00000000000
-122.603293666228,44.5376858988536,"3406","2014",Snow Peak,"2100","72",43.4462,54.6518,"20031",K4202,"117","0",,,,,"0","0","45",531517.00000000000,4931670.00000000000
-122.37999679227,45.0487634120717,"4602","2014",Clackamas,"2900","61",104.0504,106.8598,"10498",M4216,"104","0",,,,,"0","0","46",548824.00000000000,4988550.00000000000
-122.35431976609,45.1580697609505,"0","0",Clackamas,"0","55",0.0000,0.0000,"408161","1059","0","408161",Jackson Cleanup,0205S04E,"1059","54.9","0","0","47",550749.00000000000,5000710.00000000000
-122.264694484186,45.1903810787,"0","0",Clackamas,"0","68",0.0000,0.0000,"33651","1069","0","33651",Old Man Hill,0204S04E,"1069","68.4","0","0","48",557761.00000000000,5004360.00000000000
-122.380318430218,45.2563178971169,"0","0",Clackamas,"0","0",0.0000,0.0000,,,"0","0",Longfellow,0204S03E,"1002","67","33554","2013","49",548622.00000000000,5011610.00000000000
-122.294908062866,45.1693703372034,"0","0",Clackamas,"0","0",0.0000,0.0000,,,"0","0",In the Clear,0205S04E,"1012","64.9","34007","2016","50",555408.00000000000,5002010.00000000000
-122.33766657642,45.1462762468549,"0","0",Clackamas,"0","0",0.0000,0.0000,,,"0","0",Crooked Lock,0205S04E,"1073","59","33810","2014","51",552069.00000000000,4999410.00000000000
-122.320033796027,45.1650224618817,"0","0",Clackamas,"0","0",0.0000,0.0000,,,"0","0",Little Clear Alder,0205S04E,"1026","51.8","408162","2017","52",553438.00000000000,5001510.00000000000
-122.260181083879,45.2084386065124,"0","0",Clackamas,"0","0",0.0000,0.0000,,,"0","0",Hemlock Hill,0204S04E,"3062","54.7","408178","2015","53",558097.00000000000,5006370.00000000000
-122.368021059174,45.1628802005261,"0","0",Clackamas,"0","0",0.0000,0.0000,,,"0","0",Jackson Tribs,0205S04E,"3047","53.2","408143","2015","54",549668.00000000000,5001240.00000000000
-122.336446531181,45.1755251024334,"0","0",Clackamas,"0","0",0.0000,0.0000,,,"0","0",Frank Overview,0204S04E,"1133","55.6","33689","2017","55",552138.00000000000,5002660.00000000000
-122.282426161285,45.198518845174,"0","0",Clackamas,"0","0",0.0000,0.0000,,,"0","0",Burn Pit,0204S04E,"1081","56.8","33628","2014","56",556360.00000000000,5005250.00000000000
-122.522950144939,45.2135629419087,"0","0",Clackamas,"0","0",0.0000,0.0000,,,"0","0",Ho No More,0204S02E,"1012","73","34017","2015","57",537459.00000000000,5006790.00000000000
-122.419356916847,45.1244603130722,"0","0",Clackamas,"0","0",0.0000,0.0000,,,"0","0",Young Top,0205S03E,"1116","54.7","33754","2013","58",545664.00000000000,4996940.00000000000
-122.253322040718,45.1896297938749,"0","0",Clackamas,"0","0",0.0000,0.0000,,,"0","0",Hemsho,0204S04E,"1066","58.2","408180","2016","59",558655.00000000000,5004290.00000000000
