OBJECTID_1,Join_Count,TARGET_FID,OID_,CID,Long,Lat,OBJECTID,CLEARCUT_Y,DISTRICT,ELEVATION_,STAND_ESTA,FRSTBL_ACR,GROSS_AREA,OFCLWCO__1,SETTING_NU,SITE_INDX_,OUNAME,LEGAL_DESC,UNIT_NUMBE,AVGAGE,LOC_SHP_ID,UTMX,UTMY,Acres,Owner,Page
"1","1","0","0","0",-122.34109755400,45.08394432890,10026.00000000000,"2014",Clackamas,"2500","59",91.23420000000,97.79570000000,"10597",M3211,"107",,05S-04E-32,,,0.00000000000,551594.00000000000,4992570.00000000000,97.79600000000,WY,
"2","1","1","0","1",-122.40365750600,45.04870756860,8989.00000000000,"2014",Clackamas,"2300","49",95.51290000000,103.41970000000,"10488",M4214,"108",,06S-03E-14,,,0.00000000000,546699.00000000000,4988660.00000000000,103.42000000000,WY,
"3","1","2","0","2",-122.42696210200,45.04559198680,1101.00000000000,"2015",Clackamas,"2100","49",106.99040000000,109.18010000000,"10444",M5216,"123",,06S-03E-15,,,0.00000000000,545276.00000000000,4988360.00000000000,109.18100000000,WY,
"4","1","3","0","3",-122.29844139700,44.99657349360,1478.00000000000,"2014",Clackamas,"2800","54",112.78640000000,122.67710000000,"10711",M1206,"99",,"07S-04E-03, 02",,,0.00000000000,555615.00000000000,4982610.00000000000,122.67800000000,WY,
"5","1","4","0","4",-122.63714045300,44.65024455730,6221.00000000000,"2014",Snowpeak,"2250","50",97.31050000000,98.85430000000,"21019",K4217,"120",,10S-01E-36,,,0.00000000000,528711.00000000000,4944470.00000000000,98.85470000000,WY,
"6","1","5","0","5",-122.62974069200,44.62709480750,2934.00000000000,"2016",Snowpeak,"2300","60",96.66840000000,101.55720000000,"20543",K6212,"116",,11S-01E-12,,,0.00000000000,529016.00000000000,4941360.00000000000,101.55800000000,WY,
"7","1","6","0","6",-122.53921516400,44.56410970040,9175.00000000000,"2013",Snowpeak,"1950","64",28.37540000000,29.13880000000,"20090",K2222,"122",,11S-02E-35,,,0.00000000000,536536.00000000000,4934870.00000000000,29.13890000000,WY,
"8","1","7","0","7",-122.61666711400,44.60435579550,20946.00000000000,"0",Snowpeak,"2100","62",66.51910000000,86.24170000000,"20291",,"118",,11S-02E-18,,,0.00000000000,530398.00000000000,4939440.00000000000,86.24200000000,WY,
"9","1","8","0","8",-122.57236566500,44.61265166410,11699.00000000000,"0",Snowpeak,"3350","62",65.15870000000,65.78750000000,"20236",,"95",,11S-02E-16,,,0.00000000000,533865.00000000000,4939780.00000000000,65.78780000000,WY,
"10","1","9","0","9",-122.56716637000,44.60337117860,3028.00000000000,"2014",Snowpeak,"2200","71",45.16070000000,48.19150000000,"20232",K8114,"120",,11S-02E-16,,,0.00000000000,534586.00000000000,4939060.00000000000,48.19170000000,WY,
