OBJECTID_1,Join_Count,TARGET_FID,CID,OBJECTID,CLEARCUT_Y,DISTRICT,ELEVATION_,STAND_ESTA,OFCLWCO__1,SETTING_NU,SITE_INDX_,OUNAME,LEGAL_DESC,UNIT_NUMBE,AVGAGE,LOC_SHP_ID,UTMX,UTMY,Acres,Owner,Page,Srvy_2015,Srvy_2013,Srvy_2014,Srvy_2016,Srvy_2017,Srvy_2018,Srvy_2019,Cut_Yr,Long,Lat
"1","2","1","0",10026.00000000000,"2014",Clackamas,"2500","59","10597",M3211,"107",,05S-04E-32,,"59",0.00000000000,551516.00000000000,4992630.00000000000,114.82600000000,WY,,"0","0","0","1","0","0","0","0","-122.343228552003","45.0875006668243"
"2","1","2","1",8989.00000000000,"2014",Clackamas,"2300","49","10488",M4214,"108",,06S-03E-14,,"49",0.00000000000,546630.00000000000,4988630.00000000000,106.03200000000,WY,,"0","0","0","1","0","0","0","0","-122.406905222131","45.0476332872375"
"3","1","3","2",1101.00000000000,"2015",Clackamas,"2100","49","10444",M5216,"123",,06S-03E-15,,"49",0.00000000000,545301.00000000000,4988320.00000000000,123.19500000000,WY,,"1","0","0","1","0","0","0","0","-122.422442259451","45.0467591140689"
"4","1","4","3",1478.00000000000,"2014",Clackamas,"2800","54","10711",M1206,"99",,"07S-04E-03, 02",,"54",0.00000000000,555615.00000000000,4982610.00000000000,122.67800000000,WY,,"0","0","0","1","0","0","0","0","-122.293077195734","44.9935166240379"
"5","1","5","4",6221.00000000000,"2014",Snowpeak,"2250","50","21019",K4217,"120",,10S-01E-36,,"50",0.00000000000,528711.00000000000,4944470.00000000000,98.85470000000,WY,,"1","0","0","1","0","0","0","0","-122.640475587282","44.6512917485105"
"6","1","6","5",2934.00000000000,"2016",Snowpeak,"2300","60","20543",K6212,"116",,11S-01E-12,,"60",0.00000000000,529016.00000000000,4941360.00000000000,101.55800000000,WY,,"1","0","0","0","0","0","0","0",,
"7","1","7","6",9175.00000000000,"2013",Snowpeak,"1950","64","20090",K2222,"122",,11S-02E-35,,"64",0.00000000000,536536.00000000000,4934870.00000000000,29.13890000000,WY,,"1","0","0","1","0","0","0","0","-122.539325715361","44.5659309985894"
"8","1","8","7",20946.00000000000,"0",Snowpeak,"2100","62","20291",,"118",,11S-02E-18,,"62",0.00000000000,530398.00000000000,4939440.00000000000,86.24200000000,WY,,"1","0","0","1","0","0","0","0","-122.616367025629","44.6105365131933"
"9","1","9","8",11699.00000000000,"0",Snowpeak,"3350","62","20237",,"95",,11S-02E-16,,"62",0.00000000000,533880.00000000000,4939640.00000000000,94.78230000000,WY,,"1","0","0","1","0","0","0","0","-122.573539651267","44.6089983733343"
"10","1","10","9",3028.00000000000,"2014",Snowpeak,"2200","71","20232",K8114,"120",,11S-02E-16,,"71",0.00000000000,534590.00000000000,4939050.00000000000,56.13430000000,WY,,"0","0","0","1","0","0","0","0","-122.567001927858","44.6012421109772"
"11","1","11","10",3043.00000000000,"0",Snowpeak,"1000","63","20571",,"132",,11S-01E-22,,"63",0.00000000000,525592.00000000000,4938890.00000000000,117.12200000000,WY,,"1","0","0","0","0","0","0","0",,
"12","1","12","11",29853.00000000000,"0",Snowpeak,"1500","69","20283",,"123",,11S-02E-20,,"69",0.00000000000,531833.00000000000,4937880.00000000000,50.10000000000,WY,,"1","0","0","1","0","0","0","0","-122.598895483096","44.5945457071183"
"13","1","13","12",24964.00000000000,"0",Snowpeak,"1150","84","20360",,"129",,12S-01E-09,,"84",0.00000000000,525191.00000000000,4931960.00000000000,70.16670000000,WY,,"1","0","0","1","0","0","0","0","-122.681639010793","44.5398277984276"
"14","1","14","13",14815.00000000000,"2016",Snowpeak,"1000","69","20361",K6211,"133",,12S-01E-09,,"69",0.00000000000,524787.00000000000,4931470.00000000000,80.37490000000,WY,,"0","0","0","1","0","0","0","0","-122.688588548965","44.5343902977091"
"15","1","15","14",9154.00000000000,"2013",Snowpeak,"1950","67","20088",K2210,"122",,11S-02E-34,,"67",0.00000000000,535742.00000000000,4934410.00000000000,105.46900000000,WY,,"1","0","0","1","0","0","0","0","-122.5496172744","44.5625216297478"
"16","1","16","15",16244.00000000000,"2014",Snowpeak,"2350","53","20698",K3217,"120",,10S-02E-30,,"53",0.00000000000,530940.00000000000,4947070.00000000000,117.58400000000,WY,,"0","0","0","0","0","0","0","0",,
