OBJECTID,Join_Count,TARGET_FID,DISTRICT,OFCLWCO__1,SETTING_NU,UNIT_NUMBE,Owner,UTMX,UTMY,Lat,Long
"1","1","0",Clackamas,"10597",M3211,,WY,"551707","4992639","45.0853269483412","-122.342973060372"
"2","1","1",Clackamas,"10488",M4214,,WY,"546756","4988548","45.048843291409","-122.406256296732"
"3","1","2",Clackamas,"10444",M5216,,WY,"545367","4988479","45.0483115318368","-122.423901919287"
"4","1","3",Clackamas,"10711",M1206,,WY,"555308","4982779","44.9963037569361","-122.298307906817"
"5","1","4",Snowpeak,"21019",K4217,,WY,"528961","4944378","44.6521819844981","-122.634753062208"
"6","1","5",Snowpeak,"20543",K6212,,WY,"529055","4941066","44.6223593105259","-122.63375639119"
"7","1","6",Snowpeak,"20090",K2222,,WY,"536576","4934570","44.5635337664969","-122.539416525682"
"8","1","7",Snowpeak,"20291",K9212,,WY,"530054","4939486","44.6080949111857","-122.621245766332"
"9","1","8",Snowpeak,"20237",,,WY,"533998","4939546","44.6084588926228","-122.571543752692"
"10","1","9",Snowpeak,"20232",K8114,,WY,"534592","4938789","44.6016130761161","-122.564116008554"
"11","1","10",Snowpeak,"20571",,,WY,"525516","4938887","44.6028825331809","-122.678468314035"
"12","1","11",Snowpeak,"20283",,,WY,"531742","4937989","44.5945422012963","-122.600076946694"
"13","1","12",Snowpeak,"20360",K7218,,WY,"525162","4932346","44.5440079823073","-122.683249751215"
"14","1","13",Snowpeak,"20361",K6211,,WY,"524809","4931566","44.5369957685139","-122.687727227836"
"15","1","14",Snowpeak,"20088",K2210,,WY,"536079","4934591","44.5637492513901","-122.545667943459"
"16","1","15",Snowpeak,"20698",K3217,,WY,"531138","4947320","44.6785724148359","-122.607116368956"
"17","1","16",Clackamas,"11079",M4226,,WY,"538362","4984631","45.0140883818394","-122.513147270627"
"18","1","17",Snowpeak,"20538",,,WY,"529802","4940833","44.6202336272101","-122.624354435822"
"19","1","18",Snowpeak,"20565",K5212,,WY,"527883","4940019","44.6129768731771","-122.648585869095"
"20","1","19",Snowpeak,"20536",K5209,,WY,"529415","4939630","44.6094202719717","-122.62929222912"
"21","1","20",Snowpeak,"20236",K6208,,WY,"533274","4938969","44.6032971254372","-122.580711854755"
"22","1","21",Snowpeak,"20288",,,WY,"530485","4938516","44.5993459596617","-122.615878286408"
"23","1","22",Snowpeak,"20281",K4206,,WY,"530440","4937767","44.5926068211324","-122.616484367156"
"24","1","23",Snowpeak,"20818",K4215,,WY,"527171","4946566","44.6719462696532","-122.65721040344"
"25","1","24",Snowpeak,"21159",K5217,,WY,"530219","4944097","44.6495997679038","-122.618906167717"
"26","1","25",Snowpeak,"20550",,,WY,"526989","4942410","44.6345431581761","-122.659721483763"
"27","1","26",Snowpeak,"20616",,,WY,"524593","4942068","44.6315477655127","-122.689949856191"
