OBJECTID_1,Join_Count,TARGET_FID,OID_,CID,OBJECTID,DISTRICT,STAND_ESTA,OFCLWCO__1,SETTING_NU,OUNAME,LEGAL_DESC,UNIT_NUMBE,Lat,Long,UTMX,UTMY
"1","1","0","0","0",10026.00000000000,Clackamas,"59","10597",M3211,,05S-04E-32,,45.08351731360,-122.34539314000,"551518","4992437"
"2","1","1","0","1",8989.00000000000,Clackamas,"49","10488",M4214,,06S-03E-14,,45.04873809140,-122.40625561600,"546756","4988536"
"3","1","2","0","2",1101.00000000000,Clackamas,"49","10444",M5216,,06S-03E-15,,45.04831902160,-122.41861998900,"545783","4988482"
"4","1","3","0","3",1478.00000000000,Clackamas,"54","10711",M1206,,"07S-04E-03, 02",,44.99612438630,-122.29855408900,"555288","4982759"
"5","1","4","0","4",6221.00000000000,Snowpeak,"50","21019",K4217,,10S-01E-36,,44.65465504840,-122.63693211300,"528787","4944652"
"6","1","5","0","5",2934.00000000000,Snowpeak,"60","20543",K6212,,11S-01E-12,,44.62513621650,-122.63635551900,"528847","4941373"
"7","1","6","0","6",9175.00000000000,Snowpeak,"64","20090",K2222,,11S-02E-35,,44.56408610650,-122.53934173900,"536581","4934631"
"8","1","7","0","7",20946.00000000000,Snowpeak,"62","20291",K9212,,11S-02E-18,,44.60925596530,-122.61733988300,"530364","4939616"
"9","1","8","0","8",11699.00000000000,Snowpeak,"62","20237",,,11S-02E-16,,44.60944384720,-122.57554040700,"533680","4939654"
"10","1","9","0","9",3028.00000000000,Snowpeak,"71","20232",K8114,,11S-02E-16,,44.60425769130,-122.56415008400,"534587","4939082"
"11","1","10","0","10",3043.00000000000,Snowpeak,"63","20571",,,11S-01E-22,,44.60076550660,-122.68160914200,"525268","4938651"
"12","1","11","0","11",29853.00000000000,Snowpeak,"69","20283",,,11S-02E-20,,44.59345606310,-122.59808933300,"531900","4937869"
"13","1","12","0","12",24964.00000000000,Snowpeak,"84","20360",K7218,,12S-01E-09,,44.53808287710,-122.68366212500,"525132","4931688"
"14","1","13","0","13",14815.00000000000,Snowpeak,"69","20361",K6211,,12S-01E-09,,44.53672819020,-122.68845628900,"524751","4931536"
"15","1","14","0","14",9154.00000000000,Snowpeak,"67","20088",K2210,,11S-02E-34,,44.56373061820,-122.55309127200,"535490","4934585"
"16","1","15","0","15",16244.00000000000,Snowpeak,"53","20698",K3217,,10S-02E-30,,44.67859586900,-122.61263713300,"530700","4947320"
"17","1","16","0","16",27271.00000000000,Clackamas,"76","11079",M4226,,06S-02E-25,,45.01590596900,-122.51091370600,"538537","4984834"
"18","1","17","0","17",10379.00000000000,Snowpeak,"60","20538",,,"11S-01E-12, 13",,44.62167942660,-122.62511510600,"529740","4940994"
"19","1","18","0","18",10370.00000000000,Snowpeak,"58","20565",K5212,,11S-01E-14,,44.61965111020,-122.65030234100,"527743","4940759"
"20","1","19","0","19",10140.00000000000,Snowpeak,"62","20536",K5209,,11S-01E-13,,44.60739250010,-122.63126668100,"529260","4939404"
"21","1","20","0","20",3023.00000000000,Snowpeak,"58","20236",K6208,,11S-02E-16,,44.60463019070,-122.58191615300,"533177","4939116"
"22","1","21","0","21",3053.00000000000,Snowpeak,"62","20288",,,11S-02E-17,,44.60171795350,-122.61031653300,"530925","4938782"
"23","1","22","0","22",25648.00000000000,Snowpeak,"71","20281",K4206,,11S-02E-19,,44.58562866820,-122.61440228700,"530609","4936993"
"24","1","23","0","23",26602.00000000000,Snowpeak,"90","20818",K4215,,"10S-01E-27, 26",,44.67314256860,-122.66066215800,"526897","4946698"
"25","1","24","0","24",2850.00000000000,Snowpeak,"55","21159",K5217,,11S-02E-06,,44.64829832350,-122.62012544300,"530123","4943952"
"26","1","25","0","25",2912.00000000000,Snowpeak,"52","20550",,,11S-01E-11,,44.63349361690,-122.65242182700,"527569","4942296"
"27","1","26","0","26",16294.00000000000,Snowpeak,"35","20616",,,11S-01E-09,,44.62897585710,-122.69179311300,"524448","4941782"
"28","1","27","0","27",2927.00000000000,Snowpeak,"55","20540",,,11S-02E-07,,44.62738169820,-122.61668436000,"530406","4941630"
"29","1","28","0","28",5486.00000000000,Snowpeak,"61","20666",K4214,,12S-01E-08,,44.54342118210,-122.71109191000,"522950","4932273"
"30","1","29","0","29",12067.00000000000,Clackamas,"52","10399",M2212,,"06S-03E-35,36",,45.00848995730,-122.40189383700,"547133","4984068"
"31","1","30","0","30",1202.00000000000,Clackamas,"61","10965",,,06S-03E-24,,45.03457892580,-122.37617265000,"549138","4986981"
"32","1","31","0","31",1304.00000000000,Clackamas,"57","10968",,,06S-03E-26,,45.01976883680,-122.41547191800,"546054","4985313"
"33","1","32","0","32",1021.00000000000,Clackamas,"57","10482",M6206,,06S-03E-12,,45.06112371070,-122.38010428500,"548805","4989927"
"34","1","33","0","33",9081.00000000000,Clackamas,"51","10963",,,06S-03E-11,,45.06127426030,-122.41242152000,"546261","4989925"
"35","1","34","0","34",1073.00000000000,Clackamas,"58","10553",M7210,,06S-04E-18,,45.04994425770,-122.37011406300,"549601","4988692"
"36","1","35","0","35",26294.00000000000,Clackamas,"57","10185",,,05S-04E-32,,45.08919287820,-122.34494901200,"551548","4993067"
