OBJECTID,CLEARCUT_Y,DISTRICT,ELEVATION_,STAND_ESTA,OFCLWCO__1,SETTING_NU,SITE_INDX_,OUNAME,LEGAL_DESC,UNIT_NUMBE,AVGAGE,LOC_SHP_ID,UTMX,UTMY,Acres,Owner,Page,Srvy_2015,Srvy_2013,Srvy_2014,Srvy_2016,Srvy_2017,Srvy_2018,Srvy_2019,Cut_Yr,Burned,Lat,Long
"10026","2014",Clackamas,"2500","59","10597",M3211,"107",,05S-04E-32,,"59","0",551516.00000000000,4992630.00000000000,114.82600000000,WY,,"0","0","0","1","0","1","1","2015",Yes,45.08528298,-122.34539878
"8989","2014",Clackamas,"2300","49","10488",M4214,"108",,06S-03E-14,,"49","0",546630.00000000000,4988630.00000000000,106.03200000000,WY,,"0","0","0","1","0","1","1","2015",Yes,45.04961584,-122.40785637
"1101","2015",Clackamas,"2100","49","10444",M5216,"123",,06S-03E-15,,"49","0",545301.00000000000,4988320.00000000000,123.19500000000,WY,,"1","0","0","1","0","0","1","2017",No,45.04688554,-122.42475886
"1478","2014",Clackamas,"2800","54","10711",M1206,"99",,"07S-04E-03, 02",,"54","0",555615.00000000000,4982610.00000000000,122.67800000000,WY,,"0","0","0","1","0","1","0","2014",No,44.99479225,-122.29442556
"6221","2014",Snowpeak,"2250","50","21019",K4217,"120",,10S-01E-36,,"50","0",528711.00000000000,4944470.00000000000,98.85470000000,WY,,"1","0","0","1","0","1","1","2014",No,44.65300528,-122.63790064
"2934","2016",Snowpeak,"2300","60","20543",K6212,"116",,11S-01E-12,,"60","0",529016.00000000000,4941360.00000000000,101.55800000000,WY,,"1","0","0","0","0","1","1","2016",No,44.62503553,-122.63423218
"9175","2013",Snowpeak,"1950","64","20090",K2222,"122",,11S-02E-35,,"64","0",536536.00000000000,4934870.00000000000,29.13890000000,WY,,"1","0","0","1","0","1","1","2013",No,44.56627394,-122.53989582
"20946","0",Snowpeak,"2100","62","20291",K9212,"118",,11S-02E-18,,"62","0",530398.00000000000,4939440.00000000000,86.24200000000,WY,,"1","0","0","1","0","0","0","2019",No,44.60764833,-122.61691459
"11699","0",Snowpeak,"3350","62","20237",,"95",,11S-02E-16,,"62","0",533880.00000000000,4939640.00000000000,94.78230000000,WY,,"1","0","0","1","0","1","0","2017",No,44.60910227,-122.57292201
"3028","2014",Snowpeak,"2200","71","20232",K8114,"120",,11S-02E-16,,"71","0",534590.00000000000,4939050.00000000000,56.13430000000,WY,,"0","0","0","1","0","1","1","2015",No,44.60395798,-122.56411915
"3043","0",Snowpeak,"1000","63","20571",,"132",,11S-01E-22,,"63","0",525592.00000000000,4938890.00000000000,117.12200000000,WY,,"1","0","0","0","0","1","1","2015",No,44.60292590,-122.67751632
"29853","0",Snowpeak,"1500","69","20283",,"123",,11S-02E-20,,"69","0",531833.00000000000,4937880.00000000000,50.10000000000,WY,,"1","0","0","1","0","1","1","2020",No,44.59357988,-122.59892916
"24964","2017",Snowpeak,"1150","84","20360",K7218,"129",,12S-01E-09,,"84","0",525191.00000000000,4931960.00000000000,70.16670000000,WY,,"1","0","0","1","0","1","1","2017",No,44.54056542,-122.68290878
"14815","2016",Snowpeak,"1000","69","20361",K6211,"133",,12S-01E-09,,"69","0",524787.00000000000,4931470.00000000000,80.37490000000,WY,,"0","0","0","1","0","1","1","2015",No,44.53610232,-122.68801048
"9154","2013",Snowpeak,"1950","67","20088",K2210,"122",,11S-02E-34,,"67","0",535742.00000000000,4934410.00000000000,105.46900000000,WY,,"1","0","0","1","0","1","1","2013",No,44.56211171,-122.54992766
"16244","2014",Snowpeak,"2350","53","20698",K3217,"120",,10S-02E-30,,"53","0",530940.00000000000,4947070.00000000000,117.58400000000,WY,,"0","0","0","0","0","1","1","2015",No,44.67637333,-122.60962863
"27271","2013",Clackamas,"1900","76","11079",M4226,"112",,06S-02E-25,,"76","0",538207.00000000000,4984640.00000000000,110.71200000000,WY,,"1","0","0","1","0","1","1","2013",Yes,45.01416326,-122.51511458
"10379","0",Snowpeak,"2450","60","20538",,"114",,"11S-01E-12, 13",,"60","0",529422.00000000000,4940880.00000000000,64.32220000000,WY,,"1","0","0","1","0","1","0","2018",No,44.62065324,-122.62913154
"10370","2015",Snowpeak,"2050","58","20565",K5212,"124",,11S-01E-14,,"58","0",527679.00000000000,4940430.00000000000,117.38500000000,WY,,"0","0","0","1","0","1","1","2015",No,44.61665070,-122.65113560
"10140","2015",Snowpeak,"2350","62","20536",K5209,"119",,11S-01E-13,,"62","0",529256.00000000000,4939910.00000000000,106.36100000000,WY,,"0","0","0","1","0","1","1","2015",No,44.61190997,-122.63128076
