This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"K4MR","MELROSE GUNN",-103.8000,34.3000,1326,"ASOS","2486"
"K9L2","EDWARDS AIR",-117.8631,34.9908,701,"ASOS","2653"
"KALI","ALICE INTL A",-98.0269,27.7411,54,"ASOS","2715"
"KALO","WATERLOO MUN",-92.4011,42.5544,266,"ASOS","2719"
"KALW","WALLA WALLA",-118.2842,46.0950,367,"ASOS","2721"
"KANW","AINSWORTH MU",-100.0000,42.5800,789,"ASOS","2733"
"KAOO","ALTOONA/BLAI",-78.3169,40.3000,458,"ASOS","2735"
"KAPN","ALPENA CO. R",-83.5644,45.0717,210,"ASOS","2740"
"KASE","ASPEN/SARDY",-106.8694,39.2289,2382,"ASOS","2759"
"KBAN","USMC MTN WAR",-119.5169,38.3500,2067,"ASOS","2807"
"KBKS","FALFURRIAS",-98.1211,27.2067,34,"ASOS","2869"
"KBNO","BURNS MUNI (",-118.9564,43.5950,1263,"ASOS","2888"
"KBPC","MESA VISTA R",-101.0303,35.8892,845,"ASOS","2896"
"KBQP","MOREHOUSE ME",-91.8806,32.7561,51,"ASOS","2903"
"KBWP","HARRY STERN",-96.6072,46.2442,295,"ASOS","2935"
"KBYG","BUFFALO/JOHN",-106.7189,44.3814,1514,"ASOS","2937"
"KCDC","CEDAR CITY M",-113.0967,37.7067,1715,"ASOS","2971"
"KCKI","WILLIAMSBURG",-79.8569,33.7172,20,"ASOS","3012"
"KCNY","MOAB/CANYONL",-109.7447,38.7600,1388,"ASOS","3041"
"KCUL","CARMI MUNICI",-88.1231,38.0894,118,"ASOS","3087"
"KDUJ","DU BOIS (AWO",-78.9000,41.1800,554,"ASOS","3200"
"KDUX","MOORE COUNTY",-102.0131,35.8581,1129,"ASOS","3201"
"KE38","ALPINE-CASPA",-103.6836,30.3842,1376,"ASOS","3225"
"KELD","EL DORADO/GO",-92.8133,33.2208,84,"ASOS","3268"
"KENV","WENDOVER (AU",-114.0300,40.7300,1292,"ASOS","3282"
"KERI","ERIE INTL AI",-80.1825,42.0800,223,"ASOS","3291"
"KEVW","EVANSTON/BUR",-111.0306,41.2731,2183,"ASOS","3308"
"KFVE","FRENCHVILLE",-68.3072,47.2850,301,"ASOS","3418"
"KGCD","GRANT COUNTY",-118.9625,44.4042,1127,"ASOS","3441"
"KGDV","GLENDIVE(AWO",-104.8000,47.1300,749,"ASOS","3448"
"KGNR","GREENVILLE (",-69.5538,45.4646,427,"ASOS","3482"
"KGRN","GORDON MUNIC",-102.1753,42.8060,1085,"ASOS","3499"
"KHEY","HANCHEY AHP",-85.6667,31.3500,97,"ASOS","3560"
"KHEZ","NATCHEZ/HARD",-91.3000,31.6200,83,"ASOS","3561"
"KHHF","CANADIAN / H",-100.4000,35.9000,730,"ASOS","3568"
"KHKA","BLYTHEVILLE",-89.8325,35.9389,78,"ASOS","3577"
"KHLN","HELENA REGIO",-111.9636,46.6056,1180,"ASOS","3583"
