"landowner","stand","trt","year","date","obs","subplot","pass","spp","cover_obj","substrate","age_class","date_mdy","svl","id","recap"
"WY","10399","HU",2024,"5/7/2024","JW",7,"2","OSS","O","L","A",2024-05-07,44,"JW01",0
"ODF","12421","BU",2024,"5/14/2024","JW",4,"2","OSS","W","W","A",2024-05-14,NA,"",0
"BLM","29123","UU",2024,"3/27/2024","JW",3,"1","OSS","W","W","A",2024-03-27,NA,"",0
"PB","34007","HB",2024,"4/22/2024","JW",2,"2","OSS","W","W","A",2024-04-22,NA,"",0
"ODF","12441","BU",2024,"5/14/2024","RMM",4,"1","OSS","W","W","A",2024-05-14,44,"",0
"WY","10968","HU",2024,"5/7/2024","JW",7,"1","OSS","W","D","A",2024-05-07,30,"",0
"WY","10506","BS",2024,"3/26/2024","RMM",3,"2","OSS","O","D","A",2024-03-26,49,"RM01",0
"BLM","15562","BU",2024,"4/1/2024","RMM",7,"3","OSS","W","L","A",2024-04-01,40,"SG01",1
"PB","408162","HU",2024,"4/24/2024","SLG",2,"3","OSS","W","W","A",2024-04-24,43,"RM01",1
"WY","20616","UU",2024,"3/21/2024","SLG",2,"1","ENES","W","D","A",2024-03-21,NA,"",0
"BLM","29121","UU",2024,"3/25/2024","JW",1,"3","ENES","L","D","A",2024-03-25,NA,"",0
"WY","10024","BS",2024,"3/26/2024","RMM",4,"3","PLDU","W","L","A",2024-03-26,NA,"",0
"WY","10506","BS",2024,"3/26/2024","JW",3,"2","OSS","W","D","A",2024-03-26,39,"JW01",0
"WY","10506","BS",2024,"3/26/2024","RMM",2,"3","OSS","W","L","A",2024-03-26,41,"RM02",0
"BLM","29122","UU",2024,"3/27/2024","JW",1,"1","ENES","W","D","A",2024-03-27,NA,"",0
"BLM","29122","UU",2024,"3/27/2024","JW",2,"1","ENES","W","D","A",2024-03-27,NA,"",0
"BLM","29122","UU",2024,"3/27/2024","JW",3,"2","ENES","W","D","A",2024-03-27,NA,"",0
"BLM","29122","UU",2024,"3/27/2024","JW",5,"2","OSS","W","W","A",2024-03-27,38,"JW01",0
"BLM","29122","UU",2024,"3/27/2024","SLG",6,"1","OSS","W","W","A",2024-03-27,30,"SG01",0
"BLM","29122","UU",2024,"3/27/2024","SLG",4,"3","OSS","W","W","A",2024-03-27,44,"SG02",0
"BLM","29123","UU",2024,"3/27/2024","SLG",4,"3","AMGR","W","L","A",2024-03-27,NA,"",0
"BLM","29123","UU",2024,"3/27/2024","SLG",3,"3","ENES","W","W","A",2024-03-27,NA,"",0
"BLM","29123","UU",2024,"3/27/2024","JW",7,"2","ENES","W","L","A",2024-03-27,NA,"",0
"BLM","29123","UU",2024,"3/27/2024","RMM",3,"2","ENES","W","L","A",2024-03-27,NA,"",0
"BLM","29123","UU",2024,"3/27/2024","RMM",6,"3","ENES","W","D","A",2024-03-27,NA,"",0
"BLM","29123","UU",2024,"3/27/2024","JW",3,"1","OSS","W","W","A",2024-03-27,35,"JW01",0
"BLM","29123","UU",2024,"3/27/2024","JW",3,"1","OSS","W","W","A",2024-03-27,40,"JW02",0
"BLM","29123","UU",2024,"3/27/2024","JW",3,"1","OSS","W","W","A",2024-03-27,42,"JW03",0
"BLM","29123","UU",2024,"3/27/2024","JW",2,"3","OSS","L","D","A",2024-03-27,45,"JW04",0
"BLM","13924","UU",2024,"4/1/2024","JW",3,"1","OSS","W","W","A",2024-04-01,39,"JW01",0
"BLM","13924","UU",2024,"4/1/2024","RMM",1,"3","PLDU","R","R","A",2024-04-01,NA,"",0
"BLM","13924","UU",2024,"4/1/2024","JW",1,"2","PLDU","R","R","A",2024-04-01,NA,"",0
"BLM","15562","BU",2024,"4/1/2024","SLG",7,"2","OSS","W","W","A",2024-04-01,40,"SG01",0
"BLM","29431","UU",2024,"4/2/2024","RMM",1,"2","OSS","W","L","A",2024-04-02,40,"RM01",0
"WY","10422.1","BS",2024,"4/9/2024","JW",5,"1","OSS","W","W","A",2024-04-09,42,"JW01",0
"WY","10422.1","BS",2024,"4/9/2024","RMM",5,"2","OSS","W","D","A",2024-04-09,45,"RM01",0
"WY","10463","BS",2024,"4/9/2024","JW",3,"1","OSS","W","W","A",2024-04-09,44,"JW01",0
"WY","10467","HB",2024,"4/9/2024","SLG",1,"2","OSS","W","W","A",2024-04-09,36,"SG01",0
"PB","9757","BU",2024,"4/10/2024","JW",4,"1","OSS","W","W","A",2024-04-10,46,"JW01",0
"PB","408178.1","BS",2024,"4/10/2024","JW",7,"3","ENES","W","W","A",2024-04-10,NA,"",0
"PB","408178.2","HB",2024,"4/10/2024","JW",3,"1","ENES","W","W","A",2024-04-10,NA,"",0
"PB","408178.2","HB",2024,"4/10/2024","RMM",1,"1","OSS","W","L","A",2024-04-10,42,"RM01",0
"PB","408178.2","HB",2024,"4/10/2024","RMM",7,"3","OSS","W","L","A",2024-04-10,43,"RM02",0
"BLM","12213","UU",2024,"4/11/2024","RMM",7,"3","ENES","W","L","A",2024-04-11,52,"",0
"BLM","12213","UU",2024,"4/11/2024","RMM",6,"3","OSS","W","L","A",2024-04-11,41,"RM01",0
"BLM","12239","UU",2024,"4/11/2024","RMM",1,"1","ENES","W","L","A",2024-04-11,NA,"",0
"BLM","12239","UU",2024,"4/11/2024","SLG",6,"2","OSS","W","W","A",2024-04-11,35,"SG01",0
"ODF","12362","HB",2024,"4/15/2024","RMM",6,"3","OSS","W","L","A",2024-04-15,39,"RM01",0
"ODF","12362","HB",2024,"4/15/2024","RMM",6,"3","OSS","W","L","A",2024-04-15,41,"RM02",0
"ODF","12362","HB",2024,"4/15/2024","JW",4,"2","OSS","W","W","A",2024-04-15,42,"JW01",0
"ODF","12364","HB",2024,"4/15/2024","SLG",1,"3","OSS","W","W","A",2024-04-15,36,"SG01",0
"BLM","29429","UU",2024,"4/16/2024","RMM",4,"3","OSS","W","D","A",2024-04-16,34,"RM01",0
"BLM","29429","UU",2024,"4/16/2024","RMM",3,"3","OSS","W","W","A",2024-04-16,37,"RM02",0
"BLM","29429","UU",2024,"4/16/2024","RMM",3,"3","OSS","W","W","A",2024-04-16,40,"",0
"BLM","29429","UU",2024,"4/16/2024","SLG",1,"2","OSS","W","W","A",2024-04-16,31,"SG01",0
"BLM","29429","UU",2024,"4/16/2024","JW",1,"3","OSS","W","W","A",2024-04-16,39,"JW01",0
"BLM","29429","UU",2024,"4/16/2024","JW",2,"3","OSS","W","W","A",2024-04-16,40,"JW02",0
"BLM","29889","UU",2024,"4/16/2024","RMM",6,"1","OSS","W","L","A",2024-04-16,32,"RM01",0
"ODF","12560","BU",2024,"4/18/2024","RMM",6,"1","ENES","W","W","A",2024-04-18,NA,"",0
"ODF","12560","BU",2024,"4/18/2024","RMM",5,"2","OSS","W","L","A",2024-04-18,37,"RM01",0
"PB","33689","HU",2024,"4/22/2024","RMM",7,"1","OSS","W","L","A",2024-04-22,35,"RM01",0
"PB","34007","HB",2024,"4/22/2024","SLG",7,"1","ENES","W","W","A",2024-04-22,NA,"",0
"PB","34007","HB",2024,"4/22/2024","SLG",3,"3","ENES","W","W","A",2024-04-22,NA,"",0
