"site_id","date_mdy","lat","long","survey_date_str","precip_mm","days_since_rain","rain_event","last_rain_date"
"10024 _ 1 _ 2023",2023-05-22,45.086566,-122.438395,"20230522",0,13,0,2023-05-09
"10024 _ 1 _ 2024",2024-03-26,45.084157,-122.436039,"20240326",7.47,0,1,NA
"10078 _ 1 _ 2023",2023-03-15,45.094977,-122.396292,"20230315",1.29,0,1,NA
"10078 _ 1 _ 2024",2024-04-03,45.096816,-122.397379,"20240403",7.84,0,1,NA
"10153 _ 1 _ 2023",2023-05-04,45.11827,-122.34462,"20230504",4.92,0,1,NA
"10153 _ 1 _ 2024",2024-05-08,45.116638,-122.342062,"20240508",12.77,0,1,NA
"10185 _ 1 _ 2023",2023-04-10,45.08915,-122.34858,"20230410",15.65,0,1,NA
"10185 _ 1 _ 2024",2024-05-21,45.087933,-122.345356,"20240521",0.35,1,0,2024-05-20
"10258 _ 1 _ 2023",2023-03-20,45.00723,-122.50957,"20230320",6.33,0,1,NA
"10302 _ 1 _ 2023",2023-05-01,45.148262,-122.327983,"20230501",0,7,0,2023-04-24
"10302 _ 1 _ 2024",2024-04-24,45.151407,-122.324939,"20240424",0,3,0,2024-04-21
"10399 _ 1 _ 2023",2023-05-09,45.007055,-122.401084,"20230509",7.56,0,1,NA
"10399 _ 1 _ 2024",2024-05-07,45.006865,-122.397391,"20240507",21.22,0,1,NA
"10403 _ 1 _ 2023",2023-03-22,45.04679,-122.41316,"20230322",0,1,0,2023-03-21
"10403 _ 1 _ 2024",2024-05-15,45.047758,-122.413473,"20240515",0,7,0,2024-05-08
"10422 _ 1 _ 2023",2023-03-30,45.07703,-122.41845,"20230330",0,1,0,2023-03-29
"10422 _ 1 _ 2024",2024-04-09,45.076974,-122.420849,"20240409",0.71,1,0,2024-04-08
"10422 _ 2 _ 2024",2024-05-27,45.074366,-122.414007,"20240527",0,1,0,2024-05-26
"10439 _ 1 _ 2023",2023-05-04,45.141325,-122.350265,"20230504",4.92,0,1,NA
"10439 _ 1 _ 2024",2024-04-25,45.138558,-122.352261,"20240425",2.54,0,1,NA
"10444 _ 1 _ 2023",2023-03-22,45.04747,-122.4257,"20230322",0,1,0,2023-03-21
"10444 _ 1 _ 2024",2024-05-15,45.04662,-122.424056,"20240515",0,7,0,2024-05-08
"10463 _ 1 _ 2024",2024-04-09,45.0787,-122.419151,"20240409",0.71,1,0,2024-04-08
"10467 _ 1 _ 2023",2023-03-14,45.079726,-122.410628,"20230314",25.8,0,1,NA
"10467 _ 1 _ 2024",2024-04-09,45.078123,-122.414782,"20240409",0.71,1,0,2024-04-08
"10471 _ 1 _ 2024",2024-05-27,45.078283,-122.399109,"20240527",0,1,0,2024-05-26
"10471 _ 2 _ 2024",2024-05-27,45.077703,-122.397192,"20240527",0,1,0,2024-05-26
"10488 _ 1 _ 2023",2023-03-21,45.05027,-122.40631,"20230321",4.69,0,1,NA
"10498 _ 1 _ 2023",2023-05-10,45.043,-122.37724,"20230510",0,1,0,2023-05-09
"10506 _ 1 _ 2023",2023-03-13,45.083879,-122.422965,"20230313",12.84,0,1,NA
"10506 _ 1 _ 2024",2024-03-26,45.082381,-122.41991,"20240326",7.47,0,1,NA
"10550 _ 1 _ 2023",2023-03-30,45.08009,-122.39731,"20230330",0,1,0,2023-03-29
