"site_id","landowner","stand","site_rep","trt","year","date","date_mdy","subplot","lat","long","time","weather","canopy_cov","dwd_cov","veg_cov","fwd_cov","soil_moist_avg"
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/2023",2023-04-19,"1",45.212388,122.273739,"13:15","R",2,1,4,3,22.3
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/2023",2023-04-19,"2",45.212662,122.27344,"13:40","PC",1,2,4,1,27.06666667
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/2023",2023-04-19,"3",45.21228,122.27349,"14:35","PC",1,2,4,4,23.83333333
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/2023",2023-04-19,"4",45.21213,122.27383,"15:05","SN",2,1,4,4,20.43333333
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/2023",2023-04-19,"5",45.21219,122.27411,"14:30","SN",3,2,3,2,16.9
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/2023",2023-04-19,"6",45.21258,122.27424,"14:00","C",3,2,3,2,23.33333333
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/2023",2023-04-19,"7",45.2128,122.2738,"13:40","PC",2,1,4,2,25.36666667
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/2023",2023-05-22,"1",45.086566,122.438395,"8:20","C",0,2,4,1,10.16666667
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/2023",2023-05-22,"2",45.086666,122.438834,"8:50","C",0,1,4,2,6.2
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/2023",2023-05-22,"3",45.08683,122.43839,"8:55","C",0,2,2,3,0
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/2023",2023-05-22,"4",45.08679,122.43792,"9:25","C",0,1,2,3,45
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/2023",2023-05-22,"5",45.08652,122.43789,"9:33","C",0,2,3,4,4.566666667
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/2023",2023-05-22,"6",45.08632,122.43806,"9:09","C",0,2,4,4,12.06666667
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/2023",2023-05-22,"7",45.08622,122.43843,"8:42","C",0,2,3,3,18.8
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/2023",2023-03-15,"1",45.094977,122.396292,"","SN",0,1,3,1,26.4
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/2023",2023-03-15,"2",45.095162,122.39622,"","C",0,1,4,1,28.33333333
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/2023",2023-03-15,"3",45.095056,122.396072,"","SN",0,1,3,1,26.06666667
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/2023",2023-03-15,"4",45.094895,122.396144,"","C",0,1,3,1,32.23333333
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/2023",2023-03-15,"5",45.09457,122.39622,"","PC",0,1,3,1,33.03333333
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/2023",2023-03-15,"6",45.09463,122.39655,"","PC",0,1,4,1,31.83333333
"10078 _ 1 _ 2023","WY",10078,1,"HB",2023,"3/15/2023",2023-03-15,"7",45.095091,122.396354,"","PC",0,1,4,1,33
