"site_id","landowner","stand","site_rep","trt","year","date","date_mdy","subplot","lat","long","time","weather","canopy_cov","dwd_cov","veg_cov","fwd_cov","soil_moist_avg","jul_date","dwd_count","stumps","logs","size_cl","decay_cl","char_cl","length_cl","plot_id","tree_farm","elev","temp","hum","obs","PLDU","ENES","OSS","TAGR","AMGR","ANFE"
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/23","23-04-19",1,45.212388,122.273739,"13:15","R",2,1,4,3,22.3,109,1,1,0,2,2,3,0,"9757 _ 1 _ 2023 _ 1","CL",1518,39.4,86.4,NA,0,0,0,0,0,0
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/23","23-04-19",2,45.212662,122.27344,"13:40","PC",1,2,4,1,27.06666667,109,3,1,2,1.3,2,3,2,"9757 _ 1 _ 2023 _ 2","CL",1483,42.9,86.1,NA,0,0,0,0,0,0
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/23","23-04-19",3,45.21228,122.27349,"14:35","PC",1,2,4,4,23.83333333,109,9,2,7,1.1,2.2,2.6,1.6,"9757 _ 1 _ 2023 _ 3","CL",1543,41.6,89,NA,0,0,0,0,0,0
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/23","23-04-19",4,45.21213,122.27383,"15:05","SN",2,1,4,4,20.43333333,109,6,3,3,1,2,2.5,1.5,"9757 _ 1 _ 2023 _ 4","CL",1513,40.7,94.9,NA,0,0,0,0,0,0
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/23","23-04-19",5,45.21219,122.27411,"14:30","SN",3,2,3,2,16.9,109,6,3,3,1.2,2.7,2.7,1.5,"9757 _ 1 _ 2023 _ 5","CL",1511,36,92.5,NA,0,1,0,0,0,0
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/23","23-04-19",6,45.21258,122.27424,"14:00","C",3,2,3,2,23.33333333,109,5,3,2,1.6,2.6,2.6,1.2,"9757 _ 1 _ 2023 _ 6","CL",1520,42.5,87.3,NA,0,0,0,0,0,0
"9757 _ 1 _ 2023","PB",9757,1,"BU",2023,"4/19/23","23-04-19",7,45.2128,122.2738,"13:40","PC",2,1,4,2,25.36666667,109,5,1,4,1.4,2.2,2.4,2.4,"9757 _ 1 _ 2023 _ 7","CL",1540,42.8,89.8,NA,0,0,1,0,0,0
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/23","23-05-22",1,45.086566,122.438395,"8:20","C",0,2,4,1,10.16666667,142,7,1,6,1.1,1,2.1,2.1,"10024 _ 1 _ 2023 _ 1","CL",858,55.1,68.4,NA,0,0,0,0,0,0
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/23","23-05-22",2,45.086666,122.438834,"8:50","C",0,1,4,2,6.2,142,1,1,0,1,1,2,0,"10024 _ 1 _ 2023 _ 2","CL",875,53.9,69.4,NA,0,0,0,0,0,0
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/23","23-05-22",3,45.08683,122.43839,"8:55","C",0,2,2,3,0,142,9,2,7,1.6,2.1,2.6,1.8,"10024 _ 1 _ 2023 _ 3","CL",862,57.8,61.1,NA,0,0,0,0,0,0
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/23","23-05-22",4,45.08679,122.43792,"9:25","C",0,1,2,3,45,142,10,5,5,1.4,1.8,2.2,1.2,"10024 _ 1 _ 2023 _ 4","CL",847,56.5,64.1,NA,0,0,0,0,0,0
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/23","23-05-22",5,45.08652,122.43789,"9:33","C",0,2,3,4,4.566666667,142,15,3,12,1.3,2.5,2,1.5,"10024 _ 1 _ 2023 _ 5","CL",848,57.8,58.5,NA,0,0,0,0,0,0
"10024 _ 1 _ 2023","WY",10024,1,"BS",2023,"5/22/23","23-05-22",6,45.08632,122.43806,"9:09","C",0,2,4,4,12.06666667,142,10,2,8,1.1,1.9,2.4,2.1,"10024 _ 1 _ 2023 _ 6","CL",827,58.8,58.8,NA,0,0,0,0,0,0
