Owner,TreeFarm,StandNo,SubPlot,V1,V2,V3
WY,CL,10078,1,0,0,1
WY,CL,10185,1,0,0,0
WY,CL,10399,1,,,
WY,CL,10444,1,0,0,0
WY,CL,10467,1,,,
WY,CL,10482,1,0,0,0
WY,CL,10488,1,0,0,0
WY,CL,10498,1,0,0,0
WY,CL,10506,1,0,0,0
WY,CL,10553,1,0,0,0
WY,CL,10597,1,0,0,0
WY,CL,10711,1,0,0,0
WY,CL,10963,1,0,0,0
WY,CL,10965,1,0,0,0
WY,CL,10968,1,1,0,0
WY,CL,11079,1,,,
ODF,SP,12362,1,0,0,0
ODF,SP,12364,1,0,0,0
ODF,SP,12605,1,0,1,
ODF,SP,12638,1,1,,
WY,SP,20031,1,,,
WY,SP,20088,1,,,
WY,SP,20090,1,,,
WY,SP,20232,1,0,0,0
WY,SP,20236,1,0,0,0
WY,SP,20237,1,0,0,0
WY,SP,20281,1,,,
WY,SP,20283,1,0,0,0
WY,SP,20288,1,0,0,0
WY,SP,20291,1,0,0,0
WY,SP,20360,1,1,0,0
WY,SP,20361,1,0,0,0
WY,SP,20535,1,0,0,0
WY,SP,20536,1,0,0,0
WY,SP,20538,1,0,0,0
WY,SP,20540,1,0,0,0
WY,SP,20543,1,0,1,
WY,SP,20550,1,1,,
WY,SP,20560,1,1,0,0
WY,SP,20565,1,0,0,0
WY,SP,20571,1,0,0,0
WY,SP,20600,1,0,0,0
WY,SP,20616,1,1,0,0
WY,SP,20666,1,,,
WY,SP,20698,1,0,1,0
WY,SP,20818,1,1,0,0
WY,SP,21019,1,,,
WY,SP,21026,1,0,0,0
WY,SP,21029,1,0,0,0
WY,SP,21159,1,0,0,0
WY,SP,21213,1,0,0,0
PBTF,CL,33554,1,,,
PBTF,CL,33628,1,2,,
PBTF,CL,33651,1,1,0,0
PBTF,CL,33689,1,0,0,0
PBTF,CL,33754,1,,,
PBTF,CL,33810,1,0,0,0
PBTF,CL,34007,1,0,0,0
PBTF,CL,34017,1,0,1,0
PBTF,CL,408143,1,0,0,0
PBTF,CL,408161,1,0,1,0
PBTF,CL,408162,1,0,0,1
PBTF,CL,408178,1,,,
PBTF,CL,408180,1,1,0,0
ODF,SP,12407C,1,0,0,0
ODF,SP,12407T,1,1,0,0
WY,CL,10078,2,0,0,0
WY,CL,10185,2,0,0,0
WY,CL,10399,2,,,
WY,CL,10444,2,0,0,0
WY,CL,10467,2,,,
WY,CL,10482,2,0,0,0
WY,CL,10488,2,0,0,0
WY,CL,10498,2,0,0,0
WY,CL,10506,2,0,0,0
WY,CL,10553,2,0,0,0
WY,CL,10597,2,0,0,0
WY,CL,10711,2,0,0,0
WY,CL,10963,2,0,0,0
WY,CL,10965,2,0,0,0
WY,CL,10968,2,0,0,0
WY,CL,11079,2,,,
ODF,SP,12362,2,0,0,0
ODF,SP,12364,2,0,0,0
ODF,SP,12605,2,1,2,0
ODF,SP,12638,2,0,0,1
WY,SP,20031,2,,,
WY,SP,20088,2,,,
WY,SP,20090,2,,,
WY,SP,20232,2,0,0,0
WY,SP,20236,2,0,0,0
WY,SP,20237,2,0,0,0
WY,SP,20281,2,,,
WY,SP,20283,2,0,0,0
WY,SP,20288,2,0,1,0
